medianYear	Goal1	Goal10	Goal11	Goal12	Goal13	Goal14	Goal15	Goal16	Goal17	Goal2	Goal3	Goal4	Goal5	Goal6	Goal7	Goal8	Goal9
	5	4	8	9	5	6	4	8	10	2	3	1	4	0	1	5	1
2009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2011	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2012	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
2013	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	1
2014	1	0	0	0	0	0	0	2	0	2	1	1	3	0	0	1	0
2015	1	1	0	2	0	0	3	5	0	0	4	1	0	2	0	1	3
2016	2	1	2	0	0	0	0	2	1	4	9	1	1	1	3	3	3
2017	3	3	1	2	1	0	3	2	9	3	7	6	1	5	2	5	3
2018	2	2	3	0	2	3	3	1	4	0	1	0	2	2	0	1	1
2019	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	0
