goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	217.4966039648438	False	217.4966039648438	217.4966039648438	False	217.4966039648438	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	17.0740104296875	False	17.0740104296875	17.0740104296875	False	17.0740104296875	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																	
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	102.7453805664063	False	102.7453805664063	102.7453805664063	False	102.7453805664063	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	KM2	Square kilometers			G	Global	[2017]: NA = A figure was not provided.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NA		True	NA	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	KM2	Square kilometers			G	Global	[2017]: NA = A figure was not provided.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NA		True	NA	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	165.4531588476563	False	165.4531588476563	165.4531588476563	False	165.4531588476563	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	KM2	Square kilometers			G	Global	[2017]: NA = A figure was not provided.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NA		True	NA	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	29.790277265625	False	29.7902772656250	29.790277265625	False	29.7902772656250	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	415.0103280859374	False	415.0103280859374	415.0103280859374	False	415.0103280859374	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	KM2	Square kilometers			G	Global	[2017]: NV = The figure has not been validated by the national statistical system for global reporting.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NV		True	NV	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	KM2	Square kilometers			G	Global		[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data	51.476867265625	False	51.4768672656250	51.476867265625	False	51.4768672656250	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	KM2	Square kilometers			G	Global	[2017]: NA = A figure was not provided.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NA		True	NA	2017
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	KM2	Square kilometers			G	Global	[2017]: NA = A figure was not provided.	[2017]: Food and Agriculture Organisation of United Nations ( FAO)		E : Estimated data		True	NA		True	NA	2017
