goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	typeOfSpeedCode	typeOfSpeedDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	ANYS	Any speed	NUMBER	Number						515 WIMAX+1500 DSL	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT) // Afghanistan Telecommunication Regulatory Authority. // ITU estimate. // Ministry of Communications.		NA: Data nature not available					200.0	220.0	500.0	500.0	500.0	1000.0	1500.0		1500.0	1500.0	1500.0	7067.0	8801.0	29400.0	29400.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	256KT2MBPS	Between 256 kbps and 2 mbps	NUMBER	Number						3183 Mbps/8170 users  1/3 Shares // 3704 Mbps/8537 Users   1/3 Shares	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)		NA: Data nature not available																6553.0	8170.0	8537.0	8537.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	2MT10MBPS	Between 2 mbps and 10 mbps	NUMBER	Number						1305 Mbps/131 users  1/3 Shares // 636 Mbps/ 273 Users  1/3 Shares	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)		NA: Data nature not available																164.0	131.0	273.0	273.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	10MBPS	10 mbps and over	NUMBER	Number						26286 Mbps/500 users // 34522 Mbps/8000 Users	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)		NA: Data nature not available																350.0	500.0	8000.0	8000.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	ANYS	Any speed	NUMBER	Number							ITU estimate. // Minister for Innovation and ICT // Minister of State for the Innovation and Public Administration // Ministry of Infrastructure and Energy // Ministry of Innovation and Public Administration/National Agency for Information Society // Ministry of Public Works Transport and Telcommunication. National Agency of Information Society.  // Ministry of Transport and Telecommunications. // National Agency on Information Society		NA: Data nature not available						272.0		10000.0	64000.0	92000.0	105539.0	128210.0	160088.0	182556.0	207964.0	242870.0	266379.0	303612.0	303612.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	256KT2MBPS	Between 256 kbps and 2 mbps	NUMBER	Number							Minister of State for the Innovation and Public Administration // Ministry of Infrastructure and Energy // National Agency on Information Society		NA: Data nature not available													34658.0	34026.0	18736.0	12264.0	18614.0	11753.0	11753.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	2MT10MBPS	Between 2 mbps and 10 mbps	NUMBER	Number							Minister of State for the Innovation and Public Administration // Ministry of Infrastructure and Energy // National Agency on Information Society		NA: Data nature not available													110522.0	132052.0	175153.0	216274.0	203226.0	230178.0	230178.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	10MBPS	10 mbps and over	NUMBER	Number							Minister of State for the Innovation and Public Administration // Ministry of Infrastructure and Energy // National Agency on Information Society		NA: Data nature not available													14908.0	16478.0	14075.0	14332.0	44539.0	61681.0	61681.0	2017
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	ANYS	Any speed																															
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	256KT2MBPS	Between 256 kbps and 2 mbps																															
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	2MT10MBPS	Between 2 mbps and 10 mbps																															
17	17.6	17.6.2	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	10MBPS	10 mbps and over																															
