goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2000	value_numeric_part_2000	value_is_censored_2000	value_detail_2000	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	1350.0	False	1350	E : Estimated data	1350.0	False	1350	E : Estimated data	1350.0	False	1350	E : Estimated data	1350.0	False	1350	1350.0	False	1350	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	769.3	False	769.3	E : Estimated data	782.4	False	782.4	E : Estimated data	776.3	False	776.3	E : Estimated data	771.5	False	771.5	771.5	False	771.5	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																													
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: Official country data submitted to FAO	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		C : Country data	1579.0	False	1579	C : Country data	1536.0	False	1536	C : Country data	1918.0	False	1918	C : Country data	1956.0	False	1956	1956.0	False	1956	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	18.05	False	18.05	E : Estimated data	17.881	False	17.881	E : Estimated data	17.712	False	17.712	E : Estimated data	17.543	False	17.543	17.543	False	17.543	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	16.0	False	16	E : Estimated data	16.0	False	16	E : Estimated data	16.0	False	16	E : Estimated data	16.0	False	16	16.0	False	16	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: Official country data submitted to FAO	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		C : Country data	59728.0	False	59728	C : Country data	59104.0	False	59104	C : Country data	58480.0	False	58480	C : Country data	57856.0	False	57856	57856.0	False	57856	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	10.0	False	10	E : Estimated data	9.8	False	9.8	E : Estimated data	9.8	False	9.8	E : Estimated data	9.8	False	9.8	9.8	False	9.8	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: FAO Estimate	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		E : Estimated data	871.8	False	871.8	E : Estimated data	877.2	False	877.2	E : Estimated data	1008.3	False	1008.3	E : Estimated data	1139.4	False	1139.4	1139.4	False	1139.4	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	HA_TH	Thousands of hectares			G	Global	[2000,2005,2010,2015]: Official country data submitted to FAO	[2000,2005,2010,2015]: FAO, Global Forest Resources Assessment		C : Country data	31860.0	False	31860	C : Country data	30186.0	False	30186	C : Country data	28596.0	False	28596	C : Country data	27112.0	False	27112	27112.0	False	27112	2015
