goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	PER_100_POP	Per 100 population							ITU Estimate. // ITU estimate. // ITU estimate.  // ITU estimate.  ITU estimate.  ITU estimate. // Ministry of Communications & Information Technology // Ministry of Communications.		NA: Data nature not available		0.0	0.0	0.09	0.11	1.22	2.11	1.9	1.84	3.55	4.0	5.0	5.45	5.9	7.0	8.26	10.6	11.45	11.45	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	PER_100_POP	Per 100 population							Albanian Telecom Enterprise. // ITU estimate. // ITU estimate.  // Minister for Innovation and ICT // Ministry of Transport and Telecommunications.		NA: Data nature not available	0.11	0.33	0.39	0.97	2.42	6.04	9.61	15.04	23.86	41.2	45.0	49.0	54.66	57.2	60.1	63.25	66.36	71.85	71.85	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	PER_100_POP	Per 100 population							Autorité de Régulation de la Poste et des Télecommunications (ARPT). // Autorité de Régulation de la Poste et des Télécommunications // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate. 		NA: Data nature not available	0.49	0.65	1.59	2.2	4.63	5.84	7.38	9.45	10.18	11.23	12.5	14.9	18.2	22.5	29.5	38.2	42.95	47.69	47.69	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	PER_100_POP	Per 100 population							Andorra Telecom // ITU Estimate. // ITU estimate. // Servei de Telecomunicacions d'Andorra // Servei de Telecomunicacions d'Andorra (STA).		NA: Data nature not available	10.54		11.26	13.55	26.84	37.61	48.94	70.87	70.04	78.53	81.0	81.0	86.43	94.0	95.9	96.91	97.93	98.87	98.87	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	PER_100_POP	Per 100 population						2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months. 	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // Instituto Nacional de Estatística.		NA: Data nature not available	0.11	0.14	0.27	0.37	0.46	1.14	1.5	1.7	1.9	2.3	2.8	3.1	6.5	8.9	10.2	12.4	13.0	14.34	14.34	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	PER_100_POP	Per 100 population						Population age 5+. Census.	Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel. // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate. // Statistics Division, Census.		NA: Data nature not available	6.48	8.9	12.5	17.23	24.27	27.0	30.0	34.0	38.0	42.0	47.0	52.0	58.0	63.4	67.78	70.0	73.0	76.0	76.0	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	PER_100_POP	Per 100 population						Population age 7+.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate. // State Statistical Committee // State Statistical Committee of Azerbaijan Republic // State Statistical Committee of the Republic of Azerbaijan // State Statistical Committee of the Republic of Azerbaijan.		NA: Data nature not available	0.15	0.31	5.0			8.03	11.99	14.54	17.08	27.4	46.0	50.0	54.2	73.0	75.0	77.0	78.2	79.0	79.0	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	PER_100_POP	Per 100 population						Population aged 10+. Estimated based on survey results for urban population.	Comisión Nacional de Comunicaciones // ITU estimate based on INDEC's survey. // ITU estimate. // Instituto Nacional de Estadistica y Censos. // SECOM.		NA: Data nature not available	7.04	9.78	10.88	11.91	16.04	17.72	20.93	25.95	28.11	34.0	45.0	51.0	55.8	59.9	64.7	68.04	70.97	75.81	75.81	2017
