goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	PER_100_POP	Per 100 population						   Individuals aged 15 years and over // Individuals aged 15 years and over // Population age 15+.	ABS Household Use of Information Technology Survey. // Australian Bureau of Statistics // Australian Bureau of Statistics. // Australian Bureau of Statistics.  // ITU Estimate2. // ITU estimate.		NA: Data nature not available	46.76	52.69				63.0	66.0	69.45	71.67	74.25	76.0	79.49	79.0	83.45	84.0	84.56	86.54	86.54	86.54	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Individuals aged 16 to 74 years who used the Internet in the last 3 months // Population age 16-74 using Internet in the last 3 months. // Population age 16-74. // Regular users of the Internet, Population age 14+.	Austria Internet Monitor. // Eurostat. // Statistik Austria.		NA: Data nature not available	33.73	39.19	36.56	42.7	54.28	58.0	63.6	69.37	72.87	73.45	75.17	78.74	80.03	80.62	81.0	83.94	84.32	87.94	87.94	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	PER_100_POP	Per 100 population						Estimated based on 3 times the number of subscribers.	BAHAMAS TELECOMMUNICATIONS COMPANY LTD. // Bahamas Telecommunications Company Ltd. // ITU Estimate. // ITU estimate.		NA: Data nature not available	8.0	11.8	18.0	20.0	22.0	25.0	26.0	27.0	31.54	33.88	43.0	65.0	71.75	72.0	76.92	78.0	80.0	85.0	85.0	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	PER_100_POP	Per 100 population						Estimated based on TRA 2011 Residential consumer survey // Estimated based on TRA 2017 Residential consumer survey // Population age 15+. // Population age 15+. Estimated based on  2011 Residential consumer survey result and TRA analysis of the growth	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate2. // Information and E-Government Authority // Telecommunications Regulatory Authority (TRA)		NA: Data nature not available	6.15	15.04	18.05	21.55	21.46	21.3	28.24	32.91	51.95	53.0	55.0	77.0	88.0	90.0	90.5	93.48	95.0	95.88	95.88	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	PER_100_POP	Per 100 population						Labour Force Survey 2013	Bangladesh Bureau of Statistics // ITU Estimate2. // ITU estimate.		NA: Data nature not available	0.07	0.13	0.14	0.16	0.2	0.24	1.0	1.8	2.5	3.1	3.7	4.5	5.0	6.63	13.9	14.4	18.02	18.02	18.02	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	PER_100_POP	Per 100 population						All population // All population.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate. // Ministry of Transport and Communications // National Statistical Service // National Statistical Service.		NA: Data nature not available	1.3	1.63	1.96	4.58	4.9	5.25	5.63	6.02	6.21	15.3	25.0	32.0	37.5	41.9	54.62	59.1	64.35	69.72	69.72	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	PER_100_POP	Per 100 population							Cable and Wireless (Barbados) Limited. // ITU Estimate. // ITU estimate. // Ministry of Energy and Public Utilities. // National Council for Science and Technology (NCST).		NA: Data nature not available	3.97	11.94	27.84	39.69	49.8	52.5	55.3	58.2	61.4	64.7	65.1	66.5	71.2	71.8	75.16	76.11	79.55	81.76	81.76	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // In accordance with the explanation of indicator HH7, individuals using the Internet (or Internet users) are understood to be individuals who have used the internet from any location in the last three months. // Population age 16-74. // Population age 16-74. Last three months. 	Belgian Institute for Postal Services and Telecommunications  // Direction Générale Statistique - Statistics Belgium // Eurostat // Eurostat. // ITU estimate. // Institut belge des services postaux et des télécommunications  // Institut belge des services postaux et des télécommunications (IBPT).		NA: Data nature not available	29.43	31.29	46.33	49.97	53.86	55.82	59.72	64.44	66.0	70.0	75.0	81.61	80.72	82.17	85.0	85.05	86.52	87.68	87.68	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	PER_100_POP	Per 100 population						Population age 18+.	 Bermuda Government Department of Statistics. // Bermuda Government Department of Statistics. // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate.		NA: Data nature not available	42.95	47.51	52.03	56.52	60.99	65.45	69.9	74.35	82.3	83.25	84.21	88.34	91.3	95.3	96.8	98.32	98.0	98.37	98.37	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	PER_100_POP	Per 100 population						Country estimate. 	Bhutan InfoComm and Media Authority // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate.   // Ministry of Information & Communications		NA: Data nature not available	0.4	0.86	1.68	2.44	3.16	3.85	4.52	5.92	6.55	7.17	13.6	14.4	15.6	22.4	30.3	39.8	41.77	48.11	48.11	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	PER_100_POP	Per 100 population						Population age 5+ in the last 12 months. // Population age 5+ in the last 3 months.	ITU Estimate. // ITU estimate. // Instituto Nacional de Estadística // SITTEL. ITU estimate. // Statistic National Institute // Superintendencia de Telecomunicaciones.		NA: Data nature not available	1.44	2.12	3.12	3.51	4.44	5.23	6.2	10.5	12.5	16.8	22.4	30.0	35.34	36.99	34.6	35.56	39.7	43.83	43.83	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	PER_100_POP	Per 100 population							Agency for Statistics of Bosnia and Herzegovina // Agency for statistics. // Communication Regulatory Agency // Communications Regulatory Agency B & H. // ITU estimate. // Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).		NA: Data nature not available	1.08	1.2	2.65	3.97	15.47	21.33	25.12	27.92	34.66	37.74	42.75	43.89	45.06	48.52	49.92	52.6	60.26	69.49	69.49	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	PER_100_POP	Per 100 population							BOTSWANA TELECOMMUNICATIONS AUTHORITY // Botswana Telecommunication Corporation. // Botswana Telecommunications Authority // Botswana Telecommunications Authority (BTA). // Central Statistics Office. // Estimate from BOTSWANA TELECOMMUNICATIONS AUTHORITY // ITU Estimate. // ITU estimate. // RIA.		NA: Data nature not available	2.9	3.43	3.39	3.35	3.3	3.26	4.29	5.28	6.25	6.15	6.0	9.0	16.0	30.0	36.74	37.31	39.36	41.41	41.41	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	PER_100_POP	Per 100 population						In the last 3 months. Population 10+. // Population age 10+ using internet in the last 3 months. // Population age 10+. // Population age 10+. Estimated based on urban/rural distribution of Internet users in 2008 (as 2006 Survey collected only urban data).	Brazilian Internet Steering Committee. // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // IBGE. // ITU estimate based on Brazilian Internet Steering Committee. // NIC.br		NA: Data nature not available	2.87	4.53	9.15	13.21	19.07	21.02	28.18	30.88	33.83	39.22	40.65	45.69	48.56	51.04	54.55	58.33	60.87	67.47	67.47	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	PER_100_POP	Per 100 population						Population age 5+.	Belize Telecommunications Ltd (BTL). // ITU Estimate. // ITU estimate. // Staistical Institute of Belize		NA: Data nature not available	5.96		5.68		9.8	17.0	24.0	24.6	26.3	27.2	28.2	30.7	31.0	33.6	38.7	41.59	44.58	47.08	47.08	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate.		NA: Data nature not available	0.48	0.47	0.5	0.56	0.65	0.84	1.65	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	11.92	11.92	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // Telecommunications Regulatory Commission		NA: Data nature not available			18.89							36.0	37.0	37.4	37.6						37.6	2012
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	PER_100_POP	Per 100 population						Estimate.	AiTi. // Authority for Info-communications Technology Industry of Brunei Darussalam // Authority for Info-communications Technology Industry of Brunei Darussalam (AITI) // Department of Statistics. // ITU estimate. // Jabatan Telekom Brunei (JTB). Ministry of Communications.		NA: Data nature not available	9.0	12.92	15.33	19.6	29.72	36.47	42.19	44.68	46.0	49.0	53.0	56.0	60.27	64.5	68.77	71.2	90.0	94.87	94.87	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 16-74. // Population age 16-74.  	Bulgarian Telecommunications Company Ltd. // Communications Regulation Commission // Communications Regulation Commission. // Eurostat // Eurostat. // National Statistical Institute // National Statistical Institute.		NA: Data nature not available	5.37	7.61	9.08	12.04	18.13	19.97	27.09	33.64	39.67	45.0	46.23	47.98	51.9	53.06	55.49	56.66	59.83	63.41	63.41	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // Ministry of Communications, Posts and Telegraphs // Ministry of Communications, Posts and Telegraphs.		NA: Data nature not available		0.0	0.0	0.02	0.02	0.07	0.18	0.22	0.22	0.22	0.25	0.98	4.0	8.0	11.52	21.73	25.07	30.68	30.68	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428	PER_100_POP	Per 100 population						Population age 5+.	Agence de Régulation et de Contrôle des Télécommunications (ARCT) // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate.  // Institut de Statistiques et d'tudes Economiques		NA: Data nature not available	0.08	0.11	0.12	0.2	0.35	0.54	0.66	0.7	0.81	0.9	1.0	1.11	1.22	1.26	1.38	4.87	5.17	5.59	5.59	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	112	Belarus	151	Eastern Europe	Country	BLR	1	28.04940161	53.54193075	PER_100_POP	Per 100 population						Break in series. Population age 6-72. // Population age 16+. // Population age 6+ (break in comparability, before 16+). // Population age 6+. // during the recent 12 months	Beltelecom. // National Statistical Committee of the Republic of Belarus // National Statistical Committee of the Republic of Belarus (Belstat) // National Statistical Committee of the Republic of Belarus (Belstat). // National Statistical Committee.		NA: Data nature not available	1.86	4.3	8.95				16.2	19.7	23.0	27.43	31.8	39.65	46.91	54.17	59.02	67.3	71.11	74.44	74.44	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	116	Cambodia	035	South-Eastern Asia	Country	KHM	1	104.922836	12.71163737	PER_100_POP	Per 100 population						Based on Cambodia's Inter-censal Population Survey 2013 and growth of mobile broadband.	ITU estimate based on National Institute of Statistics // ITU estimate. // MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC) // Ministry of Post and Telecommunications (MPTC). // Ministry of Posts and Telecommunications // National Institute of Statistics // National Institute of Statistics.		NA: Data nature not available	0.05	0.08	0.23	0.26	0.3	0.32	0.47	0.49	0.51	0.53	1.26	3.1	4.94	6.8	14.0	22.33	32.4	34.0	34.0	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	120	Cameroon	017	Middle Africa	Country	CMR	1	12.7419827	5.692387031	PER_100_POP	Per 100 population						Population age 15+. // masculin + féminin	Agence de Régulation des Statistiques // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate2. // ITU estimate. // ITU estimate.  // Institut National de la Statistique		NA: Data nature not available	0.25	0.28	0.36	0.59	0.98	1.4	2.03	2.93	3.4	3.84	4.3	5.0	7.5	10.0	16.21	20.68	23.2	23.2	23.2	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	124	Canada	021	Northern America	Country	CAN	1	-101.6575058	57.72360191	PER_100_POP	Per 100 population						Estimate based on Survey's results 2007 and 2009. Population age 16+. // Estimated based on Survey's results 2005 and 2007. Population age 16+. // Population age 16+. // Population age 16+. Survey was redesigned, therefore comparison with previous years should not be done. // Residents of Canada 16 years of age or older excluding: Residents of the Yukon, Northwest Territories and Nunavut, Inmates of Institutions, Persons living on Indian Reserves, and Full time members of the Canadian Forces. // Survey result, scope age unknown.	CIUS. // ITU estimate. // Statistics Canada // Statistics Canada.		NA: Data nature not available	51.3	60.2	61.59	64.2	65.96	71.66	72.4	73.2	76.7	80.3	80.3	83.0	83.0	85.8	87.12	88.47	91.16	92.7	92.7	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	132	Cabo Verde	011	Western Africa	Country	CPV	1	-23.63544151	15.07791834	PER_100_POP	Per 100 population						Population 10 years of age or older source - IMC 2017 survey	Cabo Verde Telecom. // ITU estimate. // Instituto Nacional de Estatística // Instituto Nacional de Estatística. // Instituto das Comunicações e das Tecnologias de Informação.		NA: Data nature not available	1.82	2.69	3.52	4.32	5.32	6.07	6.81	8.28	14.0	21.0	30.0	32.0	34.74	37.5	40.26	42.68	50.32	57.16	57.16	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	136	Cayman Islands	029	Caribbean	Country	CYM	0	-81.16740559	19.32266656	PER_100_POP	Per 100 population							ITU Estimate. // ITU estimate confirmed by the Information and Communications Technology Authority  // ITU estimate. // Information and Communications Technology Authority  // Source: Tower Omnibus Survey.		NA: Data nature not available						38.03	44.5	52.0	61.0	64.5	66.0	69.47	69.7	71.4	74.1	77.0	79.0	81.07	81.07	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	140	Central African Republic	017	Middle Africa	Country	CAF	1	20.93559492	7.003720791	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate. // ITU estimate.  // Société Centrafricaine des Télécommunications.		NA: Data nature not available	0.05	0.08	0.13	0.15	0.22	0.27	0.31	0.38	1.0	1.8	2.0	2.2	3.0	3.4	3.6	3.8	4.0	4.34	4.34	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	144	Sri Lanka	034	Southern Asia	Country	LKA	1	80.70489654	7.614693343	PER_100_POP	Per 100 population							Department of Census and Statistics // ITU Estimate. // ITU estimate. // ITU estimate.  // Telecommunications Regulatory Commission of Sri Lanka // Telecommunications Regulatory Commission of Sri Lanka.		NA: Data nature not available	0.65	0.79	1.05	1.46	1.45	1.79	2.54	3.88	5.8	8.78	12.0	15.0	18.29	21.9	25.8	29.99	32.05	34.11	34.11	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	148	Chad	017	Middle Africa	Country	TCD	1	18.66618401	15.36279341	PER_100_POP	Per 100 population							ITU estimate. // ITU estimate.  // Office Tchadien de Régulation des Télécommunications // Office Tchadien de Régulation des Télécommunications. // SOTEL.		NA: Data nature not available	0.04	0.05	0.17	0.32	0.36	0.4	0.58	0.85	1.19	1.5	1.7	1.9	2.1	2.5	2.9	3.5	5.0	6.5	6.5	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	152	Chile	005	South America	Country	CHL	1	-71.23029019	-35.2652885	PER_100_POP	Per 100 population						Estimated based on surveys' results. Internet users 5+ over the total population. // Estimated based on surveys' results. Population age 5+. // Internet users 5+ over the total population. // Population age 5+. // older than 15 years	ITU  estimate. // ITU Estimate2. // ITU estimate. // Ministerio Desarrollo Social // Ministerio de Planificación. // OSILAC, ECLAC. // Subsecretaría de Telecomunicaciones // Undersecretariat of Telecommunications		NA: Data nature not available	16.6	19.1	22.1	25.47	28.18	31.18	34.5	35.9	37.3	41.56	45.0	52.25	55.05	58.0	61.11	76.63	82.33	82.33	82.33	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	156	China	030	Eastern Asia	Country	CHN	1	104.1403375	32.30955217	PER_100_POP	Per 100 population						 Permanent residents at the age of 6 or above. In the last 6 months. // Population age 6+. Online at least one hour per week.	CNNIC. // ITU Research based on CNNIC report. // ITU estimate. // Ministry of Industry and Information Technology // Ministry of Information Industry (MII).		NA: Data nature not available	1.78	2.64	4.6	6.2	7.3	8.52	10.52	16.0	22.6	28.9	34.3	38.3	42.3	45.8	47.9	50.3	53.2	54.3	54.3	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	162	Christmas Island	053	Australia and New Zealand	Country	CXR	0	105.6426067	-10.4882473																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	166	Cocos (Keeling) Islands	053	Australia and New Zealand	Country	CCK	0	96.82633757	-12.18600682																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	170	Colombia	005	South America	Country	COL	1	-73.07446751	3.888209046	PER_100_POP	Per 100 population						June. // Los datos son expandidos con proyecciones de población, elaboradas con base en los resultados del censo 2005. La población objetivo de la encuesta corresponde a las personas de 5 años y más de edad. // Population age 5+.	Departamento Administrativo Nacional de Estadistica (DANE) // Departamento Administrativo Nacional de Estadistica (DANE). // Departamento Administrativo Nacional de Estadística - DANE // Departamento Administrativo Nacional de Estadística-DANE. // ITU estimate. // Ministerio de Comunicaciones. // Ministry of Communications' estimate.		NA: Data nature not available	2.21	2.85	4.6	7.39	9.12	11.01	15.34	21.8	25.6	30.0	36.5	40.35	48.98	51.7	52.57	55.9	58.14	62.26	62.26	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	174	Comoros	014	Eastern Africa	Country	COM	1	43.34234565	-11.66121732	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate. 		NA: Data nature not available	0.27	0.44	0.55	0.85	1.33	2.0	2.2	2.5	3.0	3.5	5.1	5.5	5.98	6.5	6.98	7.46	7.94	8.48	8.48	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	175	Mayotte	014	Eastern Africa	Country	MYT	0	45.14015057	-12.82217691	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)		NA: Data nature not available	1.21																		1.21	2000
