goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.13714	False	0.13714	E : Estimated data	0.11691	False	0.11691	E : Estimated data	0.10648	False	0.10648	E : Estimated data	0.10931	False	0.10931	E : Estimated data	0.10465	False	0.10465	E : Estimated data	0.10316	False	0.10316	E : Estimated data	0.09861	False	0.09861	E : Estimated data	0.09921	False	0.09921	E : Estimated data	0.09039	False	0.09039	E : Estimated data	0.09173	False	0.09173	E : Estimated data	0.09283	False	0.09283	E : Estimated data	0.08891	False	0.08891	0.08891	False	0.08891	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	1.84395	False	1.84395	E : Estimated data	1.85109	False	1.85109	E : Estimated data	1.8593	False	1.8593	E : Estimated data	1.85067	False	1.85067	E : Estimated data	1.8452	False	1.8452	E : Estimated data	1.843	False	1.843	E : Estimated data	1.84266	False	1.84266	E : Estimated data	1.84127	False	1.84127	E : Estimated data	1.85741	False	1.85741	E : Estimated data	1.87939	False	1.87939	E : Estimated data	1.89136	False	1.89136	E : Estimated data	1.89234	False	1.89234	1.89234	False	1.89234	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																																																													
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.00944	False	0.00944	E : Estimated data	0.00995	False	0.00995	E : Estimated data	0.01048	False	0.01048	E : Estimated data	0.01125	False	0.01125	E : Estimated data	0.01161	False	0.01161	E : Estimated data	0.0139	False	0.0139	E : Estimated data	0.01609	False	0.01609	E : Estimated data	0.01717	False	0.01717	E : Estimated data	0.01797	False	0.01797	E : Estimated data	0.0189	False	0.0189	E : Estimated data	0.01748	False	0.01748	E : Estimated data	0.01771	False	0.01771	0.01771	False	0.01771	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.34876	False	0.34876	E : Estimated data	0.34417	False	0.34417	E : Estimated data	0.34295	False	0.34295	E : Estimated data	0.34563	False	0.34563	E : Estimated data	0.344	False	0.344	E : Estimated data	0.35023	False	0.35023	E : Estimated data	0.35777	False	0.35777	E : Estimated data	0.35129	False	0.35129	E : Estimated data	0.34231	False	0.34231	E : Estimated data	0.3363	False	0.3363	E : Estimated data	0.33824	False	0.33824	E : Estimated data	0.34007	False	0.34007	0.34007	False	0.34007	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.13556	False	0.13556	E : Estimated data	0.13536	False	0.13536	E : Estimated data	0.13332	False	0.13332	E : Estimated data	0.13394	False	0.13394	E : Estimated data	0.13362	False	0.13362	E : Estimated data	0.13656	False	0.13656	E : Estimated data	0.13751	False	0.13751	E : Estimated data	0.13939	False	0.13939	E : Estimated data	0.13671	False	0.13671	E : Estimated data	0.13326	False	0.13326	E : Estimated data	0.1317	False	0.1317	E : Estimated data	0.13097	False	0.13097	0.13097	False	0.13097	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.07056	False	0.07056	E : Estimated data	0.07162	False	0.07162	E : Estimated data	0.07301	False	0.07301	E : Estimated data	0.07414	False	0.07414	E : Estimated data	0.07443	False	0.07443	E : Estimated data	0.07453	False	0.07453	E : Estimated data	0.07524	False	0.07524	E : Estimated data	0.07571	False	0.07571	E : Estimated data	0.07559	False	0.07559	E : Estimated data	0.0749	False	0.0749	E : Estimated data	0.07455	False	0.07455	E : Estimated data	0.07326	False	0.07326	0.07326	False	0.07326	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	7.75565	False	7.75565	E : Estimated data	7.78099	False	7.78099	E : Estimated data	7.81228	False	7.81228	E : Estimated data	7.82607	False	7.82607	E : Estimated data	7.83897	False	7.83897	E : Estimated data	7.8262	False	7.8262	E : Estimated data	7.81522	False	7.81522	E : Estimated data	7.79705	False	7.79705	E : Estimated data	7.78824	False	7.78824	E : Estimated data	7.72698	False	7.72698	E : Estimated data	7.6843	False	7.6843	E : Estimated data	7.6194	False	7.6194	7.6194	False	7.6194	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	87.39542	False	87.39542	E : Estimated data	87.42916	False	87.42916	E : Estimated data	87.44397	False	87.44397	E : Estimated data	87.41515	False	87.41515	E : Estimated data	87.38522	False	87.38522	E : Estimated data	87.38261	False	87.38261	E : Estimated data	87.38184	False	87.38184	E : Estimated data	87.36864	False	87.36864	E : Estimated data	87.34221	False	87.34221	E : Estimated data	87.31039	False	87.31039	E : Estimated data	87.21831	False	87.21831	E : Estimated data	87.17733	False	87.17733	87.17733	False	87.17733	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	1.23473	False	1.23473	E : Estimated data	1.24088	False	1.24088	E : Estimated data	1.2195	False	1.2195	E : Estimated data	1.1875	False	1.1875	E : Estimated data	1.14718	False	1.14718	E : Estimated data	1.10345	False	1.10345	E : Estimated data	1.07701	False	1.07701	E : Estimated data	1.0506	False	1.0506	E : Estimated data	1.02249	False	1.02249	E : Estimated data	1.00444	False	1.00444	E : Estimated data	1.00894	False	1.00894	E : Estimated data	1.0194	False	1.0194	1.0194	False	1.0194	2016
