goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	typeOfProductCode	typeOfProductDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2000	value_numeric_part_2000	value_is_censored_2000	value_detail_2000	nature_2001	value_numeric_part_2001	value_is_censored_2001	value_detail_2001	nature_2002	value_numeric_part_2002	value_is_censored_2002	value_detail_2002	nature_2003	value_numeric_part_2003	value_is_censored_2003	value_detail_2003	nature_2004	value_numeric_part_2004	value_is_censored_2004	value_detail_2004	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	CRO	Crops	TONNES	Tonnes			G	Global	[2000-2017]: NA	[2000-2017]: Environment Live / Global Material Flows Database		E : Estimated data	5457214.0	False	5457214	E : Estimated data	4982030.0	False	4982030	E : Estimated data	5664336.0	False	5664336	E : Estimated data	6945939.0	False	6945939	E : Estimated data	7608693.0	False	7608693	E : Estimated data	6518511.0	False	6518511	E : Estimated data	9127191.0	False	9127191	E : Estimated data	8509290.0	False	8509290	E : Estimated data	9645728.0	False	9645728	E : Estimated data	8330716.0	False	8330716	E : Estimated data	11396771.0	False	11396771	E : Estimated data	10201945.0	False	10201945	E : Estimated data	9408891.0	False	9408891	E : Estimated data	10749558.0	False	10749558	E : Estimated data	11187033.0	False	11187033	E : Estimated data	11589306.2357	False	11589306.2357	E : Estimated data	12042378.6571	False	12042378.6571	E : Estimated data	12948523.5	False	12948523.5	12948523.5	False	12948523.5	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	GBO	Grazed biomass and fodder crops	TONNES	Tonnes			G	Global	[2000-2017]: NA	[2000-2017]: Environment Live / Global Material Flows Database		E : Estimated data	35095193.1892	False	35095193.1892	E : Estimated data	29620265.0811	False	29620265.0811	E : Estimated data	30071937.5135	False	30071937.5135	E : Estimated data	29284593.2973	False	29284593.2973	E : Estimated data	31541244.5945	False	31541244.5945	E : Estimated data	30922237.8044	False	30922237.8044	E : Estimated data	26911952.3889	False	26911952.3889	E : Estimated data	26066007.9496	False	26066007.9496	E : Estimated data	29516097.1226	False	29516097.1226	E : Estimated data	30721119.7543	False	30721119.7543	E : Estimated data	33306089.5274	False	33306089.5274	E : Estimated data	34440808.3456	False	34440808.3456	E : Estimated data	34749529.5643	False	34749529.5643	E : Estimated data	33693411.0583	False	33693411.0583	E : Estimated data	34373841.7665	False	34373841.7665	E : Estimated data	34627075.4818	False	34627075.4818	E : Estimated data	34880309.1971	False	34880309.1971	E : Estimated data	35133542.9124	False	35133542.9124	35133542.9124	False	35133542.9124	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	FOF	Fossil fuels	TONNES	Tonnes			G	Global	[2000-2017]: NA	[2000-2017]: Environment Live / Global Material Flows Database		E : Estimated data	82900.01563	False	82900.01563	E : Estimated data	102500.44272	False	102500.44272	E : Estimated data	221178.35549	False	221178.35549	E : Estimated data	204974.59248	False	204974.59248	E : Estimated data	117574.57685	False	117574.57685	E : Estimated data	153798.55214	False	153798.55214	E : Estimated data	155096.59248	False	155096.59248	E : Estimated data	356080.098	False	356080.098	E : Estimated data	455869.8507	False	455869.8507	E : Estimated data	599746.4329	False	599746.4329	E : Estimated data	824750.2313	False	824750.2313	E : Estimated data	838088.2313	False	838088.2313	E : Estimated data	862386.6493	False	862386.6493	E : Estimated data	1455709.401	False	1455709.401	E : Estimated data	1626020.27174	False	1626020.27174	E : Estimated data	1726736.58691	False	1726736.58691	E : Estimated data	1827452.90209	False	1827452.90209	E : Estimated data	1928169.21726	False	1928169.21726	1928169.21726	False	1928169.21726	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	NFO	Non-ferrous ores	TONNES	Tonnes			G	Global	[2008-2017]: NA	[2008-2017]: Environment Live / Global Material Flows Database																																		E : Estimated data	39558.289	False	39558.289	E : Estimated data	26906.102	False	26906.102	E : Estimated data	74319.499	False	74319.499	E : Estimated data	101564.087	False	101564.087	E : Estimated data	103103.0033	False	103103.0033	E : Estimated data	104641.91959	False	104641.91959	E : Estimated data	106180.83589	False	106180.83589	E : Estimated data	107719.75218	False	107719.75218	E : Estimated data	109258.66848	False	109258.66848	E : Estimated data	110797.58477	False	110797.58477	110797.58477	False	110797.58477	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	FEO	Ferrous ores	TONNES	Tonnes			G	Global	[2008-2017]: NA	[2008-2017]: Environment Live / Global Material Flows Database																																		E : Estimated data	39558.289	False	39558.289	E : Estimated data	26906.102	False	26906.102	E : Estimated data	74319.499	False	74319.499	E : Estimated data	101564.087	False	101564.087	E : Estimated data	103103.0033	False	103103.0033	E : Estimated data	104641.91959	False	104641.91959	E : Estimated data	106180.83589	False	106180.83589	E : Estimated data	107719.75218	False	107719.75218	E : Estimated data	109258.66848	False	109258.66848	E : Estimated data	110797.58477	False	110797.58477	110797.58477	False	110797.58477	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	WCH	Wild catch and harvest	TONNES	Tonnes			G	Global	[2010]: NA	[2010]: Environment Live / Global Material Flows Database																																										E : Estimated data	9.0	False	9																													9.0	False	9	2010
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	PET	Petroleum																																																																																					
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	ONT	Oil shale and tar sands																																																																																					
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	NMC	Non-metallic minerals - construction dominant	TONNES	Tonnes			G	Global	[2000-2017]: NA	[2000-2017]: Environment Live / Global Material Flows Database		E : Estimated data	11169256.687	False	11169256.687	E : Estimated data	13353308.357	False	13353308.357	E : Estimated data	12899134.59	False	12899134.59	E : Estimated data	16021995.663	False	16021995.663	E : Estimated data	22405572.295	False	22405572.295	E : Estimated data	19515587.585	False	19515587.585	E : Estimated data	18786189.733	False	18786189.733	E : Estimated data	14516845.604	False	14516845.604	E : Estimated data	16513617.543	False	16513617.543	E : Estimated data	23583701.578	False	23583701.578	E : Estimated data	15386789.592	False	15386789.592	E : Estimated data	14696824.485	False	14696824.485	E : Estimated data	15472035.3212	False	15472035.3212	E : Estimated data	14825671.7883	False	14825671.7883	E : Estimated data	16809849.3505	False	16809849.3505	E : Estimated data	17376766.4406	False	17376766.4406	E : Estimated data	17943683.5306	False	17943683.5306	E : Estimated data	18598788.9425	False	18598788.9425	18598788.9425	False	18598788.9425	2017
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	BIM	Biomass	TONNES	Tonnes			G	Global	[2000-2017]: NA	[2000-2017]: Environment Live / Global Material Flows Database		E : Estimated data	5921084.99312	False	5921084.99312	E : Estimated data	5665261.81212	False	5665261.81212	E : Estimated data	5977630.38523	False	5977630.38523	E : Estimated data	6019588.88146	False	6019588.88146	E : Estimated data	6322335.00719	False	6322335.00719	E : Estimated data	6161235.65607	False	6161235.65607	E : Estimated data	6266857.38774	False	6266857.38774	E : Estimated data	6647383.66145	False	6647383.66145	E : Estimated data	6601246.85173	False	6601246.85173	E : Estimated data	6725910.38047	False	6725910.38047	E : Estimated data	6953234.64288	False	6953234.64288	E : Estimated data	7830215.97535	False	7830215.97535	E : Estimated data	7909838.55074	False	7909838.55074	E : Estimated data	7813581.93223	False	7813581.93223	E : Estimated data	7917845.07654	False	7917845.07654	E : Estimated data	8032080.6121	False	8032080.6121	E : Estimated data	8214018.61939	False	8214018.61939	E : Estimated data	8395956.62667	False	8395956.62667	8395956.62667	False	8395956.62667	2017
