goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	NUMBER	Number			G	Global	[2005-2016]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2016]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	158.0	False	158	C : Country data	47.0	False	47	C : Country data	26.0	False	26	C : Country data	46.0	False	46	C : Country data	217.0	False	217	C : Country data	336.0	False	336	C : Country data	71.0	False	71	C : Country data	39.0	False	39	C : Country data	18.0	False	18	C : Country data	37.0	False	37	C : Country data	8.0	False	8	C : Country data	0.0	False	0					0.0	False	0	2016
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	NUMBER	Number			G	Global	[2009,2014-2015]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2009,2014-2015]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																		C : Country data	0.0	False	0																	C : Country data	0.0	False	0	C : Country data	0.0	False	0									0.0	False	0	2015
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	NUMBER	Number			G	Global	[2005,2007-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005,2007-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	140.0	False	140					C : Country data	1171.0	False	1171	C : Country data	2305.0	False	2305	C : Country data	100.0	False	100	C : Country data	2253.0	False	2253	C : Country data	947.0	False	947	C : Country data	774.0	False	774	C : Country data	2069.0	False	2069	C : Country data	798.0	False	798	C : Country data	6014.0	False	6014	C : Country data	3417.0	False	3417	C : Country data	547.0	False	547	547.0	False	547	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	NUMBER	Number			G	Global	[2005,2008-2014]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005,2008-2014]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	0.0	False	0									C : Country data	9.0	False	9	C : Country data	1.0	False	1	C : Country data	4.0	False	4	C : Country data	1.0	False	1	C : Country data	4.0	False	4	C : Country data	6.0	False	6	C : Country data	7.0	False	7													7.0	False	7	2014
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	NUMBER	Number			G	Global	[2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																																																		C : Country data	0.0	False	0	0.0	False	0	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	NUMBER	Number			G	Global	[2005-2009]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2009]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	128.0	False	128	C : Country data	97.0	False	97	C : Country data	656.0	False	656	C : Country data	52.0	False	52	C : Country data	970.0	False	970																																	970.0	False	970	2009
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	NUMBER	Number			G	Global	[2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																																																		C : Country data	0.0	False	0	0.0	False	0	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	NUMBER	Number			G	Global	[2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																																																		C : Country data	89.0	False	89	89.0	False	89	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	NUMBER	Number			G	Global	[2005-2013]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2013]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	28.0	False	28	C : Country data	22.0	False	22	C : Country data	39.0	False	39	C : Country data	29.0	False	29	C : Country data	27.0	False	27	C : Country data	37.0	False	37	C : Country data	30.0	False	30	C : Country data	17.0	False	17	C : Country data	24.0	False	24																	24.0	False	24	2013
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	NUMBER	Number			G	Global	[2009-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2009-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																		C : Country data	612.0	False	612	C : Country data	55.0	False	55	C : Country data	446.0	False	446	C : Country data	0.0	False	0	C : Country data	0.0	False	0	C : Country data	19.0	False	19	C : Country data	0.0	False	0	C : Country data	5.0	False	5	C : Country data	20.0	False	20	20.0	False	20	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	NUMBER	Number			G	Global	[2005-2013]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2013]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	571.0	False	571	C : Country data	83.0	False	83	C : Country data	388.0	False	388	C : Country data	1345.0	False	1345	C : Country data	256.0	False	256	C : Country data	217.0	False	217	C : Country data	1037.0	False	1037	C : Country data	606.0	False	606	C : Country data	2.0	False	2																	2.0	False	2	2013
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	NUMBER	Number			G	Global	[2013-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2013-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																																		C : Country data	0.0	False	0	C : Country data	0.0	False	0	C : Country data	0.0	False	0	C : Country data	0.0	False	0	C : Country data	7.0	False	7	7.0	False	7	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	NUMBER	Number			G	Global	[2005,2007-2011]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005,2007-2011]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	0.0	False	0					C : Country data	0.0	False	0	C : Country data	21.0	False	21	C : Country data	1.0	False	1	C : Country data	131.0	False	131	C : Country data	0.0	False	0																									0.0	False	0	2011
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	NUMBER	Number			G	Global	[2006-2014]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2006-2014]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction						C : Country data	0.0	False	0	C : Country data	1831.0	False	1831	C : Country data	0.0	False	0	C : Country data	98.0	False	98	C : Country data	185.0	False	185	C : Country data	4.0	False	4	C : Country data	30.0	False	30	C : Country data	263.0	False	263	C : Country data	0.0	False	0													0.0	False	0	2014
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323	NUMBER	Number			G	Global	[2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction																																																		C : Country data	0.0	False	0	0.0	False	0	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882	NUMBER	Number			G	Global	[2005-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	6583.0	False	6583	C : Country data	4759.0	False	4759	C : Country data	5650.0	False	5650	C : Country data	151923.0	False	151923	C : Country data	1427.0	False	1427	C : Country data	7014.0	False	7014	C : Country data	17310.0	False	17310	C : Country data	14706.0	False	14706	C : Country data	10289.0	False	10289	C : Country data	7986.0	False	7986	C : Country data	66002.0	False	66002	C : Country data	36173.0	False	36173	C : Country data	14137.0	False	14137	14137.0	False	14137	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	112	Belarus	151	Eastern Europe	Country	BLR	1	28.04940161	53.54193075																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	116	Cambodia	035	South-Eastern Asia	Country	KHM	1	104.922836	12.71163737	NUMBER	Number			G	Global	[2005-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	874.0	False	874	C : Country data	459.0	False	459	C : Country data	1040.0	False	1040	C : Country data	1609.0	False	1609	C : Country data	2052.0	False	2052	C : Country data	2636.0	False	2636	C : Country data	963.0	False	963	C : Country data	957.0	False	957	C : Country data	2684.0	False	2684	C : Country data	614.0	False	614	C : Country data	1849.0	False	1849	C : Country data	129.0	False	129	C : Country data	232.0	False	232	232.0	False	232	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	120	Cameroon	017	Middle Africa	Country	CMR	1	12.7419827	5.692387031																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	124	Canada	021	Northern America	Country	CAN	1	-101.6575058	57.72360191																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	132	Cabo Verde	011	Western Africa	Country	CPV	1	-23.63544151	15.07791834	NUMBER	Number			G	Global	[2006,2008-2009,2014-2015,2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2006,2008-2009,2014-2015,2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction						C : Country data	0.0	False	0					C : Country data	0.0	False	0	C : Country data	1.0	False	1																	C : Country data	234.0	False	234	C : Country data	0.0	False	0					C : Country data	1.0	False	1	1.0	False	1	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	136	Cayman Islands	029	Caribbean	Country	CYM	0	-81.16740559	19.32266656																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	140	Central African Republic	017	Middle Africa	Country	CAF	1	20.93559492	7.003720791																																																																	
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	144	Sri Lanka	034	Southern Asia	Country	LKA	1	80.70489654	7.614693343	NUMBER	Number			G	Global	[2005-2017]: Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”	[2005-2017]: UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction		C : Country data	1578.0	False	1578	C : Country data	2438.0	False	2438	C : Country data	2609.0	False	2609	C : Country data	14804.0	False	14804	C : Country data	631.0	False	631	C : Country data	1370.0	False	1370	C : Country data	8468.0	False	8468	C : Country data	3214.0	False	3214	C : Country data	741.0	False	741	C : Country data	5314.0	False	5314	C : Country data	685.0	False	685	C : Country data	952.0	False	952	C : Country data	2679.0	False	2679	2679.0	False	2679	2017
13	13.1	13.1.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	2019.Q1.G.03	148	Chad	017	Middle Africa	Country	TCD	1	18.66618401	15.36279341																																																																	
