goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2005	value_2010	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																				
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2018
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	HA_TH	Thousands of hectares			G	Global			Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment		G: Global monitoring data	0.0	77.921	216.205	275.436	470.86	490.527	527.632	527.632	2018
