goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.13597	False	0.13597	E : Estimated data	0.11568	False	0.11568	E : Estimated data	0.10531	False	0.10531	E : Estimated data	0.1082	False	0.1082	E : Estimated data	0.10437	False	0.10437	E : Estimated data	0.10293	False	0.10293	E : Estimated data	0.09839	False	0.09839	E : Estimated data	0.09901	False	0.09901	E : Estimated data	0.09014	False	0.09014	E : Estimated data	0.09149	False	0.09149	E : Estimated data	0.09262	False	0.09262	E : Estimated data	0.08875	False	0.08875	0.08875	False	0.08875	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	1.84379	False	1.84379	E : Estimated data	1.85083	False	1.85083	E : Estimated data	1.85906	False	1.85906	E : Estimated data	1.85045	False	1.85045	E : Estimated data	1.84497	False	1.84497	E : Estimated data	1.84281	False	1.84281	E : Estimated data	1.84263	False	1.84263	E : Estimated data	1.84125	False	1.84125	E : Estimated data	1.85738	False	1.85738	E : Estimated data	1.87938	False	1.87938	E : Estimated data	1.89136	False	1.89136	E : Estimated data	1.89234	False	1.89234	1.89234	False	1.89234	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																																																													
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.00944	False	0.00944	E : Estimated data	0.00995	False	0.00995	E : Estimated data	0.01048	False	0.01048	E : Estimated data	0.01125	False	0.01125	E : Estimated data	0.01161	False	0.01161	E : Estimated data	0.0139	False	0.0139	E : Estimated data	0.01609	False	0.01609	E : Estimated data	0.01716	False	0.01716	E : Estimated data	0.01797	False	0.01797	E : Estimated data	0.0189	False	0.0189	E : Estimated data	0.01748	False	0.01748	E : Estimated data	0.01771	False	0.01771	0.01771	False	0.01771	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.34451	False	0.34451	E : Estimated data	0.33939	False	0.33939	E : Estimated data	0.33712	False	0.33712	E : Estimated data	0.30841	False	0.30841	E : Estimated data	0.29559	False	0.29559	E : Estimated data	0.27322	False	0.27322	E : Estimated data	0.27205	False	0.27205	E : Estimated data	0.2667	False	0.2667	E : Estimated data	0.29097	False	0.29097	E : Estimated data	0.29644	False	0.29644	E : Estimated data	0.32725	False	0.32725	E : Estimated data	0.3384	False	0.3384	0.3384	False	0.3384	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.13189	False	0.13189	E : Estimated data	0.13175	False	0.13175	E : Estimated data	0.1295	False	0.1295	E : Estimated data	0.13031	False	0.13031	E : Estimated data	0.12983	False	0.12983	E : Estimated data	0.13572	False	0.13572	E : Estimated data	0.13698	False	0.13698	E : Estimated data	0.13916	False	0.13916	E : Estimated data	0.1364	False	0.1364	E : Estimated data	0.13312	False	0.13312	E : Estimated data	0.13158	False	0.13158	E : Estimated data	0.13088	False	0.13088	0.13088	False	0.13088	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	0.06988	False	0.06988	E : Estimated data	0.07053	False	0.07053	E : Estimated data	0.07179	False	0.07179	E : Estimated data	0.07281	False	0.07281	E : Estimated data	0.0729	False	0.0729	E : Estimated data	0.07302	False	0.07302	E : Estimated data	0.07397	False	0.07397	E : Estimated data	0.07379	False	0.07379	E : Estimated data	0.07344	False	0.07344	E : Estimated data	0.07316	False	0.07316	E : Estimated data	0.07308	False	0.07308	E : Estimated data	0.07201	False	0.07201	0.07201	False	0.07201	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	7.75236	False	7.75236	E : Estimated data	7.7769	False	7.7769	E : Estimated data	7.80931	False	7.80931	E : Estimated data	7.8233	False	7.8233	E : Estimated data	7.83581	False	7.83581	E : Estimated data	7.8225	False	7.8225	E : Estimated data	7.80815	False	7.80815	E : Estimated data	7.78998	False	7.78998	E : Estimated data	7.78298	False	7.78298	E : Estimated data	7.7222	False	7.7222	E : Estimated data	7.68008	False	7.68008	E : Estimated data	7.61921	False	7.61921	7.61921	False	7.61921	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	81.91609	False	81.91609	E : Estimated data	81.71679	False	81.71679	E : Estimated data	82.35437	False	82.35437	E : Estimated data	82.7848	False	82.7848	E : Estimated data	83.58106	False	83.58106	E : Estimated data	83.65122	False	83.65122	E : Estimated data	83.85015	False	83.85015	E : Estimated data	83.72404	False	83.72404	E : Estimated data	83.71421	False	83.71421	E : Estimated data	84.31534	False	84.31534	E : Estimated data	85.04006	False	85.04006	E : Estimated data	85.67487	False	85.67487	85.67487	False	85.67487	2016
6	6.6	6.6.1	EN_WBE_PMPR	Water body extent (permanent) (% of total land area)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	PERCENT	Percentage			G	Global		[2005-2016]: Global Surface Water Explorer extraction for UN Environment		E : Estimated data	1.23325	False	1.23325	E : Estimated data	1.23968	False	1.23968	E : Estimated data	1.21825	False	1.21825	E : Estimated data	1.18605	False	1.18605	E : Estimated data	1.14614	False	1.14614	E : Estimated data	1.10221	False	1.10221	E : Estimated data	1.07553	False	1.07553	E : Estimated data	1.04871	False	1.04871	E : Estimated data	1.02045	False	1.02045	E : Estimated data	1.00243	False	1.00243	E : Estimated data	1.00717	False	1.00717	E : Estimated data	1.0176	False	1.0176	1.0176	False	1.0176	2016
