goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2000	value_numeric_part_2000	value_is_censored_2000	value_detail_2000	nature_2001	value_numeric_part_2001	value_is_censored_2001	value_detail_2001	nature_2002	value_numeric_part_2002	value_is_censored_2002	value_detail_2002	nature_2003	value_numeric_part_2003	value_is_censored_2003	value_detail_2003	nature_2004	value_numeric_part_2004	value_is_censored_2004	value_detail_2004	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	3.083	False	3.083	E : Estimated data	3.224	False	3.224	E : Estimated data	3.75	False	3.75	E : Estimated data	3.822	False	3.822	E : Estimated data	4.007	False	4.007	E : Estimated data	3.825	False	3.825	E : Estimated data	3.792	False	3.792	E : Estimated data	3.776	False	3.776	E : Estimated data	3.709	False	3.709	E : Estimated data	3.766	False	3.766	E : Estimated data	3.93	False	3.93	E : Estimated data	4.142	False	4.142	E : Estimated data	3.485	False	3.485	E : Estimated data	3.646	False	3.646	E : Estimated data	4.123	False	4.123	E : Estimated data	3.825	False	3.825	E : Estimated data	3.674	False	3.674	3.674	False	3.674	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	61.508	False	61.508	E : Estimated data	63.017	False	63.017	E : Estimated data	68.148	False	68.148	E : Estimated data	71.984	False	71.984	E : Estimated data	73.377	False	73.377	E : Estimated data	77.474	False	77.474	E : Estimated data	80.759	False	80.759	E : Estimated data	84.88	False	84.88	E : Estimated data	88.129	False	88.129	E : Estimated data	94.441	False	94.441	E : Estimated data	95.535	False	95.535	E : Estimated data	102.79	False	102.79	E : Estimated data	112.186	False	112.186	E : Estimated data	115.657	False	115.657	E : Estimated data	123.205	False	123.205	E : Estimated data	130.426	False	130.426	E : Estimated data	127.64	False	127.64	127.64	False	127.64	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	4.633	False	4.633	E : Estimated data	5.033	False	5.033	E : Estimated data	5.503	False	5.503	E : Estimated data	7.065	False	7.065	E : Estimated data	7.716	False	7.716	E : Estimated data	6.147	False	6.147	E : Estimated data	8.253	False	8.253	E : Estimated data	9.651	False	9.651	E : Estimated data	11.817	False	11.817	E : Estimated data	13.872	False	13.872	E : Estimated data	15.133	False	15.133	E : Estimated data	16.135	False	16.135	E : Estimated data	16.034	False	16.034	E : Estimated data	18.155	False	18.155	E : Estimated data	19.311	False	19.311	E : Estimated data	19.786	False	19.786	E : Estimated data	19.552	False	19.552	19.552	False	19.552	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	27.306	False	27.306	E : Estimated data	25.834	False	25.834	E : Estimated data	25.515	False	25.515	E : Estimated data	27.832	False	27.832	E : Estimated data	27.405	False	27.405	E : Estimated data	29.018	False	29.018	E : Estimated data	29.396	False	29.396	E : Estimated data	26.696	False	26.696	E : Estimated data	28.811	False	28.811	E : Estimated data	24.522	False	24.522	E : Estimated data	23.532	False	23.532	E : Estimated data	26.45	False	26.45	E : Estimated data	28.895	False	28.895	E : Estimated data	29.462	False	29.462	E : Estimated data	30.794	False	30.794	E : Estimated data	30.806	False	30.806	E : Estimated data	31.409	False	31.409	31.409	False	31.409	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	139.356	False	139.356	E : Estimated data	128.859	False	128.859	E : Estimated data	121.645	False	121.645	E : Estimated data	130.844	False	130.844	E : Estimated data	146.575	False	146.575	E : Estimated data	149.476	False	149.476	E : Estimated data	158.757	False	158.757	E : Estimated data	165.613	False	165.613	E : Estimated data	176.705	False	176.705	E : Estimated data	168.916	False	168.916	E : Estimated data	173.769	False	173.769	E : Estimated data	181.236	False	181.236	E : Estimated data	185.783	False	185.783	E : Estimated data	181.004	False	181.004	E : Estimated data	184.764	False	184.764	E : Estimated data	190.385	False	190.385	E : Estimated data	190.581	False	190.581	190.581	False	190.581	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	334.645	False	334.645	E : Estimated data	340.982	False	340.982	E : Estimated data	348.963	False	348.963	E : Estimated data	352.807	False	352.807	E : Estimated data	366.605	False	366.605	E : Estimated data	371.867	False	371.867	E : Estimated data	377.309	False	377.309	E : Estimated data	387.404	False	387.404	E : Estimated data	389.925	False	389.925	E : Estimated data	395.971	False	395.971	E : Estimated data	389.061	False	389.061	E : Estimated data	387.083	False	387.083	E : Estimated data	386.549	False	386.549	E : Estimated data	382.557	False	382.557	E : Estimated data	373.334	False	373.334	E : Estimated data	379.252	False	379.252	E : Estimated data	392.366	False	392.366	392.366	False	392.366	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	61.82	False	61.82	E : Estimated data	66.191	False	66.191	E : Estimated data	67.632	False	67.632	E : Estimated data	72.708	False	72.708	E : Estimated data	74.006	False	74.006	E : Estimated data	74.325	False	74.325	E : Estimated data	71.833	False	71.833	E : Estimated data	69.366	False	69.366	E : Estimated data	69.129	False	69.129	E : Estimated data	62.82	False	62.82	E : Estimated data	68.278	False	68.278	E : Estimated data	66.737	False	66.737	E : Estimated data	64.105	False	64.105	E : Estimated data	64.77	False	64.77	E : Estimated data	61.237	False	61.237	E : Estimated data	62.508	False	62.508	E : Estimated data	62.88	False	62.88	62.88	False	62.88	2016
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597																																																																																	
9	9.4	9.4.1	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	TONNES_M	Millions of tonnes			G	Global		[2000-2016]: IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E : Estimated data	15.843	False	15.843	E : Estimated data	16.354	False	16.354	E : Estimated data	17.197	False	17.197	E : Estimated data	17.907	False	17.907	E : Estimated data	17.789	False	17.789	E : Estimated data	20.565	False	20.565	E : Estimated data	22.355	False	22.355	E : Estimated data	22.867	False	22.867	E : Estimated data	24.616	False	24.616	E : Estimated data	24.478	False	24.478	E : Estimated data	25.552	False	25.552	E : Estimated data	25.574	False	25.574	E : Estimated data	26.101	False	26.101	E : Estimated data	28.293	False	28.293	E : Estimated data	29.695	False	29.695	E : Estimated data	30.073	False	30.073	E : Estimated data	29.639	False	29.639	29.639	False	29.639	2016
