goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	ageCode	ageDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2004	value_numeric_part_2004	value_is_censored_2004	value_detail_2004	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	0.37	False	0.37	C : Country data	0.59	False	0.59	C : Country data	0.94	False	0.94	C : Country data	1.25	False	1.25	C : Country data	1.49	False	1.49	C : Country data	2.24	False	2.24	C : Country data	2.4	False	2.40	C : Country data	2.23	False	2.23	C : Country data	2.15	False	2.15	C : Country data	2.28	False	2.28	C : Country data	2.33	False	2.33	C : Country data	2.19	False	2.19	C : Country data	2.14	False	2.14	C : Country data	2.14	False	2.14	2.14	False	2.14	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	9.68	False	9.68	C : Country data	11.7	False	11.70	C : Country data	13.82	False	13.82	C : Country data	18.6	False	18.60	C : Country data	23.5	False	23.50	C : Country data	24.01	False	24.01	C : Country data	24.13	False	24.13	C : Country data	24.09	False	24.09	C : Country data	24.02	False	24.02	C : Country data	23.41	False	23.41	C : Country data	21.94	False	21.94	C : Country data	21.85	False	21.85	C : Country data	21.51	False	21.51	C : Country data	20.56	False	20.56	20.56	False	20.56	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	4.7	False	4.70	C : Country data	4.7	False	4.70	C : Country data	4.92	False	4.92	C : Country data	5.04	False	5.04	C : Country data	5.21	False	5.21	C : Country data	5.14	False	5.14	C : Country data	5.03	False	5.03	C : Country data	5.16	False	5.16	C : Country data	5.2	False	5.20	C : Country data	5.19	False	5.19	C : Country data	5.19	False	5.19	C : Country data	5.23	False	5.23	C : Country data	5.23	False	5.23	C : Country data	5.23	False	5.23	5.23	False	5.23	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	1.81	False	1.81	C : Country data	2.24	False	2.24	C : Country data	3.38	False	3.38	C : Country data	3.88	False	3.88	C : Country data	4.67	False	4.67	C : Country data	5.24	False	5.24	C : Country data	7.45	False	7.45	C : Country data	8.41	False	8.41	C : Country data	9.07	False	9.07	C : Country data	10.17	False	10.17	C : Country data	10.2	False	10.20	C : Country data	10.44	False	10.44	C : Country data	10.29	False	10.29	C : Country data	10.28	False	10.28	10.28	False	10.28	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2009-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS																						C : Country data	36.6	False	36.60	C : Country data	35.98	False	35.98	C : Country data	33.97	False	33.97	C : Country data	33.41	False	33.41	C : Country data	32.87	False	32.87	C : Country data	29.65	False	29.65	C : Country data	27.86	False	27.86	C : Country data	27.45	False	27.45	C : Country data	23.18	False	23.18	23.18	False	23.18	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2015]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	6.52	False	6.52	C : Country data	6.75	False	6.75	C : Country data	7.33	False	7.33	C : Country data	8.21	False	8.21	C : Country data	9.19	False	9.19	C : Country data	9.79	False	9.79	C : Country data	9.86	False	9.86	C : Country data	10.0	False	10.00	C : Country data	9.7	False	9.70	C : Country data	10.2	False	10.20	C : Country data	10.83	False	10.83	C : Country data	10.66	False	10.66									10.66	False	10.66	2015
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	13.28	False	13.28	C : Country data	13.09	False	13.09	C : Country data	13.1	False	13.10	C : Country data	13.05	False	13.05	C : Country data	12.98	False	12.98	C : Country data	12.85	False	12.85	C : Country data	12.88	False	12.88	C : Country data	13.0	False	13.00	C : Country data	13.1	False	13.10	C : Country data	13.13	False	13.13	C : Country data	13.13	False	13.13	C : Country data	13.17	False	13.17	C : Country data	13.37	False	13.37	C : Country data	13.42	False	13.42	13.42	False	13.42	2017
