goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		E : Estimated data	65286.0	False	65286	65286.0	False	65286	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	2740.0	False	2740	2740.0	False	2740	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																	
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	238174.0	False	238174	238174.0	False	238174	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	20.0	False	20	20.0	False	20	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	47.0	False	47	47.0	False	47	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	124670.0	False	124670	124670.0	False	124670	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	44.0	False	44	44.0	False	44	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	8266.3	False	8266.3	8266.3	False	8266.3	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		E : Estimated data	273669.0	False	273669	273669.0	False	273669	2015
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	HA_TH	Thousands of hectares			G	Global		[2015]: FAOSTAT		C : Country data	768230.0	False	768230	768230.0	False	768230	2015
