goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	ageCode	ageDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	footnotes	sources	timeDetails	nature_2004	value_numeric_part_2004	value_is_censored_2004	value_detail_2004	nature_2005	value_numeric_part_2005	value_is_censored_2005	value_detail_2005	nature_2006	value_numeric_part_2006	value_is_censored_2006	value_detail_2006	nature_2007	value_numeric_part_2007	value_is_censored_2007	value_detail_2007	nature_2008	value_numeric_part_2008	value_is_censored_2008	value_detail_2008	nature_2009	value_numeric_part_2009	value_is_censored_2009	value_detail_2009	nature_2010	value_numeric_part_2010	value_is_censored_2010	value_detail_2010	nature_2011	value_numeric_part_2011	value_is_censored_2011	value_detail_2011	nature_2012	value_numeric_part_2012	value_is_censored_2012	value_detail_2012	nature_2013	value_numeric_part_2013	value_is_censored_2013	value_detail_2013	nature_2014	value_numeric_part_2014	value_is_censored_2014	value_detail_2014	nature_2015	value_numeric_part_2015	value_is_censored_2015	value_detail_2015	nature_2016	value_numeric_part_2016	value_is_censored_2016	value_detail_2016	nature_2017	value_numeric_part_2017	value_is_censored_2017	value_detail_2017	value_numeric_part_latest	value_is_censored_latest	value_detail_latest	latest_year
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	0.0159	False	0.0159	C : Country data	0.06085	False	0.06085	C : Country data	0.11813	False	0.11813	C : Country data	0.20882	False	0.20882	C : Country data	0.30245	False	0.30245	C : Country data	0.45244	False	0.45244	C : Country data	0.53206	False	0.53206	C : Country data	0.62006	False	0.62006	C : Country data	0.64222	False	0.64222	C : Country data	0.71243	False	0.71243	C : Country data	0.75881	False	0.75881	C : Country data	0.92984	False	0.92984	C : Country data	1.07422	False	1.07422	C : Country data	1.27467	False	1.27467	1.27467	False	1.27467	2017
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	4.22509	False	4.22509	C : Country data	9.25753	False	9.25753	C : Country data	13.86881	False	13.86881	C : Country data	19.36159	False	19.36159	C : Country data	28.62653	False	28.62653	C : Country data	32.94144	False	32.94144	C : Country data	34.13679	False	34.13679	C : Country data	35.26453	False	35.26453	C : Country data	35.6792	False	35.6792	C : Country data	35.3069	False	35.3069	C : Country data	34.55312	False	34.55312	C : Country data	34.97922	False	34.97922	C : Country data	33.80681	False	33.80681	C : Country data	31.47158	False	31.47158	31.47158	False	31.47158	2017
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	1.26084	False	1.26084	C : Country data	1.4953	False	1.4953	C : Country data	2.37363	False	2.37363	C : Country data	3.69927	False	3.69927	C : Country data	4.17928	False	4.17928	C : Country data	5.30143	False	5.30143	C : Country data	5.89581	False	5.89581	C : Country data	6.0697	False	6.0697	C : Country data	6.17905	False	6.17905	C : Country data	6.48133	False	6.48133	C : Country data	7.46715	False	7.46715	C : Country data	8.23633	False	8.23633	C : Country data	8.6686	False	8.6686	C : Country data	9.38457	False	9.38457	9.38457	False	9.38457	2017
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	Y_GE15	15 years old and over																																																																					
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2015]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	0.85471	False	0.85471	C : Country data	1.45324	False	1.45324	C : Country data	3.0434	False	3.0434	C : Country data	4.41332	False	4.41332	C : Country data	6.2587	False	6.2587	C : Country data	8.37917	False	8.37917	C : Country data	10.46771	False	10.46771	C : Country data	12.77843	False	12.77843	C : Country data	15.2444	False	15.2444	C : Country data	17.03617	False	17.03617	C : Country data	18.21821	False	18.21821	C : Country data	18.8292	False	18.8292									18.8292	False	18.8292	2015
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	49.17435	False	49.17435	C : Country data	61.06631	False	61.06631	C : Country data	60.07764	False	60.07764	C : Country data	57.56791	False	57.56791	C : Country data	64.04814	False	64.04814	C : Country data	65.88387	False	65.88387	C : Country data	69.08165	False	69.08165	C : Country data	70.77441	False	70.77441	C : Country data	72.38912	False	72.38912	C : Country data	76.69132	False	76.69132	C : Country data	74.116	False	74.116	C : Country data	71.63419	False	71.63419	C : Country data	65.35093	False	65.35093	C : Country data	63.11424	False	63.11424	63.11424	False	63.11424	2017
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2006-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS										C : Country data	17.06928	False	17.06928	C : Country data	20.35947	False	20.35947	C : Country data	22.70647	False	22.70647	C : Country data	24.66996	False	24.66996	C : Country data	27.07985	False	27.07985	C : Country data	30.03258	False	30.03258	C : Country data	31.39862	False	31.39862	C : Country data	33.25921	False	33.25921	C : Country data	35.43186	False	35.43186	C : Country data	36.21634	False	36.21634	C : Country data	32.73286	False	32.73286	C : Country data	32.12758	False	32.12758	32.12758	False	32.12758	2017
8	8.10	8.10.1	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	Y_GE15	15 years old and over	NUMBER	Number			G	Global		[2004-2017]: Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C : Country data	21.69288	False	21.69288	C : Country data	22.79436	False	22.79436	C : Country data	25.40428	False	25.40428	C : Country data	28.52194	False	28.52194	C : Country data	32.9436	False	32.9436	C : Country data	36.87114	False	36.87114	C : Country data	41.90759	False	41.90759	C : Country data	47.51679	False	47.51679	C : Country data	50.91931	False	50.91931	C : Country data	56.2096	False	56.2096	C : Country data	58.84075	False	58.84075	C : Country data	60.55437	False	60.55437	C : Country data	60.10374	False	60.10374	C : Country data	59.39126	False	59.39126	59.39126	False	59.39126	2017
