topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1985	value_1995	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	5	South America	1	68	Bolivia (Plurinational State of)	BOL	1	-64.66224284	-16.71273412	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	663.6006	887.4588	1046.432	1233.5919	1389.6269	1736.9335	1776.8702	1981.1763	2377.6888	2645.2277	2947.9385	3124.0003	3077.0262	3117.3305	3393.9558	3393.9558	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	39	Southern Europe	1	70	Bosnia and Herzegovina	BIH	1	17.78584332	44.16845548	US dollars	0					[1995,2005-2017]: United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	[1995,2005-2017]: Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.		529.1099	2967.7925	3403.8765	4180.9054	5078.3309	4701.3638	4614.7053	5054.1939	4721.9824	5042.7489	5204.3525	4584.2642	4808.5301	5180.7778	5180.7778	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	18	Southern Africa	1	72	Botswana	BWA	1	23.81380223	-22.18810073	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	704.3829	3014.8606	5351.3153	5374.5813	5714.0334	5623.4152	5185.705	6346.1353	7483.8497	6901.9078	7001.0099	7493.7484	6527.5031	6954.1731	7595.5958	7595.5958	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	5	South America	1	76	Brazil	BRA	1	-53.08432878	-10.77668561	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	1381.6695	4794.0176	4770.2034	5860.0739	7313.7143	8787.7704	8553.2609	11223.9837	13167.2465	12291.6644	12216.9659	12026.8649	8750.2115	8633.6414	9821.4398	9821.4398	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	13	Central America	1	84	Belize	BLZ	1	-88.70199554	17.19965901	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	1268.4861	2834.2506	3933.3409	4187.3863	4324.8818	4470.2203	4258.7814	4344.155	4516.2474	4673.7907	4685.2499	4844.9817	4950.2558	4960.1817	5076.9888	5076.9888	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	54	Melanesia	1	90	Solomon Islands	SLB	1	160.1584117	-9.622391719	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	590.7832	1015.1335	914.0024	978.7188	1192.8228	1262.8415	1237.3234	1363.4645	1612.7255	1769.403	1839.0565	1868.4456	1802.8553	1886.3992	1982.2843	1982.2843	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	29	Caribbean	1	92	British Virgin Islands	VGB	0	-64.63294223	18.42256578	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	3395.9379	21114.3545	36802.1038	38619.2729	40063.7333	37970.4541	32461.5781	32183.0738	30751.6218	30548.1427	30885.1872	31689.1645	31697.8342	31676.6286	31916.8169	31916.8169	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	35	South-eastern Asia	1	96	Brunei Darussalam	BRN	1	114.6288563	4.49736984	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	19711.6126	17649.9409	28922.5281	34327.7637	36201.5398	42053.0468	30987.9498	35267.4464	47015.6842	47651.1279	44598.0757	41529.3408	30967.6591	26938.5034	28290.7662	28290.7662	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	151	Eastern Europe	1	100	Bulgaria	BGR	1	25.23763153	42.75731323	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	1836.8399	1722.5251	3856.9631	4476.2014	5868.9338	7245.0241	6958.7688	6834.9961	7805.6624	7373.2459	7645.9321	7866.8058	6994.3609	7465.4338	8218.1956	8218.1956	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	35	South-eastern Asia	1	104	Myanmar	MMR	1	96.51752295	21.19332882	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	177.4884	179.5698	246.0847	283.5738	370.7939	522.7278	661.3325	826.3221	1145.104	1196.6644	1207.8077	1276.8572	1193.4945	1220.7525	1257.281	1257.281	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	14	Eastern Africa	1	108	Burundi	BDI	1	29.89080992	-3.366387428	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	249.0714	167.7995	150.4871	165.9048	170.815	196.2719	209.152	231.7958	247.2264	250.362	255.3727	273.5384	275.5639	277.0382	290.4442	290.4442	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	151	Eastern Europe	1	112	Belarus	BLR	1	28.04940161	53.54193075	US dollars	0					[1995,2005-2017]: United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	[1995,2005-2017]: Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.		1412.3484	3246.0473	3990.8011	4908.0331	6606.184	5362.8409	6041.5367	6522.9279	6934.9431	7967.9624	8309.361	5951.5216	5034.1074	5749.8147	5749.8147	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	35	South-eastern Asia	1	116	Cambodia	KHM	1	104.922836	12.71163737	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	137.3054	310.6339	474.224	539.8722	631.6761	745.7881	738.2321	785.6931	882.4903	950.0244	1028.4192	1098.6863	1163.1898	1269.9072	1382.1214	1382.1214	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	17	Middle Africa	1	120	Cameroon	CMR	1	12.7419827	5.692387031	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	954.9338	716.2404	1030.0381	1081.3698	1215.8083	1396.8251	1338.8844	1309.1189	1429.6435	1380.5094	1493.7483	1571.181	1353.4456	1391.586	1451.9176	1451.9176	2017
6	National accounts	Comptes nationaux	gdp	19	Gross domestic product and gross domestic product per capita	GDP per capita	SYB025	21	Northern America	1	124	Canada	CAN	1	-101.6575058	57.72360191	US dollars	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2018.	14097.6142	20593.6634	36217.6068	40295.2444	44366.4853	46373.1207	40578.8457	47220.5546	51786.8633	52270.8283	52264.96	50534.6202	43185.9706	42076.6404	44973.5481	44973.5481	2017
