refAreaCode,codeType_Code,codeType_DescEN,codeType_DescFR
0,,Other,
1,,Region,
2,,Region,
3,,Region,
4,,Area,
5,,Region,
6,,Region,
7,,Region,
8,,Area,
9,,Region,
10,,Region,
11,,Region,
12,,Area,
13,,Region,
14,,Region,
15,,Region,
16,,Area,
17,,Region,
18,,Region,
19,,Region,
20,,Area,
21,,Region,
22,,Area,
23,,Area,
24,,Area,
25,,Group,
26,,Group,
27,,Region,
28,,Area,
29,,Region,
30,,Region,
31,,Area,
32,,Area,
33,,Region,
34,,Region,
35,,Region,
36,,Area,
37,,Region,
38,,Region,
39,,Region,
40,,Area,
41,,Region,
42,,Region,
43,,Group,
44,,Area,
45,,Region,
46,,Region,
47,,Region,
48,,Area,
49,,Region,
50,,Area,
51,,Area,
52,,Area,
53,,Region,
54,,Region,
55,,Region,
56,,Area,
57,,Region,
58,,Area,
59,,Group,
60,,Area,
61,,Region,
62,,Region,
63,,Group,
64,,Area,
65,,Group,
66,,Group,
67,,Group,
68,,Area,
69,,Group,
70,,Area,
71,,Group,
72,,Area,
73,,Group,
74,,Area,
76,,Area,
80,,Area,
81,,Group,
84,,Area,
86,,Area,
90,,Area,
92,,Area,
93,,Area,
95,,Group,
96,,Area,
97,,Group,
98,,Group,
100,,Area,
104,,Area,
108,,Area,
112,,Area,
116,,Area,
119,,Group,
120,,Area,
121,,Area,
122,,Area,
124,,Area,
127,,Group,
128,,Area,
129,,Region,
130,,Group,
131,,Group,
132,,Area,
133,,Area,
136,,Area,
140,,Area,
141,,Region,
142,,Region,
143,,Region,
144,,Area,
145,,Region,
147,,Group,
148,,Area,
150,,Region,
151,,Region,
152,,Area,
153,,Area,
154,,Region,
155,,Region,
156,,Area,
157,,Area,
158,,Area,
160,,Group,
161,,Group,
162,,Area,
166,,Area,
170,,Area,
171,,Group,
172,,Group,
173,,Group,
174,,Area,
175,,Area,
176,,Group,
178,,Area,
180,,Area,
184,,Area,
185,,Area,
188,,Area,
190,,Group,
191,,Area,
192,,Area,
196,,Area,
197,,Group,
198,,Group,
199,,Group,
200,,Area,
201,,Group,
202,,Region,
203,,Area,
204,,Area,
208,,Area,
209,,Area,
212,,Area,
214,,Area,
216,,Area,
217,,Group,
218,,Area,
219,,Region,
220,,Region,
221,,Region,
222,,Area,
223,,Group,
224,,Agency,
225,,Agency,
226,,Area,
227,,Area,
228,,Area,
230,,Area,
231,,Area,
232,,Area,
233,,Area,
234,,Area,
238,,Area,
239,,Area,
240,,Agency,
241,,Agency,
242,,Area,
246,,Area,
248,,Area,
249,,Area,
250,,Area,
251,,Area,
252,,Area,
253,,Area,
254,,Area,
258,,Area,
260,,Area,
262,,Area,
263,,Group,
265,,Group,
266,,Area,
267,,Group,
268,,Area,
270,,Area,
272,,Agency,
273,,Agency,
274,,Area,
275,,Area,
276,,Area,
278,,Area,
280,,Area,
282,,Area,
283,,Region,
284,,Area,
288,,Area,
289,,Region,
290,,Region,
292,,Area,
295,,Group,
296,,Area,
297,,Area,
300,,Area,
304,,Area,
308,,Area,
310,,Group,
312,,Area,
316,,Area,
320,,Area,
324,,Area,
325,,Group,
328,,Area,
332,,Area,
334,,Area,
336,,Area,
340,,Area,
344,,Area,
348,,Area,
349,,Agency,
350,,Agency,
351,,Agency,
352,,Area,
353,,Agency,
354,,Agency,
355,,Agency,
356,,Area,
357,,Agency,
358,,Agency,
359,,Agency,
360,,Area,
361,,Area,
364,,Area,
368,,Area,
372,,Area,
375,,Agency,
376,,Area,
378,,Agency,
380,,Area,
381,,Area,
382,,Area,
384,,Area,
386,,Agency,
388,,Area,
392,,Area,
393,,Area,
394,,Area,
395,,Group,
396,,Area,
397,,Agency,
398,,Area,
399,,Group,
400,,Area,
401,,Area,
402,,Area,
404,,Area,
407,,Area,
408,,Area,
410,,Area,
412,,Area,
414,,Area,
415,,Area,
416,,Area,
417,,Area,
418,,Area,
419,,Region,
420,,Region,
422,,Area,
423,,Area,
426,,Area,
428,,Area,
430,,Area,
432,,Group,
434,,Area,
438,,Area,
440,,Area,
442,,Area,
446,,Area,
450,,Area,
452,,Group,
454,,Area,
455,,Area,
457,,Area,
458,,Area,
459,,Area,
460,,Area,
461,,Area,
462,,Area,
466,,Area,
470,,Area,
471,,Group,
472,,Group,
473,,Group,
474,,Area,
476,,Area,
477,,Area,
478,,Area,
479,,Area,
480,,Area,
481,,Area,
482,,Area,
483,,Area,
484,,Area,
485,,Group,
486,,Group,
487,,Group,
488,,Area,
489,,Group,
490,,N,
491,,Group,
492,,Area,
496,,Area,
497,,Group,
498,,Area,
499,,Area,
500,,Area,
501,,Group,
502,,Group,
