topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1975	value_1976	value_1977	value_1978	value_1979	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odafrmdac	103	Net disbursements of official development assistance from donors	Net disbursements of official development assistance to developing countries and multilateral organizations as percent of GNI	SYB096	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Percent of GNI	0			Development Assistance Committee member (OECD).	Le Comité d’aide au développement (l’OCDE).	Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	0.6549	0.4078	0.41950000000000004	0.5461	0.5279	0.48350000000000004	0.41090000000000004	0.561	0.4898	0.45020000000000004	0.4829	0.46580000000000005	0.33530000000000004	0.46090000000000003	0.37610000000000005	0.3401	0.3753	0.36610000000000004	0.3471	0.3415	0.3425	0.2737	0.27040000000000003	0.2713	0.257	0.2666	0.2519	0.2556	0.2472	0.2451	0.24760000000000001	0.29510000000000003	0.3226	0.316	0.2936	0.32270000000000004	0.3436	0.3609	0.3309	0.3143	0.2911	0.26580000000000004	0.232	0.232	2017
