refAreaCode,exportPartner3_Code,exportPartner3_DescEN,exportPartner3_DescFR
384,56,Belgium,Belgique
388,124,Canada,Canada
392,410,Republic of Korea,République de Corée
398,528,Netherlands,Pays-Bas
400,682,Saudi Arabia,Arabie saoudite
404,586,Pakistan,Pakistan
410,704,Viet Nam,Viet Nam
417,643,Russian Federation,Fédération de Russie
422,784,United Arab Emirates,Émirats arabes unis
426,56,Belgium,Belgique
428,643,Russian Federation,Fédération de Russie
440,616,Poland,Pologne
442,56,Belgium,Belgique
446,156,China,Chine
450,276,Germany,Allemagne
454,508,Mozambique,Mozambique
458,840,United States,États-Unis
462,840,United States,États-Unis
466,784,United Arab Emirates,Émirats arabes unis
470,276,Germany,Allemagne
478,724,Spain,Espagne
480,840,United States,États-Unis
484,276,Germany,Allemagne
496,643,Russian Federation,Fédération de Russie
498,380,Italy,Italie
499,899,Areas nes,Zones nsa
500,250,France,France
504,380,Italy,Italie
508,356,India,Inde
512,784,United Arab Emirates,Émirats arabes unis
516,72,Botswana,Botswana
524,792,Turkey,Turquie
528,826,United Kingdom,Royaume-Uni
533,528,Netherlands,Pays-Bas
540,410,Republic of Korea,République de Corée
548,608,Philippines,Philippines
554,840,United States,États-Unis
558,222,El Salvador,El Salvador
562,458,Malaysia,Malaisie
566,724,Spain,Espagne
578,528,Netherlands,Pays-Bas
585,316,Guam,Guam
586,156,China,Chine
591,899,Areas nes,Zones nsa
598,156,China,Chine
600,152,Chile,Chili
604,756,Switzerland,Suisse
608,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
616,203,Czechia,Tchéquie
620,276,Germany,Allemagne
626,840,United States,États-Unis
634,356,India,Inde
642,250,France,France
643,528,Netherlands,Pays-Bas
646,784,United Arab Emirates,Émirats arabes unis
659,780,Trinidad and Tobago,Trinité-et-Tobago
662,780,Trinidad and Tobago,Trinité-et-Tobago
670,28,Antigua and Barbuda,Antigua-et-Barbuda
678,250,France,France
682,156,China,Chine
686,837,Bunkers,Com. de soute
688,70,Bosnia-Herzegovina,Bosnie-Herzégovine
694,56,Belgium,Belgique
702,458,Malaysia,Malaisie
703,616,Poland,Pologne
704,392,Japan,Japon
705,191,Croatia,Croatie
710,276,Germany,Allemagne
716,784,United Arab Emirates,Émirats arabes unis
724,380,Italy,Italie
740,56,Belgium,Belgique
752,246,Finland,Finlande
756,156,China,Chine
764,392,Japan,Japon
768,288,Ghana,Ghana
776,554,New Zealand,Nouvelle-Zélande
784,356,India,Inde
788,276,Germany,Allemagne
792,784,United Arab Emirates,Émirats arabes unis
800,728,South Sudan,Soudan du Sud
804,792,Turkey,Turquie
807,100,Bulgaria,Bulgarie
818,792,Turkey,Turquie
826,250,France,France
834,710,South Africa,Afrique du Sud
840,156,China,Chine
854,356,India,Inde
858,838,Free zones,Zones franches
862,356,India,Inde
882,554,New Zealand,Nouvelle-Zélande
887,899,Areas nes,Zones nsa
894,702,Singapore,Singapour
24,724,Spain,Espagne
48,840,United States,États-Unis
92,840,United States,États-Unis
104,392,Japan,Japon
136,690,Seychelles,Seychelles
144,356,India,Inde
148,156,China,Chine
180,410,Republic of Korea,République de Corée
192,724,Spain,Espagne
226,410,Republic of Korea,République de Corée
232,784,United Arab Emirates,Émirats arabes unis
234,208,Denmark,Danemark
238,840,United States,États-Unis
262,784,United Arab Emirates,Émirats arabes unis
266,36,Australia,Australie
292,528,Netherlands,Pays-Bas
308,276,Germany,Allemagne
332,124,Canada,Canada
368,784,United Arab Emirates,Émirats arabes unis
408,356,India,Inde
414,682,Saudi Arabia,Arabie saoudite
418,704,Viet Nam,Viet Nam
430,784,United Arab Emirates,Émirats arabes unis
434,724,Spain,Espagne
580,702,Singapore,Singapour
583,608,Philippines,Philippines
584,764,Thailand,Thaïlande
624,112,Belarus,Bélarus
654,203,Czechia,Tchéquie
660,662,Saint Lucia,Sainte-Lucie
666,620,Portugal,Portugal
690,826,United Kingdom,Royaume-Uni
706,784,United Arab Emirates,Émirats arabes unis
728,800,Uganda,Ouganda
729,682,Saudi Arabia,Arabie saoudite
748,716,Zimbabwe,Zimbabwe
760,682,Saudi Arabia,Arabie saoudite
762,756,Switzerland,Suisse
772,250,France,France
780,170,Colombia,Colombie
795,4,Afghanistan,Afghanistan
796,840,United States,États-Unis
798,70,Bosnia-Herzegovina,Bosnie-Herzégovine
860,643,Russian Federation,Fédération de Russie
876,250,France,France
158,840,United States,États-Unis
