refAreaCode,ISO3CD_Code,ISO3CD_DescEN,ISO3CD_DescFR
4,AFG,ISO-3 code,
8,ALB,ISO-3 code,
10,ATA,ISO-3 code,
12,DZA,ISO-3 code,
16,ASM,ISO-3 code,
20,AND,ISO-3 code,
24,AGO,ISO-3 code,
28,ATG,ISO-3 code,
31,AZE,ISO-3 code,
32,ARG,ISO-3 code,
36,AUS,ISO-3 code,
40,AUT,ISO-3 code,
44,BHS,ISO-3 code,
48,BHR,ISO-3 code,
50,BGD,ISO-3 code,
51,ARM,ISO-3 code,
52,BRB,ISO-3 code,
56,BEL,ISO-3 code,
60,BMU,ISO-3 code,
64,BTN,ISO-3 code,
68,BOL,ISO-3 code,
70,BIH,ISO-3 code,
72,BWA,ISO-3 code,
74,BVT,ISO-3 code,
76,BRA,ISO-3 code,
80,ATB,ISO-3 code,
84,BLZ,ISO-3 code,
86,IOT,ISO-3 code,
90,SLB,ISO-3 code,
92,VGB,ISO-3 code,
96,BRN,ISO-3 code,
100,BGR,ISO-3 code,
104,MMR,ISO-3 code,
108,BDI,ISO-3 code,
112,BLR,ISO-3 code,
116,KHM,ISO-3 code,
120,CMR,ISO-3 code,
124,CAN,ISO-3 code,
128,CTE,ISO-3 code,
132,CPV,ISO-3 code,
136,CYM,ISO-3 code,
140,CAF,ISO-3 code,
144,LKA,ISO-3 code,
148,TCD,ISO-3 code,
152,CHL,ISO-3 code,
156,CHN,ISO-3 code,
158,TWN,ISO-3 code,
162,CXR,ISO-3 code,
166,CCK,ISO-3 code,
170,COL,ISO-3 code,
174,COM,ISO-3 code,
175,MYT,ISO-3 code,
178,COG,ISO-3 code,
180,COD,ISO-3 code,
184,COK,ISO-3 code,
188,CRI,ISO-3 code,
191,HRV,ISO-3 code,
192,CUB,ISO-3 code,
196,CYP,ISO-3 code,
200,CSK,ISO-3 code,
203,CZE,ISO-3 code,
204,BEN,ISO-3 code,
208,DNK,ISO-3 code,
212,DMA,ISO-3 code,
214,DOM,ISO-3 code,
216,ATN,ISO-3 code,
218,ECU,ISO-3 code,
222,SLV,ISO-3 code,
226,GNQ,ISO-3 code,
230,XETH,ISO-3 code,
231,ETH,ISO-3 code,
232,ERI,ISO-3 code,
233,EST,ISO-3 code,
234,FRO,ISO-3 code,
238,FLK,ISO-3 code,
239,SGS,ISO-3 code,
242,FJI,ISO-3 code,
246,FIN,ISO-3 code,
248,ALA,ISO-3 code,
249,FXX,ISO-3 code,
250,FRA,ISO-3 code,
254,GUF,ISO-3 code,
258,PYF,ISO-3 code,
260,ATF,ISO-3 code,
262,DJI,ISO-3 code,
266,GAB,ISO-3 code,
268,GEO,ISO-3 code,
270,GMB,ISO-3 code,
275,PSE,ISO-3 code,
276,DEU,ISO-3 code,
278,DDR,ISO-3 code,
280,XDEU,ISO-3 code,
288,GHA,ISO-3 code,
292,GIB,ISO-3 code,
296,KIR,ISO-3 code,
300,GRC,ISO-3 code,
304,GRL,ISO-3 code,
308,GRD,ISO-3 code,
312,GLP,ISO-3 code,
316,GUM,ISO-3 code,
320,GTM,ISO-3 code,
324,GIN,ISO-3 code,
