topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Percent	0			[2001,2007,2010-2017]: Estimate.	[2001,2007,2010-2017]: Données estimatives.	[2001-2017]: International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	[2001-2017]: Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.		0.0047	0.0046	0.0879	0.1058	1.2241	2.1071	1.9	1.84	3.55	4.0	5.0	5.4545	5.9	7.0	8.26	10.5957	11.4477	11.4477	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Percent	0			[2006-2007,2011-2017]: Estimate.	[2006-2007,2011-2017]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.11410000000000001	0.32580000000000003	0.3901	0.9719000000000001	2.4204	6.0439	9.61	15.0361	23.86	41.2	45.0	49.0	54.656	57.2	60.1	63.2529	66.3634	71.847	71.847	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Percent	0			[2011-2017]: Estimate.	[2011-2017]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.4917	0.6461	1.5916000000000001	2.1954000000000002	4.6345	5.8439	7.376	9.4512	10.18	11.23	12.5	14.9	18.2	22.5	29.5	38.2	42.9455	47.6911	47.6911	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Percent	0																										
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Percent	0			[2012-2017]: Estimate.	[2012-2017]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	10.5388	10.5388	11.2605	13.5464	26.838	37.6058	48.9368	70.87	70.04	78.53	81.0	81.0	86.4344	94.0	95.9	96.91	97.9306	98.8714	98.8714	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Percent	0			[2007-2013,2015-2017]: Estimate. [2014]: Population aged 5 years and over. [2014]: Users in the last 12 months.	[2007-2013,2015-2017]: Données estimatives. [2014]: Population âgée de 5 ans et plus. [2014]: Utilisateurs au cours des 12 derniers mois.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.10500000000000001	0.136	0.27040000000000003	0.37070000000000003	0.46480000000000005	1.1434	1.5	1.7000000000000002	1.9	2.3	2.8	3.1	6.5	8.9	10.2	12.4	13.0	14.3391	14.3391	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Percent	0			[2001,2003,2005-2010,2012-2016]: Estimate. [2011]: Population aged 5 years and over.	[2001,2003,2005-2010,2012-2016]: Données estimatives. [2011]: Population âgée de 5 ans et plus.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	6.4822	8.8993	12.5	17.2286	24.2665	27.0	30.0	34.0	38.0	42.0	47.0	52.0	58.0	63.4	67.78	70.0	73.0	76.0	76.0	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Percent	0			[2007,2011-2012]: Estimate. [2008-2011,2013-2015]: Population aged 7 years and over.	[2007,2011-2012]: Données estimatives. [2008-2011,2013-2015]: Population âgée de 7 ans et plus.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.14780000000000001	0.30560000000000004	4.9997	4.9997	4.9997	8.0304	11.9922	14.54	17.08	27.4	46.0	50.0	54.2	73.0	75.0	77.0	78.2	79.0	79.0	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Percent	0			[2010-2014,2017]: Estimate. [2011]: Population aged 10 years and over.	[2010-2014,2017]: Données estimatives. [2011]: Population âgée de 10 ans et plus.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	7.0387	9.7808	10.8821	11.9137	16.0367	17.7206	20.9272	25.9466	28.1126	34.0	45.0	51.0	55.8	59.9	64.7	68.0431	70.969	75.8097	75.8097	2017
5	Communication	Communications	internet_n	106	Internet Usage	Percentage of individuals using the internet	SYB105	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Percent	0			[2001-2004,2010,2014,2016]: Estimate. [2005-2009,2011-2013,2015]: Population aged 15 years and over. [2017]: Population aged 15 to 72 years.	[2001-2004,2010,2014,2016]: Données estimatives. [2005-2009,2011-2013,2015]: Population âgée de 15 ans et plus. [2017]: Population âgée de 15 à 72 ans.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	46.7561	52.6893	52.6893	52.6893	52.6893	63.0	66.0	69.45	71.67	74.25	76.0	79.4877	79.0	83.4535	84.0	84.5605	86.54	86.5447	86.5447	2017
