topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	sexCode	sexDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1990	value_1995	value_2000	value_2005	value_2010	value_2015	value_2017	value_latest_year	latest_year
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	57686.0	71522.0	75917.0	87300.0	102246.0	489749.0	133612.0	133612.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	66013.0	71354.0	76695.0	64739.0	52784.0	52031.0	52484.0	52484.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	_T	Both sexes or no breakdown by sex	Number	0			Including refugees.	Y compris les réfugiés.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	273954.0	262032.0	250110.0	197422.0	216964.0	239473.0	248624.0	248624.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	21283.0	23098.0	24912.0	24233.0	23555.0	23513.0	23561.0	23561.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	_T	Both sexes or no breakdown by sex	Number	0			Refers to foreign citizens.	Se rapportent aux citoyens étrangers.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	38904.0	40525.0	42146.0	50298.0	52053.0	42082.0	41039.0	41039.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	_T	Both sexes or no breakdown by sex	Number	0			Including refugees.	Y compris les réfugiés.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	33517.0	39813.0	46108.0	61329.0	76549.0	632178.0	638499.0	638499.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	12029.0	17550.0	23071.0	24741.0	26412.0	28083.0	28646.0	28646.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	_T	Both sexes or no breakdown by sex	Number	0			Including Nagorno-Karabakh. Including refugees.	Y compris le Haut-Karabakh. Y compris les réfugiés.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	360600.0	344070.0	327540.0	302220.0	276901.0	264241.0	259241.0	259241.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	1649919.0	1595069.0	1540219.0	1673088.0	1805957.0	2086302.0	2164524.0	2164524.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	_T	Both sexes or no breakdown by sex	Number	0			Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.	Y compris l’île Christmas, les îles des Cocos (Keeling) et l’île Norfolk.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	3955213.0	4153330.0	4386250.0	4878030.0	5882980.0	6710540.0	7035560.0	7035560.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	793239.0	894893.0	996547.0	1136270.0	1275992.0	1492374.0	1660283.0	1660283.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	_T	Both sexes or no breakdown by sex	Number	0					United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	26855.0	31654.0	36454.0	45595.0	54736.0	59306.0	61806.0	61806.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	_T	Both sexes or no breakdown by sex	Number	0			Refers to foreign citizens.	Se rapportent aux citoyens étrangers.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	173212.0	205979.0	239361.0	404018.0	657856.0	704137.0	722649.0	722649.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622	_T	Both sexes or no breakdown by sex	Number	0			Including refugees.	Y compris les réfugiés.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	881617.0	934735.0	987853.0	1166700.0	1345546.0	1422805.0	1500921.0	1500921.0	2017
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	International migrant stock	SYB074	145	Western Asia	1	51	Armenia	ARM	1	44.93839317	40.29499741	_T	Both sexes or no breakdown by sex	Number	0			Including refugees.	Y compris les réfugiés.	United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018.	Organisation des Nations Unies, Division de la population, New York, « International migrant stock: The 2017 Revision », derniér accéss janvier 2018.	658789.0	693999.0	657900.0	469119.0	221560.0	191199.0	190719.0	190719.0	2017
