topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	activityCode	activityDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	AGR	Agriculture, hunting, forestry and fishing	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	51.2252	50.2605	47.2572	61.2717	67.7089	35.7411	49.6991	55.4452	63.4815	73.2905	65.6861	64.8065	63.518299999999996	61.7988	59.6294	57.0007	53.2468	43.7212	41.9909	34.2184	35.2479	34.4948	33.6949	28.5	32.22	28.8094	27.9898	26.3991	25.6882	24.935	22.6614	24.0723	23.8915	23.8915	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	IND	Industry	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	24.9187	23.8067	24.3801	19.4918	17.9378	23.6967	23.4604	15.9875	14.356	11.8178	10.5182	12.2839	14.3864	16.8775	19.8064	23.213	26.0504	21.6908	21.365	25.2005	25.9585	25.8186	27.0049	26.316	21.9241	21.3476	22.389	21.3269	20.4401	21.4468	22.6744	22.015	22.0442	22.0442	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	SER	Services	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	23.8561	25.9328	28.3627	19.2365	14.3533	40.5622	26.8405	28.5673	22.1626	14.8917	23.7957	22.9096	22.0953	21.3237	20.5641	19.7863	20.7028	34.5879	36.6442	40.5811	38.7936	39.6866	39.3002	45.184	45.8558	49.843	49.6212	52.274	53.8717	53.6182	54.6642	53.9127	54.0643	54.0643	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	AGR	Agriculture, hunting, forestry and fishing	Percent of total gross value added	0			Data classified according to ISIC Rev. 4.	Classifiées selon la CITI, Rév. 4.	United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	38.6538	37.992	37.084	35.33	36.2352	39.6279	42.1554	54.1946	54.4843	54.4672	54.3052	38.9181	34.298	32.6638	29.028	27.7908	25.4111	24.773	24.9908	23.3956	21.542	19.6866	20.4627	19.4205	19.4098	20.6582	20.9581	21.6607	22.4285	22.9031	22.5215	22.6955	21.7033	21.7033	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	IND	Industry	Percent of total gross value added	0			Data classified according to ISIC Rev. 4.	Classifiées selon la CITI, Rév. 4.	United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	43.0948	44.0003	45.5758	46.2631	44.7738	47.3991	42.4248	28.2666	27.0554	26.4547	26.4933	18.5701	19.6911	17.4146	18.5201	21.9871	24.3143	25.9891	27.352899999999998	28.0982	28.6709	29.0821	29.2445	29.0217	28.2156	28.6905	28.1535	26.4526	26.4363	24.6431	24.7798	24.091	24.2048	24.2048	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	SER	Services	Percent of total gross value added	0			Data classified according to ISIC Rev. 4.	Classifiées selon la CITI, Rév. 4.	United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	18.2514	18.0077	17.3402	18.4069	18.991	12.973	15.4198	17.5388	18.4603	19.0781	19.2016	42.5118	46.011	49.9216	52.452	50.2221	50.2746	49.2378	47.6563	48.5062	49.7872	51.2313	50.2928	51.5578	52.3746	50.6513	50.8884	51.8867	51.1351	52.4538	52.6987	53.2135	54.092	54.092	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	AGR	Agriculture, hunting, forestry and fishing	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	8.3632	11.3833	10.5306	11.5782	12.9221	11.9611	10.9268	12.4362	11.5013	10.3059	10.3783	11.3439	9.3193	12.2337	11.7336	8.837	10.2047	9.83	10.3184	9.9035	8.013	7.6885	7.7455	6.6807	9.534	8.6209	8.2588	9.0298	10.2287	10.661	12.0836	12.6844	12.7337	12.7337	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	IND	Industry	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	49.764	57.2038	44.8185	43.2868	44.3064	48.2617	52.4313	47.2566	44.8422	46.4134	47.9297	49.0558	51.043	44.7925	47.6112	56.7526	51.9737	51.7302	53.4555	54.8652	59.732	58.5716	60.4647	59.4575	48.8761	51.4168	50.5348	49.2689	45.9494	43.8514	37.2842	36.0814	38.6421	38.6421	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	SER	Services	Percent of total gross value added	0					United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2019.	Organisation des Nations Unies, Division de statistique, New York, base de données des statistiques des comptes nationaux : Analyse des principaux agrégats, denier accès février 2019.	41.8727	29.2343	44.651	45.135	42.7715	39.7773	36.6419	40.3072	43.6565	43.2808	41.692	39.6003	39.6376	42.9738	40.6552	34.4105	37.8216	38.4398	36.2262	35.2312	32.255	33.7399	31.7899	33.8618	41.5899	39.9622	41.2064	41.7012	43.8219	45.4876	50.6322	51.2342	48.6242	48.6242	2017
6	National accounts	Comptes nationaux	newvaluead	18	Gross Value added by kind of economic activity	Gross value added by industry	SYB022	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	AGR	Agriculture, hunting, forestry and fishing	Percent of total gross value added	0																																									
