refAreaCode,capitalCity_Code,capitalCity_DescEN,capitalCity_DescFR
4,20002,Kabul,Kaboul
8,20005,Tirana,Tirana
12,20006,Algiers,Alger
24,20049,Luanda,Luanda
31,20053,Baku,Bakou
32,20058,Buenos Aires,Buenos Aires
36,206175,Canberra,Canberra
40,20107,Vienna,Vienne
48,20109,Manama,Manama
50,20119,Dhaka,Dacca
51,20140,Yerevan,Erevan
56,20144,Brussels,Bruxelles
68,20158,Sucre,Sucre
70,20164,Sarajevo,Sarajevo
76,20187,Brasilia,Brasilia
100,20327,Sofia,Sofia
104,205588,Nay Pyi Taw,Nay Pyi Taw
108,20340,Bujumbura,Bujumbura
112,20348,Minsk,Minsk
116,20357,Phnom Penh,Phnom Penh
120,20365,Yaoundé,Yaoundé
124,20387,Ottawa,Ottawa
140,20410,Bangui,Bangui
144,20414,Colombo,Colombo
148,20420,N'Djamena,N'Djamena
152,20439,Santiago,Santiago
156,20464,Beijing,Beijing
170,20837,Bogota,Bogota
178,20848,Brazzaville,Brazzaville
180,20853,Kinshasa,Kinshasa
188,20861,San José,San José
191,20865,Zagreb,Zagreb
192,20870,Havana,La Havane
203,20887,Prague,Prague
204,20891,Porto-Novo,Porto-Novo
208,20894,Copenhagen,Copenhague
214,20898,Santo Domingo,Saint-Domingue
218,20910,Quito,Quito
222,20917,San Salvador,San Salvador
231,20921,Addis Ababa,Addis-Abeba
232,20931,Asmara,Asmara
233,20932,Tallinn,Tallin
246,20937,Helsinki,Helsinki
250,20985,Paris,Paris
262,21005,Djibouti,Djibouti
266,21006,Libreville,Libreville
268,21011,Tbilisi,Tbilissi
270,21012,Banjul,Banjul
275,23562,East Jerusalem,Jérusalem-Est
276,204296,Berlin,Berlin
288,21107,Accra,Accra
300,21113,Athens,Athènes
320,21124,Guatemala City,Guatemala
324,21126,Conakry,Conakry
332,21133,Port-au-Prince,Port-au-Prince
340,21136,Tegucigalpa,Tegucigalpa
344,21137,Hong Kong,Hong Kong
348,21138,Budapest,Budapest
356,21228,New Delhi,New Delhi
360,21454,Jakarta,Jakarta
364,21523,Tehran,Téhéran
368,21529,Baghdad,Bagdad
372,21542,Dublin,Dublin
376,21547,Jerusalem,Jérusalem
380,21588,Rome,Rome
384,21606,Yamoussoukro,Yamoussoukro
388,21607,Kingston,Kingston
392,21671,Tokyo,Tokyo
398,21679,Astana,Astana
400,21700,Amman,Amman
404,21711,Nairobi,Nairobi
408,21722,Pyongyang,Pyongyang
410,21758,Seoul,Séoul
414,21769,Kuwait City,Koweït
417,21770,Bishkek,Bichkek
418,21772,Vientiane,Vientiane
422,21773,Beirut,Beyrouth
428,21778,Riga,Riga
430,21779,Monrovia,Monrovia
434,21782,Tripoli,Tripoli
440,21789,Vilnius,Vilnius
446,21791,Macao,Macao
450,21792,Antananarivo,Antananarivo
454,21799,Lilongwe,Lilongwe
458,206411,Kuala Lumpur,Kuala Lumpur
466,21818,Bamako,Bamako
478,21821,Nouakchott,Nouakchott
484,21853,Mexico City,Mexico
496,21882,Ulaanbaatar,Oulan-Bator
498,21885,Chisinau,Chisinau
504,21899,Rabat,Rabat
508,21910,Maputo,Maputo
512,21922,Muscat,Mascate
516,21925,Windhoek,Windhoek
524,21928,Kathmandu,Katmandou
528,21930,Amsterdam,Amsterdam
554,21962,Wellington,Wellington
558,21967,Managua,Managua
562,21972,Niamey,Niamey
