topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	speciesCode	speciesDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2004	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_latest_year	latest_year
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	INVERTEBRATES	Invertebrates	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	PLANTS	Plants	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	1.0	2.0	3.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	_T	Total	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	33.0	34.0	36.0	36.0	36.0	37.0	38.0	42.0	42.0	41.0	40.0	40.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	VERTEBRATES	Vertebrates	Number of species	0					[2004,2010,2012-2019]: World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"[2004,2010,2012-2019]: Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	31.0	31.0		32.0	32.0	32.0	31.0	35.0	35.0	34.0	33.0	33.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	INVERTEBRATES	Invertebrates	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	4.0	47.0	5.0	55.0	55.0	56.0	58.0	62.0	68.0	71.0	71.0	71.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	PLANTS	Plants	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	_T	Total	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	37.0	100.0	107.0	109.0	109.0	109.0	112.0	125.0	130.0	137.0	136.0	136.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	VERTEBRATES	Vertebrates	Number of species	0					[2004,2010,2012-2019]: World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"[2004,2010,2012-2019]: Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	33.0	53.0		54.0	54.0	53.0	54.0	63.0	62.0	62.0	61.0	61.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	INVERTEBRATES	Invertebrates	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	12.0	21.0	13.0	22.0	22.0	25.0	26.0	29.0	38.0	40.0	40.0	40.0	2019
13	Environment	Environnement	threatened	5	Threatened species	Threatened species	SYB003	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	PLANTS	Plants	Number of species	0					World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed March 2019.	"Union internationale pour la conservation de la nature et de ses ressources (UICN), Gland et Cambridge, Liste rouge des espèces menacées publiée par l’UICN, dernier accès mars 2019.
"	2.0	15.0	15.0	16.0	17.0	17.0	17.0	18.0	18.0	23.0	22.0	22.0	2019
