topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_latest_year	latest_year
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Number of vehicles	3.0		Thousands			[1981-1992,2002-2005]: United Nations Statistics Division, New York, transport statistics database.	[1981-1992,2002-2005]: 		28.0	27.0	27.0	26.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0										51.0	76.0	83.0	100.0	100.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Number of vehicles	3.0		Thousands			[1987-1989,1993-2003]: United Nations Statistics Division, New York, transport statistics database.	[1987-1989,1993-2003]: 								15.3	15.7	16.3				39.3	51.1	29.1	30.6	33.2	37.1	40.9	43.0	73.0	73.0	88.8			88.8	2003
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Number of vehicles	3.0		Thousands			United Nations Statistics Division, New York, transport statistics database.		388.1	452.4	516.0	592.5	697.1	754.6	796.7	827.8	845.7	864.5	885.8	903.9	917.2	926.0	930.8	933.1	958.1	952.7	963.9	986.7	995.7	1002.3	1009.8	1021.58	1038.99	1068.52	1068.52	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Number of vehicles	3.0		Thousands			United Nations Statistics Division, New York, transport statistics database.		0.3	0.3	0.3	0.4	0.3	0.4	0.4	0.3	0.5	0.3	0.4	0.3	0.3	0.5	0.4	0.4	0.5	0.5	0.7000000000000001	0.7000000000000001	0.7000000000000001	0.7000000000000001	0.7000000000000001	0.6	0.6	0.5	0.5	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Number of vehicles	3.0		Thousands			[1995-2005]: United Nations Statistics Division, New York, transport statistics database.	[1995-2005]: 																4.17	4.238	4.33	4.53	4.77	4.75	4.88	4.91	5.05	5.27	5.52	5.52	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Number of vehicles	3.0																																		
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Number of vehicles	3.0		Thousands			[1983-1995]: United Nations Statistics Division, New York, transport statistics database.	[1983-1995]: 				1.5	1.7000000000000002	2.0	2.4	2.7	3.3	3.9	4.3	3.8	3.5	4.6	4.8	4.8											4.8	1995
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Number of vehicles	3.0		Thousands			[1990-2005]: United Nations Statistics Division, New York, transport statistics database.	[1990-2005]: 											154.4	148.5	141.3	132.3	127.5	125.5	122.9	115.6	117.6	113.0	101.4	100.5	101.4	104.9	110.1	126.4	126.4	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Number of vehicles	3.0		Thousands			[1984-2005]: United Nations Statistics Division, New York, transport statistics database.	[1984-2005]: 					1409.4	1432.0	1459.2	1483.5	1470.6	1483.8	1500.8	1554.0	1648.0	1664.0	1240.0	1239.0	1287.0	1372.0	1496.0	1550.0	1566.0	1529.0	1488.0	1198.0	1684.0	1775.0	1775.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Number of vehicles	3.0		Thousands	[1980-1999,2001-2005]: Data refer to fiscal years beginning 1 July.	[1980-1999,2001-2005]: Les données se réfèrent aux exercices budgétaires commençant le 1er juillet.	[1980-1999,2001-2005]: United Nations Statistics Division, New York, transport statistics database.	[1980-1999,2001-2005]: 	1425.1	1505.2	1617.7	1673.2	1751.0	1838.2	1881.1	1949.9	1977.6	2047.3	2104.3	1915.4	2041.3	2043.0	2151.0	1990.3	2075.6	2111.7	2177.5	2214.9		2236.4	2349.5	2381.0	2467.0	2561.0	2561.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	Number of vehicles	3.0		Thousands	Including vehicles operated by police or other governmental security organizations.	Y compris les véhicules de la police ou d'autres services gouvernementaux d'ordre public.	United Nations Statistics Division, New York, transport statistics database.		199.0	205.0	208.0	212.0	218.0	222.0	228.0	237.0	243.0	265.0	271.0	278.0	289.0	296.0	305.0	313.0	317.0	325.0	336.0	346.0	355.0	360.0	348.0	353.0	362.0	367.0	367.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	Number of vehicles	3.0		Thousands			[1980-1987,1994-1995]: United Nations Statistics Division, New York, transport statistics database.	[1980-1987,1994-1995]: 	8.0	8.9	10.6	8.6	7.1	8.5	9.5	12.6							9.3	13.7											13.7	1995
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Commercial vehicles	SYB033	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	Number of vehicles	3.0		Thousands			[1980-2001]: United Nations Statistics Division, New York, transport statistics database.	[1980-2001]: 	18.4	17.6	18.4	19.4	21.2	22.6	23.6	23.5	21.7	22.7	24.2	25.0	26.5	28.2	29.4	30.5	31.5	32.8	34.5	35.7	36.8	38.4					38.4	2001
