topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2005	value_2010	value_2018	value_latest_year	latest_year
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"[2010,2018]: United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	[2010,2018]: Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.		38.9574	47.5001	47.5001	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	72.4366	50.8107	53.4973	53.4973	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	16.3723	15.3885	15.9969	15.9969	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Percent	0											
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	59.2187	67.4169	28.1257	28.1257	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Percent	0			[2005,2018]: Estimate.	[2005,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	29.8035	39.8449	58.0593	58.0593	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	0.0482	0.6654	22.27	22.27	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	30.2668	33.1047	31.936	31.936	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	15.779	21.1707	15.9416	15.9416	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	11.6049	25.4453	29.5858	29.5858	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	31.7914	30.9637	29.7094	29.7094	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	60.8918	76.0315	38.1783	38.1783	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	Percent	0			[2005,2018]: Estimate.	[2005,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	6.3157	7.2186	18.1339	18.1339	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622	Percent	0			Estimate.	Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	15.7428	13.7871	14.9135	14.9135	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	145	Western Asia	1	51	Armenia	ARM	1	44.93839317	40.29499741	Percent	0					"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	12.3635	17.5285	26.9208	26.9208	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	29	Caribbean	1	52	Barbados	BRB	1	-59.5346489	13.13648273	Percent	0					"[2005,2018]: United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	[2005,2018]: Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	0.0001		23.8473	23.8473	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	155	Western Europe	1	56	Belgium	BEL	1	4.660976456	50.64104975	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	19.2283	18.5582	16.606	16.606	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	21	Northern America	1	60	Bermuda	BMU	0	-64.78155012	32.27881922	Percent	0			[2005,2010]: Estimate.	[2005,2010]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	7.0359	69.1116	62.6484	62.6484	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	34	Southern Asia	1	64	Bhutan	BTN	1	90.45098484	27.39598568	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	87.5608	82.4276	85.1767	85.1767	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	5	South America	1	68	Bolivia (Plurinational State of)	BOL	1	-64.66224284	-16.71273412	Percent	0			[2010]: Estimate.	[2010]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	36.336	34.557900000000004	19.1591	19.1591	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	39	Southern Europe	1	70	Bosnia and Herzegovina	BIH	1	17.78584332	44.16845548	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	11.3397	15.8112	14.3852	14.3852	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	18	Southern Africa	1	72	Botswana	BWA	1	23.81380223	-22.18810073	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	0.2351	3.2711	22.8315	22.8315	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of exports to first major trading partner	SYB016	5	South America	1	76	Brazil	BRA	1	-53.08432878	-10.77668561	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	5.7643	15.2406	21.8098	21.8098	2018
