topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	educationLevCode	educationLevDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	ISCED11_1	Primary education	Percent	0					[2010-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2010-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.											62.1365	61.9749	59.113	60.008	59.1065	56.6955			56.6955	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2010-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2010-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.											26.6937	26.6243	25.3949	25.7794	25.3921	24.3563			24.3563	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	AGG_5T8	Tertiary education	Percent	0					[2010-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2010-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.											9.0322	8.9862	12.7417	11.7568	12.4113	15.9538			15.9538	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	_T	Total or no breakdown by education level	Percent	0					[2010-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2010-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.											17.0676	16.0484	10.3568	14.1028	14.4659	12.509			12.509	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	ISCED11_02	Pre-primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	ISCED11_1	Primary education	Percent	0					[2015,2017]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2015,2017]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.																56.7669		60.2167	60.2167	2017
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2013,2015,2017]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2013,2015,2017]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.														19.8316		21.5817		18.624	18.624	2017
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	AGG_5T8	Tertiary education	Percent	0					[2013,2015,2017]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2013,2015,2017]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.														21.9291		21.156		19.5348	19.5348	2017
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	_T	Total or no breakdown by education level	Percent	0					[2000-2007,2013,2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000-2007,2013,2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	10.137	10.5819	9.8869	10.5736	10.7032	11.358	10.933	11.1772						12.1239		11.3177			11.3177	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	ISCED11_02	Pre-primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	ISCED11_1	Primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	AGG_5T8	Tertiary education	Percent	0					[2008]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2008]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.									26.9726										26.9726	2008
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	_T	Total or no breakdown by education level	Percent	0					[2008]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2008]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.									11.4284										11.4284	2008
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	ISCED11_02	Pre-primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	ISCED11_1	Primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	AGG_5T8	Tertiary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	_T	Total or no breakdown by education level	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	ISCED11_02	Pre-primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	ISCED11_1	Primary education	Percent	0					[2002,2004-2007,2009-2011,2013-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2004-2007,2009-2011,2013-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			27.1389		29.2752	24.1359	23.7617	25.6406		26.3723	28.8952	28.8088		32.1438	22.2899	22.0757	21.5038		21.5038	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2002,2004-2007,2009-2011,2013-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2004-2007,2009-2011,2013-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			16.1586		18.7619	20.6186	21.493	24.6467		26.1279	20.9346	21.3599		35.2473	20.5064	24.9135	23.9703		23.9703	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	AGG_5T8	Tertiary education	Percent	0					[2002,2004-2007,2009-2011,2013-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2004-2007,2009-2011,2013-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			6.8823		4.9643	3.8825000000000003	6.6278	4.532		3.5982000000000003	3.8613	3.8406000000000002		4.5889	6.0755	5.4748	5.8952		5.8952	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	_T	Total or no breakdown by education level	Percent	0					[2013-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2013-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.														8.0403	9.9616	10.1795	9.6689		9.6689	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	ISCED11_02	Pre-primary education	Percent	0					[2002,2004-2007,2009-2011,2013-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2004-2007,2009-2011,2013-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			20.1336		19.6759	16.87	18.8713	19.3928		12.8175	14.6094	14.4614		18.2028	13.8119	13.1793	12.7091		12.7091	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	ISCED11_1	Primary education	Percent	0					[2005-2006]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2005-2006]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.						36.4988	31.4335												31.4335	2006
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2005-2006]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2005-2006]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.						55.2176	42.4243												42.4243	2006
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	AGG_5T8	Tertiary education	Percent	0					[2005-2006]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2005-2006]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.						8.2836	8.7012												8.7012	2006
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	_T	Total or no breakdown by education level	Percent	0					[2000,2005-2006,2010]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000,2005-2006,2010]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	5.2551					7.9924	7.4548				8.6848								8.6848	2010
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	ISCED11_02	Pre-primary education	Percent	0					[2006]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2006]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.							13.5355												13.5355	2006
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	ISCED11_1	Primary education	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			28.5517							41.6132									41.6132	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			35.1522							48.3925									48.3925	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	AGG_5T8	Tertiary education	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			6.7188							7.3531									7.3531	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	_T	Total or no breakdown by education level	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			11.7015							6.9281									6.9281	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	ISCED11_02	Pre-primary education	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.			2.1061							0.2619									0.2619	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	ISCED11_1	Primary education	Percent	0																										
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	AGG_2_3	Secondary education (lower and upper secondary education)	Percent	0					[2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.																55.6663			55.6663	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	AGG_5T8	Tertiary education	Percent	0					[2000-2011,2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000-2011,2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	6.0056	6.0118	5.8205	5.5793	6.4163	6.9457	7.0023	7.9479	11.3371	13.9643	14.0389	14.626				12.8161			12.8161	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	_T	Total or no breakdown by education level	Percent	0					[2000-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	21.1191	20.8776	13.630700000000001	15.1708	14.235	13.2232	10.1004	9.7794	7.8227	9.3439	8.7008	7.2372	5.6533	6.4703	7.2394	7.6315			7.6315	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	ISCED11_02	Pre-primary education	Percent	0					[2000-2011,2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000-2011,2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	7.6999	8.1568	8.0964	7.8755	7.2696	6.8592	6.6772	6.3874	6.8868	6.7618	7.0514	6.9562				9.4829			9.4829	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of government expenditure	SYB111	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	ISCED11_1	Primary education	Percent	0					[2000-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018.	[2000-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mai 2018.	35.6913	37.9188	35.4339	38.0148	36.6955	34.1957	35.0424	35.4754	35.1132	32.8027	33.0549	31.9687	31.7989	30.0323	30.0604	30.0413			30.0413	2015
