topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	US dollars	6.0		Millions			[2008-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[2008-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.																								1731.69	2515.7298	2998.5158	2300.7147	2514.1508	2882.1061	2548.1765	1720.8001	1771.0283	1733.4485		1733.4485	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	US dollars	6.0		Millions			[1995-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1995-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.											389.4	4.8	2.0	31.0	22.6	78.0	117.7	121.22	156.9516	132.4067	122.9086	179.7976	123.6378	114.7457	118.5305	112.924	118.0543	104.6487	63.9013	115.3312	139.4414	72.0561	139.2868	121.8904	121.8904	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	US dollars	6.0		Millions			[2005-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[2005-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.																					-3.0	-5.0	-0.1883	-0.2087	-0.0603	3.8236	-1.2986	-8.8724	0.2238	-3.1212	0.17370000000000002	0.6115	0.7199		0.7199	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	US dollars	6.0		Millions			[1997-2001,2003-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1997-2001,2003-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.													11.21	8.37	6.77	18.33	3.89		21.96	439.993	7.77	1.44	7.1748	12.8966	11.2582	0.9339000000000001	5.3614	4.4166	0.6177	1.643	6.2757	0.5902000000000001	2.6257	2.9311	2.9311	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	US dollars	6.0		Millions			[1986-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1986-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.		3.2	2.3	2.4	3.437	2.0741	3.3852	3.0222	3.1074	2.5741	3.6519	1.0222	2.763	152.8889	14.1778	35.9944	8.5974	10.5896	6.8579	17.9688	210.6221	27.8704	7.4074	11.1111	0.4591	16.57	8.4682	2.4742	11.8519	22.5	46.9485	27.7304	39.5709		39.5709	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	US dollars	6.0		Millions			[1995,1997-1998,2002-2008,2011-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1995,1997-1998,2002-2008,2011-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.											-1.588		-10.216	-0.68				-0.312	-0.14500000000000002	-0.14300000000000002	-0.083	0.28500000000000003	8.492	-0.046			0.911	-6.993	-12.909	-6.917	-43.884	-40.131	100.369	1.4236	1.4236	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	US dollars	6.0		Millions			[1992-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1992-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.								15.7	16.1	17.5	14.2	50.8	66.3	72.9	149.1	105.9	156.5	406.11	70.05	196.3	88.9	97.6243	121.1459	185.06	79.9842	78.4779	62.7238	47.884	33.4129	56.7971	51.9292	365.8146	138.7167	85.7239	85.7239	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Capital account	SYB065	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	US dollars	6.0		Millions			[1989-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1989-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.					-193.0226	-171.857	-161.7511	-179.8153	-187.8131	-216.1495	-299.8453	-259.0735	-216.0986	-205.0157	-237.7351	-316.0374	-211.7547	-225.1178	-154.9414	-169.8761	-121.1568	248.0316	-202.4448	-382.5474	-347.8608	-286.8105	-360.4498	-408.6198	-460.6107	-359.6583	-457.2026	-605.4255	-387.5469	-383.6551	-383.6551	2018
