topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2005	value_2010	value_2018	value_latest_year	latest_year
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"[2010,2018]: United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	[2010,2018]: Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.		7.4969	19.362	19.362	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	29.3235	28.2016	28.6278	28.6278	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	6.5484	11.232	18.0615	18.0615	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Percent	0											
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Percent	0			[2005,2018]: Estimate.	[2005,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	51.5005	59.9273	68.6321	68.6321	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Percent	0			[2005,2018]: Estimate.	[2005,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	4.8089	10.082	20.7375	20.7375	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	48.8759	34.525	43.2253	43.2253	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	17.031	17.357	16.7846	16.7846	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	37.0455	32.5024	26.7122	26.7122	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	13.8484	18.6719	21.8747	21.8747	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	Percent	0			[2010,2018]: Estimate.	[2010,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	42.2106	38.743	36.5383	36.5383	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	Percent	0			Estimate.	Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	85.909	90.8889	33.1308	33.1308	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	Percent	0			[2018]: Estimate.	[2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	44.6468	36.6372	21.3935	21.3935	2018
15	International merchandise trade	Commerce international des marchandises	majtradepa	14	Major trading partners	Share of imports from first major trading partner	SYB017	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622	Percent	0			[2005,2018]: Estimate.	[2005,2018]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	15.8517	17.4514	30.9398	30.9398	2018
