topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2005	value_2010	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Number	0			[2005,2010]: Data as at the end of December.	[2005,2010]: Données à la fin de décembre.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	32.0	6434.0	225714.0	54920.0	87119.0	78384.0	78384.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Number	0			[2005,2010]: Data as at the end of December.	[2005,2010]: Données à la fin de décembre.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	56.0	76.0	154.0	110.0	113.0	121.0	121.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Number	0			[2005,2010]: Data as at the end of December. [2015-2017]: According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps.	[2005,2010]: Données à la fin de décembre. [2015-2017]: Selon le Gouvernement algérien, les camps de Tindouf accueillent environ 165 000 réfugiés sahraouis.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	94101.0	94144.0	94144.0	94219.0	94248.0	177881.0	177881.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Number	0														
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Number	0														
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Number	0			[2005,2010,2015]: Data as at the end of December.	[2005,2010,2015]: Données à la fin de décembre.	[2005,2010,2015,2017-2018]: United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	[2005,2010,2015,2017-2018]: Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	13984.0	15155.0	15555.0		48232.0	37933.0	37933.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Number	0					[2016-2018]: United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	[2016-2018]: Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.				15.0	1.0	1.0	1.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Number	0			[2005,2010]: Data as at the end of December.	[2005,2010]: Données à la fin de décembre.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	3004.0	1891.0	1357.0	1251.0	1196.0	1114.0	1114.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Number	0			[2005,2010]: Data as at the end of December.	[2005,2010]: Données à la fin de décembre.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	3074.0	3276.0	3523.0	3222.0	3322.0	3378.0	3378.0	2018
2	Population and migration	Population et migration	intlmigref	78	International migrants and refugees	Total refugees and people in refugee-like situations	SYB077	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Number	0			[2005,2010]: Data as at the end of December.	[2005,2010]: Données à la fin de décembre.	United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019.	Haut-Commissariat des Nations Unies pour les réfugiés (HCR), Genève, base de données statistique du HCR, dernier accès mars 2019.	64964.0	21805.0	35582.0	36648.0	46576.0	52729.0	52729.0	2018
