refAreaCode,nationalCurrency_Code,nationalCurrency_DescEN,nationalCurrency_DescFR
4,AFN,Afghani (AFN),afghani (AFN)
8,ALL,Lek (ALL),lek (ALL)
12,DZD,Algerian Dinar (DZD),dinar algérien (DZD)
16,USD,US Dollar (USD),dollar des É.-U. (USD)
20,EUR,Euro (EUR),euro (EUR)
22,EUR,Euro (EUR),euro (EUR)
23,EUR,Euro (EUR),euro (EUR)
24,AOA,Kwanza (AOA),kwanza (AOA)
28,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
31,AZN,Azerbaijan manat (AZN),manat azerbaïdjanais (AZN)
32,ARS,Argentine Peso (ARS),peso argentin (ARS)
36,AUD,Australian Dollar (AUD),dollar australien (AUD)
40,EUR,Euro (EUR),euro (EUR)
44,BSD,Bahamian Dollar (BSD),dollar des Bahamas (BSD)
48,BHD,Bahraini Dinar (BHD),dinar de Bahreïn (BHD)
50,BDT,Taka (BDT),taka (BDT)
51,AMD,Armenian Dram (AMD),dram arménien (AMD)
52,BBD,Barbados Dollar (BBD),dollar de la Barbade (BBD)
56,EUR,Euro (EUR),euro (EUR)
60,BMD,Bermudian Dollar (BMD),dollar des Bermudes (BMD)
64,BTN,Ngultrum (BTN),ngultrum (BTN)
68,BOB,Boliviano (BOB),boliviano (BOB)
70,BAM,Convertible Mark (BAM),marka convertible (BAM)
72,BWP,Pula (BWP),pula (BWP)
74,NOK,Norwegian Krone (NOK),couronne norvégienne (NOK)
76,BRL,Brazilian Real (BRL),real brésilien (BRL)
80,GBP,Pound Sterling (GBP),livre sterling (GBP)
84,BZD,Belize Dollar (BZD),dollar du Belize (BZD)
86,GBP,Pound Sterling (GBP),livre sterling (GBP)
90,SBD,Solomon Is. Dollar (SBD),dollar des Îl. Salomon (SBD)
92,USD,US Dollar (USD),dollar des É.-U. (USD)
93,USD,US Dollar (USD),dollar des É.-U. (USD)
96,BND,Brunei Dollar (BND),dollar du Brunéi (BND)
98,EUR,Euro (EUR),euro (EUR)
100,BGN,Bulgarian Lev (BGN),lev bulgare (BGN)
104,MMK,Kyat (MMK),kyat (MMK)
108,BIF,Burundi Franc (BIF),franc burundais (BIF)
112,BYN,Belarusian Ruble (BYN),rouble bélarussien (BYN)
116,KHR,Riel (KHR),riel (KHR)
120,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
121,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
122,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
124,CAD,Canadian Dollar (CAD),dollar canadien (CAD)
128,AUD,Australian Dollar (AUD),dollar australien (AUD)
132,CVE,Cabo Verde Escudo (CVE),escudo du Cabo Verde (CVE)
133,USD,US dollar (USD),dollar des É.-U. (USD)
