topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Number	0																																														
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Number	0					[2000-2011,2013-2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2000-2011,2013-2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.																					6.0	49.0	87.0	201.0	390.0	395.0	116.0	420.0	541.0	402.0	349.0	21.0		9.0	5.0	10.0	5.0	10.0	10.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Number	0					[1991-2016]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[1991-2016]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.												22.0	47.0	30.0	37.0	118.0	100.0	115.0	190.0	144.0	80.0	91.0	200.0	279.0	305.0	443.0	479.0	214.0	246.0	618.0	1076.0	1546.0	352.0	183.0	281.0	353.0	383.0		383.0	2016
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Number	0																																														
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Number	0					[2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.																																						4.0	4.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Number	0																																														
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Number	0					[2007]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2007]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.																												9.0											9.0	2007
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Number	0					[1995-1996,2001-2016]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[1995-1996,2001-2016]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.																9.0	81.0					168.0	64.0	242.0	214.0	195.0	153.0	227.0	205.0	217.0	126.0	118.0	111.0	78.0	97.0	88.0	131.0		131.0	2016
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Number	0					[1980-1984,1986-1988,1990-2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[1980-1984,1986-1988,1990-2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	4570.0	3514.0	3292.0	1910.0	1677.0		598.0	2575.0	1815.0		759.0	403.0	663.0	3447.0	2114.0	1003.0	1791.0	1228.0	1689.0	1241.0	1587.0	1233.0	911.0	1367.0	840.0	1798.0	2922.0	2769.0	1214.0	1354.0	1366.0	1291.0	932.0	1297.0	1360.0	1559.0	1879.0	2302.0	2302.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Grants of patents	SYB059	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Number	0					World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	8425.0	6434.0	5731.0	7247.0	7252.0	6764.0	7626.0	10570.0	10941.0	11395.0	12516.0	12477.0	12705.0	12458.0	11384.0	9406.0	8754.0	9204.0	14450.0	13203.0	13548.0	13703.0	13612.0	13056.0	12739.0	10979.0	9426.0	11236.0	11863.0	12410.0	14557.0	17877.0	17724.0	17112.0	19304.0	23098.0	23744.0	22742.0	22742.0	2017
