topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	value_latest_year	latest_year
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						100.1547					102.0513					105.312		107.0259	107.8934	108.6666	109.289	109.289	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						32.4534					35.4587					37.3832		38.1374	38.5252	38.9093	39.2851	39.2851	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						1169.9526					1632.7105					1805.0671		1965.8895	2065.0605	2159.4368	2238.9145	2238.9145	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						1068.1071					1133.7131					1200.4016		1226.7452	1239.7381	1252.5633	1265.1869	1265.1869	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	145	Western Asia	1	51	Armenia	ARM	1	44.93839317	40.29499741		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						104.7162					101.0649					102.7591		103.4349	103.6791	103.8894	104.083	104.083	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	29	Caribbean	1	52	Barbados	BRB	1	-59.5346489	13.13648273		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						642.6116					656.1186					663.5442		665.6558	666.607	667.5	668.314	668.314	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	155	Western Europe	1	56	Belgium	BEL	1	4.660976456	50.64104975		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						348.312					361.2529					372.7853		377.1383	379.2001	381.0875	382.7484	382.7484	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	21	Northern America	1	60	Bermuda	BMU	0	-64.78155012	32.27881922		0			[2017-2018]: Projected estimate (medium fertility variant).	[2017-2018]: Projection approximative (variante moyenne fécondité).	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.	1280.56	1286.46	1292.2	1297.4	1301.3	1302.6	1301.26	1297.84	1292.5	1286.06	1279.12	1271.62	1263.58	1255.42	1247.64	1240.06	1233.32	1226.98	1221.4	1250.12	1212.78	1212.78	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	34	Southern Asia	1	64	Bhutan	BTN	1	90.45098484	27.39598568		0			[2017]: De jure population. [2017]: Estimates should be viewed with caution as these are derived from scarce data. [2020]: Projected estimate (medium fertility variant).	[2017]: Les montants estimatifs sont à prendre avec prudence, car calculés à partir de données peu nombreuses. [2017]: Population de droit. [2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						17.0197					17.9842					19.0958		19.5599	19.7914	20.0197	20.2431	20.2431	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	5	South America	1	68	Bolivia (Plurinational State of)	BOL	1	-64.66224284	-16.71273412		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						8.5224					9.2759					10.0339		10.3322	10.4801	10.6278	10.7754	10.7754	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	39	Southern Europe	1	70	Bosnia and Herzegovina	BIH	1	17.78584332	44.16845548		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						73.83					72.6563					67.2424		65.7162	65.175	64.7255	64.3298	64.3298	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	18	Southern Africa	1	72	Botswana	BWA	1	23.81380223	-22.18810073		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						3.1745					3.5063					3.742		3.8909000000000002	3.9773	4.0649	4.1495	4.1495	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	5	South America	1	76	Brazil	BRA	1	-53.08432878	-10.77668561		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						22.269					23.4159					24.4638		24.866	25.0617	25.2508	25.4314	25.4314	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	13	Central America	1	84	Belize	BLZ	1	-88.70199554	17.19965901		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						12.4419					14.137					15.8235		16.4739	16.794	17.1132	17.4322	17.4322	2020
