refAreaCode,exportPartner1_Code,exportPartner1_DescEN,exportPartner1_DescFR
4,586,Pakistan,Pakistan
8,380,Italy,Italie
12,380,Italy,Italie
20,724,Spain,Espagne
28,826,United Kingdom,Royaume-Uni
31,380,Italy,Italie
32,76,Brazil,Brésil
36,156,China,Chine
40,276,Germany,Allemagne
44,840,United States,États-Unis
50,840,United States,États-Unis
51,643,Russian Federation,Fédération de Russie
52,840,United States,États-Unis
56,276,Germany,Allemagne
60,840,United States,États-Unis
64,356,India,Inde
68,76,Brazil,Brésil
70,276,Germany,Allemagne
72,56,Belgium,Belgique
76,156,China,Chine
84,826,United Kingdom,Royaume-Uni
90,156,China,Chine
96,392,Japan,Japon
100,276,Germany,Allemagne
108,784,United Arab Emirates,Émirats arabes unis
112,643,Russian Federation,Fédération de Russie
116,840,United States,États-Unis
120,528,Netherlands,Pays-Bas
124,840,United States,États-Unis
132,724,Spain,Espagne
140,250,France,France
144,840,United States,États-Unis
152,156,China,Chine
156,840,United States,États-Unis
170,840,United States,États-Unis
174,356,India,Inde
178,156,China,Chine
184,392,Japan,Japon
188,840,United States,États-Unis
191,380,Italy,Italie
196,434,Libya,Libye
203,276,Germany,Allemagne
204,356,India,Inde
208,839,Undisclosed,Non divulgués
212,44,Bahamas,Bahamas
214,840,United States,États-Unis
218,840,United States,États-Unis
222,840,United States,États-Unis
231,840,United States,États-Unis
233,246,Finland,Finlande
242,840,United States,États-Unis
246,276,Germany,Allemagne
250,276,Germany,Allemagne
258,392,Japan,Japon
268,643,Russian Federation,Fédération de Russie
270,624,Guinea-Bissau,Guinée-Bissau
275,376,Israel,Israël
276,840,United States,États-Unis
288,756,Switzerland,Suisse
296,458,Malaysia,Malaisie
300,380,Italy,Italie
304,208,Denmark,Danemark
320,840,United States,États-Unis
324,156,China,Chine
328,124,Canada,Canada
340,840,United States,États-Unis
344,156,China,Chine
348,276,Germany,Allemagne
352,528,Netherlands,Pays-Bas
356,840,United States,États-Unis
360,156,China,Chine
364,156,China,Chine
372,840,United States,États-Unis
376,840,United States,États-Unis
380,276,Germany,Allemagne
384,528,Netherlands,Pays-Bas
388,840,United States,États-Unis
392,840,United States,États-Unis
398,380,Italy,Italie
400,840,United States,États-Unis
404,840,United States,États-Unis
410,156,China,Chine
417,756,Switzerland,Suisse
422,710,South Africa,Afrique du Sud
426,840,United States,États-Unis
428,440,Lithuania,Lituanie
440,643,Russian Federation,Fédération de Russie
442,276,Germany,Allemagne
446,899,Areas nes,Zones nsa
450,250,France,France
454,56,Belgium,Belgique
458,702,Singapore,Singapour
462,764,Thailand,Thaïlande
466,710,South Africa,Afrique du Sud
470,840,United States,États-Unis
478,156,China,Chine
480,250,France,France
484,840,United States,États-Unis
496,156,China,Chine
498,642,Romania,Roumanie
499,688,Serbia,Serbie
500,484,Mexico,Mexique
504,724,Spain,Espagne
508,710,South Africa,Afrique du Sud
512,156,China,Chine
516,756,Switzerland,Suisse
524,356,India,Inde
528,276,Germany,Allemagne
533,170,Colombia,Colombie
540,156,China,Chine
548,478,Mauritania,Mauritanie
554,156,China,Chine
558,840,United States,États-Unis
562,250,France,France
566,356,India,Inde
578,826,United Kingdom,Royaume-Uni
585,899,Areas nes,Zones nsa
586,840,United States,États-Unis
591,840,United States,États-Unis
598,36,Australia,Australie
600,76,Brazil,Brésil
604,156,China,Chine
608,392,Japan,Japon
616,276,Germany,Allemagne
620,724,Spain,Espagne
626,702,Singapore,Singapour
634,392,Japan,Japon
642,276,Germany,Allemagne
643,899,Areas nes,Zones nsa
646,180,Dem. Rep. of Congo,Rép. Dém. du Congo
659,840,United States,États-Unis
662,840,United States,États-Unis
670,52,Barbados,Barbade
678,528,Netherlands,Pays-Bas
682,899,Areas nes,Zones nsa
686,466,Mali,Mali
688,380,Italy,Italie
694,384,Côte d’Ivoire,Côte d’Ivoire
702,156,China,Chine
703,276,Germany,Allemagne
704,840,United States,États-Unis
705,276,Germany,Allemagne
710,156,China,Chine
716,710,South Africa,Afrique du Sud
724,250,France,France
740,756,Switzerland,Suisse
752,276,Germany,Allemagne
756,276,Germany,Allemagne
764,840,United States,États-Unis
768,854,Burkina Faso,Burkina Faso
776,840,United States,États-Unis
784,899,Areas nes,Zones nsa
788,250,France,France
792,276,Germany,Allemagne
796,44,Bahamas,Bahamas
800,404,Kenya,Kenya
804,643,Russian Federation,Fédération de Russie
807,276,Germany,Allemagne
818,784,United Arab Emirates,Émirats arabes unis
826,840,United States,États-Unis
834,756,Switzerland,Suisse
840,124,Canada,Canada
854,756,Switzerland,Suisse
858,156,China,Chine
862,840,United States,États-Unis
882,16,American Samoa,Samoa américaines
887,682,Saudi Arabia,Arabie saoudite
894,756,Switzerland,Suisse
24,156,China,Chine
48,682,Saudi Arabia,Arabie saoudite
92,288,Ghana,Ghana
104,156,China,Chine
136,528,Netherlands,Pays-Bas
148,840,United States,États-Unis
180,156,China,Chine
192,124,Canada,Canada
226,156,China,Chine
232,156,China,Chine
234,643,Russian Federation,Fédération de Russie
238,724,Spain,Espagne
262,840,United States,États-Unis
266,156,China,Chine
292,478,Mauritania,Mauritanie
308,840,United States,États-Unis
332,840,United States,États-Unis
368,899,Areas nes,Zones nsa
408,156,China,Chine
