refAreaCode,tourismArrivalsSeriesType_Code,tourismArrivalsSeriesType_DescEN,tourismArrivalsSeriesType_DescFR
8,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
12,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
16,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
20,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
24,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
28,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
31,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
32,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
36,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
40,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
44,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
48,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
50,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
51,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
52,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
56,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
60,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
64,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
68,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
70,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
72,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
76,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
84,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
90,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
92,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
96,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
