topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	ODACode	ODADesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1975	value_1976	value_1977	value_1978	value_1979	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	_T	Total	Percent of GNI	0					[1975-1981,2001-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1975-1981,2001-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	2.77	2.69	2.74	2.21	2.63	0.77	0.65																				16.67	29.69	33.61	42.85	44.78	40.78	50.46	47.01	48.74	38.97	37.21	31.98	25.07	23.77	22.01	20.67	18.1	18.1	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	_T	Total	Percent of GNI	0					[1988-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1988-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.														0.26	0.44	0.53	29.72	60.15	22.26	8.19	7.32	6.69	6.98	9.65	13.98	8.5	6.41	6.76	5.92	4.02	3.79	3.5	2.81	2.8200000000000003	3.01	3.09	2.94	2.86	2.08	2.11	2.9	1.4	1.2	1.2	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	_T	Total	Percent of GNI	0					Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	1.53	0.8400000000000001	0.63	0.74	0.35000000000000003	0.5	0.39	0.31	0.2	0.23	0.31	0.27	0.33	0.3	0.29000000000000004	0.55	0.49000000000000005	0.8200000000000001	0.68	0.7200000000000001	0.75	0.6900000000000001	0.54	0.91	0.3	0.38	0.37	0.34	0.37	0.39	0.35000000000000003	0.21000000000000002	0.3	0.19	0.22	0.13	0.1	0.07	0.1	0.08	0.05	0.1	0.11	0.11	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	_T	Total	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	_T	Total	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	_T	Total	Percent of GNI	0					[1985-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1985-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.											1.35	1.9500000000000002	2.01	2.35	1.67	2.65	2.61	9.82	8.94	23.01	8.73	7.88	5.27	6.05	8.11	4.06	3.83	3.81	3.96	6.67	1.71	0.46	0.49000000000000005	0.52	0.35000000000000003	0.32	0.2	0.24000000000000002	0.25	0.2	0.39	0.23	0.19	0.19	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	_T	Total	Percent of GNI	0					[1977-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1977-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.			6.9	4.04	2.96	4.23	6.19	3.08	1.8599999999999999	1.1400000000000001	1.24	1.9900000000000002	1.87	2.3	1.1	1.11	1.6099999999999999	0.9900000000000001	0.5900000000000001	0.74	0.41000000000000003	0.64	0.66	1.4100000000000001	1.46	1.26	1.1	1.75	0.6900000000000001	0.22	0.8200000000000001	0.3	0.4	0.46	0.36000000000000004	1.75	1.4	0.18000000000000002	0.14	0.21000000000000002	0.11	0.0	0.66	0.66	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	_T	Total	Percent of GNI	0					[1993-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1993-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.																			0.6	4.5	3.93	3.09	4.66	2.71	3.77	2.8200000000000003	4.3	6.0	4.42	2.2	1.81	1.11	0.76	0.51	0.53	0.32	0.47000000000000003	0.44	-0.1	0.3	0.14	0.22	0.3	0.3	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	_T	Total	Percent of GNI	0					Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	0.02	0.030000000000000002	0.030000000000000002	0.030000000000000002	0.04	0.060000000000000005	0.05	0.04	0.030000000000000002	0.04	0.05	0.07	0.08	0.12000000000000001	0.29000000000000004	0.13	0.15	0.12000000000000001	0.11	0.060000000000000005	0.060000000000000005	0.05	0.030000000000000002	0.030000000000000002	0.030000000000000002	0.030000000000000002	0.060000000000000005	0.11	0.1	0.060000000000000005	0.05	0.05	0.030000000000000002	0.030000000000000002	0.04	0.030000000000000002	0.02	0.030000000000000002	0.01	0.01	0.0	0.0	0.0	0.0	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	_T	Total	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	_T	Total	Percent of GNI	0																																																			
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	_T	Total	Percent of GNI	0					[1975-1995]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1975-1995]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	0.08	0.1	0.08	0.11	0.09000000000000001	0.12000000000000001	0.11	0.09000000000000001	0.060000000000000005	0.53	0.030000000000000002	0.07	0.030000000000000002	0.05	0.13	0.11	0.09000000000000001	0.09000000000000001	0.04	0.030000000000000002	0.11																							0.11	1995
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received as percent of GNI	SYB071	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	_T	Total	Percent of GNI	0					[1980-2004]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1980-2004]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.						7.0	5.75	4.4	7.15	5.63	2.2	3.63	0.29000000000000004	-0.08	-0.05	3.88	1.9700000000000002	1.6800000000000002	2.23	1.8	1.73	2.18	2.46	3.32	0.9700000000000001	0.68	0.8200000000000001	0.68	1.24	0.46														0.46	2004
