topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_latest_year	latest_year
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Number of vehicles	3.0		Thousands			[1980-1992,2002-2005]: United Nations Statistics Division, New York, transport statistics database.	[1980-1992,2002-2005]: 	10.3	34.1	33.3	33.3	32.8	32.0	31.1	31.0	31.0	31.0	31.0	31.0	31.0										29.0	40.0	40.0	41.0	41.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Number of vehicles	3.0		Thousands			[1984-1989,1993-2003]: United Nations Statistics Division, New York, transport statistics database.	[1984-1989,1993-2003]: 					1.8	1.7000000000000002	1.7000000000000002	1.9	2.4	2.5				56.7	67.9	58.6	67.2	76.8	90.7	99.0	114.5	133.5	148.5	174.7			174.7	2003
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Number of vehicles	3.0		Thousands			United Nations Statistics Division, New York, transport statistics database.		768.2	861.3	931.8	990.1	1076.9	1145.7	1203.9	1280.3	1338.5	1406.7	1465.8	1502.6	1528.3	1547.8	1555.8	1562.1	1588.0	1615.1	1634.4	1676.8	1692.1	1708.4	1739.3	1775.26	1834.85	1905.89	1905.89	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Number of vehicles	3.0		Thousands			United Nations Statistics Division, New York, transport statistics database.		2.8	2.9	3.2	2.9	3.4	3.7	3.7	3.8	3.9	4.2	4.3	4.2	5.0	4.6	4.6	4.7	5.4	5.3	5.7	6.2	7.3	7.2	6.7	6.7	6.5	6.6	6.6	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Number of vehicles	3.0		Thousands			[1995-2005]: United Nations Statistics Division, New York, transport statistics database.	[1995-2005]: 																35.94	35.358	36.55	38.23	40.19	41.75	42.61	43.88	45.75	47.57	49.63	49.63	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Number of vehicles	3.0																																		
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Number of vehicles	3.0		Thousands	[1996-1998]: Including commercial vehicles.	[1996-1998]: Y compris véhicules utilitaires.	[1983-1998]: United Nations Statistics Division, New York, transport statistics database.	[1983-1998]: 				8.4	9.6	11.0	12.4	14.2	15.4	17.1	18.1	19.2	13.5	14.8	15.0	15.1	21.6	23.7	24.0								24.0	1998
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Number of vehicles	3.0		Thousands			United Nations Statistics Division, New York, transport statistics database.		146.7	157.0	167.1	176.1	189.3	198.1	214.8	221.8	249.8	252.6	260.2	260.0	258.3	263.3	276.4	278.3	273.7	271.3	281.3	311.6	332.1	343.0	350.6	400.0	439.0	479.0	479.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Number of vehicles	3.0		Thousands			[1984-2005]: United Nations Statistics Division, New York, transport statistics database.	[1984-2005]: 					3759.3	3878.2	4037.9	4137.2	4079.8	4235.1	4283.7	4405.0	4809.0	4856.0	4423.0	4665.0	4783.9	4904.3	5047.8	5056.0	5386.0	5418.0	5349.0	4668.0	4926.0	5230.0	5230.0	2005
16	International tourism and transport	Tourisme et transport internationaux	motorvehiclesinuse	58	Motor vehicles in use	Motor vehicles in use: Passenger cars	SYB034	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Number of vehicles	3.0		Thousands	[1980-1999,2001-2005]: Data refer to fiscal years beginning 1 July.	[1980-1999,2001-2005]: Les données se réfèrent aux exercices budgétaires commençant le 1er juillet.	[1980-1999,2001-2005]: United Nations Statistics Division, New York, transport statistics database.	[1980-1999,2001-2005]: 	5800.6	6021.1	6308.1	6496.0	6636.2	6842.5	6985.4	7072.8	7243.6	7442.2	7672.2	7734.1	7913.2	8050.0	8209.0	8660.6	9021.5	9239.5	9526.7	9686.2		9835.9	10101.4	10366.0	10629.0	10896.0	10896.0	2005
