topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	US dollars	6.0		Millions			[1985-1989,2008-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-1989,2008-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-243.2	-537.2	-166.9	26.2	-143.3																			-914.496	-979.4267	-1731.5321	-2517.7558	-5453.5983	-5628.0494	-3935.8617	-4643.1756	-3322.7597	-4227.1324		-4227.1324	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-36.4	-3.2	5.2	-27.1	-39.3	-118.3	-168.0	-50.7	14.9	-157.3	-11.5	-107.3	-272.2325	-65.07	-155.4	-156.3	-217.4	-407.52	-406.8147	-357.9254	-571.4754	-670.9043	-1150.813	-2013.6654	-1850.9348	-1355.9175	-1666.2732	-1257.0772	-1184.9199	-1424.9791	-979.5211	-900.2067	-981.4983	-1008.3047	-1008.3047	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	US dollars	6.0		Millions			[1985-1991,2005-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-1991,2005-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	1014.7579	-2229.9647	141.2446	-2039.6409	-1081.0195	1420.261	2366.7134														21180.0	28923.0	30353.5908	33954.3075	431.6652	12220.2678	17673.8685	12092.4768	1187.8943	-9264.3229	-27037.6352	-26204.0463	-22058.7113		-22058.7113	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	195.0	-303.0	447.0	-469.0	-132.0	-235.5	-579.6	-734.776	-668.5	-339.8	-295.047	3266.378	-883.54	-1867.13	-1710.41	795.65	-1430.93	-150.0934	-719.5589	681.2377	5137.8827	10689.8189	10581.2507	7194.247	-7571.6517	7505.9542	13084.6362	13841.1852	8145.0701	-3747.5176	-10272.8419	-3085.1955	-632.8671	7502.026	7502.026	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	US dollars	6.0		Millions			[1985-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-23.1	-118.2852	-111.2852	-45.037	-81.6481	-30.9852	-30.9222	-9.8704	15.0556	-6.3444	-0.5185000000000001	-59.4407	-47.3741	-46.7704	-60.4259	-66.7733	-56.894800000000004	-82.4064	-97.5593	-95.1014	-171.4929	-291.7634	-385.5146	-359.1714	-169.0248	-167.107	-117.6929	-166.8213	-204.3999	8.1139	51.823	-38.9468	34.4511		34.4511	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	US dollars	6.0		Millions			[1995-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1995-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.											-400.65	-931.182	-915.755	-1364.521	-599.703	-167.773	-51.755	-768.373	-2020.854	-2589.213	167.315	3707.605	9018.885	16452.805	10174.876	15040.436	17144.935	14975.987	12231.737	10208.803	-222.495	-1363.404	1684.559	6051.077	6051.077	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-952.0	-2859.0	-4235.0	-1572.0	-1305.0	4552.0	-647.0	-5547.7546	-8205.8899	-10979.453	-5117.9573	-6769.9782	-12138.0686	-14481.998	-11942.8253	-8980.6179	-3780.4232	8766.61	8139.93	3211.79	5273.75	6498.8025	6048.5379	5421.2063	7254.1157	-1622.9959	-5340.1812	-2138.0404	-13124.3738	-9179.0263	-17621.9852	-15104.7865	-31597.8688	-28002.6094	-28002.6094	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	US dollars	6.0		Millions			[1989-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1989-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.					-18340.0914	-15532.3758	-10586.1628	-10313.3046	-9289.5209	-15863.0488	-18669.2384	-14404.7424	-11910.4925	-17780.5274	-21795.7095	-15487.2739	-7986.9385	-16002.2348	-29307.7317	-41286.9509	-43342.9433	-45318.5931	-64163.0078	-52121.667	-48898.4077	-44714.2461	-44431.1561	-64482.91	-47872.531	-43397.3976	-57363.1394	-41196.6216	-35757.9105	-30507.9559	-30507.9559	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	US dollars	6.0		Millions			[2005-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[2005-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.																					6245.0478	10994.3549	14750.8191	19306.0746	10297.6094	11478.4529	6794.4614	6143.2953	8377.6938	10584.9988	6632.5006	9751.8603	7995.557	10800.6692	10800.6692	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	US dollars	6.0		Millions			[1985-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-2.7	23.0	-54.8	-66.5	-84.2	-36.6	-179.8	35.8	48.66	-42.2	-145.9	-263.3	-472.1	-995.4	-324.3977	-632.943	-644.96	-423.3177	-473.51	-307.12	-700.6375	-1403.71	-1315.0981	-1222.078	-808.98	-814.043	-1203.144	-1504.8024	-1493.926	-1885.2832	-1203.1653	-1106.2929	-1980.6431		-1980.6431	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	US dollars	6.0		Millions			[1985-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	38.8298	-68.883	-201.3298	192.0213	-193.0851	69.6809	-602.6596	-826.5957	-339.3617	-255.5851	237.3823	260.4246	-31.0637	-777.4131	-36.8793	830.185	225.9326	-49.6308	200.4435	471.5786	1474.2021	2187.4494	2906.5745	2256.8868	559.9755	770.0719	3247.3404	2577.9764	2409.721	1523.2511	-752.1107	-1492.8191	-1599.7606		-1599.7606	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-455.1734	-625.1814	-237.116	-272.8366	-1099.5662	-397.9096	64.5932	180.791	359.2636	199.5688	-823.8802	-991.419	-286.313	-35.166	-364.3553	-305.8317	-535.4247	739.2503	131.6376	-278.6794	-173.7415	1196.0631	856.7926	926.1854	3556.1264	2108.5025	-161.8425	2575.5007	2058.4734	755.7908	2579.621	931.3939	-5984.9925	-7592.8735	-7592.8735	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	145	Western Asia	1	51	Armenia	ARM	1	44.93839317	40.29499741	US dollars	6.0		Millions			[1993-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1993-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.									-67.73	-103.78	-220.677	-322.2091	-335.7388	-416.1483	-312.5429	-301.6679	-221.1642	-147.8105	-173.51	-78.8414	-123.8998	-152.9314	-677.2709	-1658.8842	-1425.501	-1261.4313	-1058.8698	-1057.9156	-813.0357	-882.8869	-272.4277	-238.1213	-279.6738	-1130.5758	-1130.5758	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	29	Caribbean	1	52	Barbados	BRB	1	-59.5346489	13.13648273	US dollars	6.0		Millions			[1985-2013]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-2013]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	59.6	13.2	-16.3	48.05	28.2	-7.8	-23.6	156.1303	81.853	140.1326	10.1746	34.0777	-94.6123	-114.434	-202.4701	-213.0637	-174.7134	-229.1168	-240.918	-413.0887	-465.8206	-354.4113	-275.7606	-475.6553	-259.6203	-218.4128	-254.2408	-410.9688	-248.1613						-248.1613	2013
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Current account	SYB066	155	Western Europe	1	56	Belgium	BEL	1	4.660976456	50.64104975	US dollars	6.0		Millions			[2002-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[2002-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.																		11611.3433	10790.0813	11425.5292	7702.6271	7545.1197	7041.3172	-4285.5272	-5241.2259	7977.3256	-5486.6797	-234.7166	-1575.2071	-4667.9907	-4699.6566	-2809.4772	3566.8033	-6819.4228	-6819.4228	2018
