topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2012	value_2013	value_2014	value_2015	value_2016	value_latest_year	latest_year
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	39	Southern Europe	1	705	Slovenia	SVN	1	14.82209486	46.11958061	Passenger-kilometers	6.0		Millions			[2013-2016]: International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	[2013-2016]: Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.		788.405	851.337	923.409	772.6474	772.6474	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	14	Eastern Africa	1	706	Somalia	SOM	1	46.20367477	4.406485729	Passenger-kilometers	6.0		Millions			[2013-2016]: International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	[2013-2016]: Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.		144.0584	136.369	0.0	1.9427	1.9427	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	18	Southern Africa	1	710	South Africa	ZAF	1	24.67184355	-29.99957544	Passenger-kilometers	6.0		Millions			International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.	21962.0	20884.9711	19677.3037	18912.3415	18899.7935	18899.7935	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	14	Eastern Africa	1	716	Zimbabwe	ZWE	1	29.86909584	-19.00075492	Passenger-kilometers	6.0		Millions			[2013-2016]: International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	[2013-2016]: Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.		253.9783	249.7034	130.6508	132.5934	132.5934	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	39	Southern Europe	1	724	Spain	ESP	1	-3.554078296	40.39211472	Passenger-kilometers	6.0		Millions			International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.	68255.0	66430.3106	74616.4175	85157.0771	92206.7286	92206.7286	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	14	Eastern Africa	1	728	South Sudan	SSD	1	30.32618773	7.290839152	Passenger-kilometers	6.0													
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	15	Northern Africa	1	729	Sudan	SDN	0	29.95650159	16.02643066	Passenger-kilometers	6.0		Millions			[2013-2016]: International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	[2013-2016]: Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.		805.6461	781.3641	779.0966	546.6475	546.6475	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	15	Northern Africa	1	732	Western Sahara	ESH	0	-13.13515523	24.66265342	Passenger-kilometers	6.0													
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	5	South America	1	740	Suriname	SUR	1	-55.90626394	4.132603197	Passenger-kilometers	6.0		Millions			International Civil Aviation Organization (ICAO), Montreal, ICAO Air Transport Reporting Forms A and A-S plus ICAO estimates, last accessed April 2017.	Organisation de l’aviation civile internationale (OACI), Montréal, Formulaires A et A-S du transport aérien de l'OACI et estimations de l'OACI, dernier accès avril 2017.	1050.0	1094.961	1106.941	1145.977	1149.424	1149.424	2016
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	18	Southern Africa	1	748	Eswatini	SWZ	1	31.50149288	-26.56471011	Passenger-kilometers	6.0													
16	International tourism and transport	Tourisme et transport internationaux	civilaviation	61	Civil aviation: scheduled airline traffic	Civil aviation: scheduled international airline traffic - passenger-distance	SYB038	154	Northern Europe	1	752	Sweden	SWE	1	14.3775338	60.60103109	Passenger-kilometers	6.0													
