refAreaCode,m49_Code,m49_DescEN,m49_DescFR
2,1,World,Monde
3,19,Americas,Amériques
4,34,Southern Asia,Asie méridionale
5,419,Latin America & Caribbean,Amérique latine et Caraïbes
6,1,World,Monde
7,1,World,Monde
8,39,Southern Europe,Europe méridionale
9,1,World,Monde
10,1,World,Monde
11,202,Sub-Saharan Africa,Afrique subsaharienne
12,15,Northern Africa,Afrique septentrionale
13,419,Latin America & Caribbean,Amérique latine et Caraïbes
14,202,Sub-Saharan Africa,Afrique subsaharienne
15,2,Africa,Afrique
16,61,Polynesia,Polynésie
17,202,Sub-Saharan Africa,Afrique subsaharienne
18,202,Sub-Saharan Africa,Afrique subsaharienne
19,1,World,Monde
20,39,Southern Europe,Europe méridionale
21,19,Americas,Amériques
24,17,Middle Africa,Afrique centrale
28,29,Caribbean,Caraïbes
29,419,Latin America & Caribbean,Amérique latine et Caraïbes
30,142,Asia,Asie
31,145,Western Asia,Asie occidentale
32,5,South America,Amérique du Sud
33,6,Asia [former],Asie [anc.]
34,142,Asia,Asie
35,142,Asia,Asie
36,53,Oceania,Océanie
37,6,Asia [former],Asie [anc.]
38,7,Europe [former],Europe [anc.]
39,150,Europe,Europe
40,155,Western Europe,Europe occidentale
41,7,Europe [former],Europe [anc.]
42,7,Europe [former],Europe [anc.]
44,29,Caribbean,Caraïbes
47,46,Micronesia-Polynesia [former],Micronésie-Polynésie [anc.]
48,145,Western Asia,Asie occidentale
49,46,Micronesia-Polynesia [former],Micronésie-Polynésie [anc.]
50,34,Southern Asia,Asie méridionale
51,145,Western Asia,Asie occidentale
52,29,Caribbean,Caraïbes
53,9,Oceania,Océanie
54,9,Oceania,Océanie
56,155,Western Europe,Europe occidentale
57,9,Oceania,Océanie
60,21,Northern America,Amérique septentrionale
61,9,Oceania,Océanie
62,142,Asia,Asie
64,34,Southern Asia,Asie méridionale
68,5,South America,Amérique du Sud
70,39,Southern Europe,Europe méridionale
72,18,Southern Africa,Afrique australe
74,5,South America,Amérique du Sud
76,5,South America,Amérique du Sud
80,5,South America,Amérique du Sud
84,13,Central America,Amérique centrale
86,14,Eastern Africa,Afrique orientale
90,54,Melanesia,Mélanésie
92,29,Caribbean,Caraïbes
96,35,South-eastern Asia,Asie du Sud-Est
100,151,Eastern Europe,Europe orientale
104,35,South-eastern Asia,Asie du Sud-Est
108,14,Eastern Africa,Afrique orientale
112,151,Eastern Europe,Europe orientale
116,35,South-eastern Asia,Asie du Sud-Est
