topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2007	value_2013	value_2014	value_2015	value_2017	value_latest_year	latest_year
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		652.864	652.864	652.864	652.864	652.864	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		28.748	28.748	28.748	28.748	28.748	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		2381.741	2381.741	2381.741	2381.741	2381.741	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		0.199	0.199	0.199	0.199	0.199	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		0.468	0.468	0.468	0.468	0.468	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		1246.7	1246.7	1246.7	1246.7	1246.7	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		0.442	0.442	0.442	0.442	0.442	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		86.6	86.6	86.6	86.6	86.6	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	km2	3.0		Thousands			"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		2780.4	2780.4	2780.4	2780.4	2780.4	2017
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Surface area	SYB091	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	km2	3.0		Thousands	[2013-2014]: Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island. [2015,2017]: Including Norfolk Island.	[2013-2014]: Y compris l’île Christmas, les îles des Cocos (Keeling) et l’île Norfolk. [2015,2017]: Y compris l'île Norfolk.	"[2013-2015,2017]: United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."	[2013-2015,2017]: Organisation des Nations Unies, Division de statistique, New York, Annuaire démographique 2015 et recueil de statistiques démographiques, denier accès juin 2017.		7692.06	7692.06	7692.06	7692.06	7692.06	2017
