topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Number	3.0																															
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Number	3.0		Thousands	[2007-2017]: Excluding nationals residing abroad.	[2007-2017]: À l'exclusion des nationaux résidant à l'étranger.	[2007-2017]: World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	[2007-2017]: Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.													1062.0	1247.0	1711.0	2191.0	2469.0	3156.0	2857.0	3341.0	3784.0	4070.0	4643.0	4643.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Number	3.0		Thousands	Including nationals residing abroad.	Y compris les nationaux du pays résidant à l'étranger.	World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	520.0	605.0	635.0	678.0	749.0	866.0	901.0	988.0	1166.0	1234.0	1443.0	1638.0	1743.0	1772.0	1912.0	2070.0	2395.0	2634.0	2733.0	2301.0	1710.0	2039.0	2451.0	2451.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Number	3.0		Thousands			[1995-2001,2005-2017]: World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	[1995-2001,2005-2017]: Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	34.0	35.0	26.0	36.0	41.0	44.0	36.0				24.5	25.3	24.1	24.3	23.5	23.1	22.6	22.6	20.8	21.6	20.3	20.1	20.0	20.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Number	3.0		Thousands	[2009-2017]: Break in the time series.	[2009-2017]: Discontinuité dans la série.	[1999-2017]: World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	[1999-2017]: Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.					2347.0	2949.0	3516.0	3387.0	3138.0	2791.0	2418.0	2227.0	2189.0	2059.0	1830.0	1808.0	2242.0	2238.0	2328.0	2363.0	2663.0	2819.0	3003.0	3003.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Number	3.0		Thousands			World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	9.0	21.0	45.0	52.0	45.0	51.0	67.0	91.0	107.0	194.0	210.0	121.0	195.0	294.0	366.0	425.0	481.0	528.0	650.0	595.0	592.0	397.0	261.0	261.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Number	3.0		Thousands	Excluding nationals residing abroad. [2004-2017]: Arrivals by air.	[2004-2017]: Arrivées par voie aérienne. À l'exclusion des nationaux résidant à l'étranger.	World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	220.0	228.0	240.0	234.0	232.0	207.0	215.0	218.0	239.0	246.0	245.0	254.0	262.0	266.0	234.0	230.0	241.0	247.0	243.0	249.0	250.0	265.0	247.0	247.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Number	3.0		Thousands			[2002-2017]: World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	[2002-2017]: Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.								576.0	768.0	989.0	693.0	682.0	732.0	1043.0	1005.0	1280.0	1562.0	1986.0	2130.0	2160.0	1922.0	2044.0	2454.0	2454.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Number	3.0		Thousands	[2013-2014]: Break in the time series.	[2013-2014]: Discontinuité dans la série.	World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	2289.0	2614.0	2764.0	3012.0	2898.0	2909.0	2620.0	2820.0	2995.0	3457.0	3823.0	4173.0	4562.0	4700.0	4308.0	5325.0	5705.0	5587.0	5246.0	5931.0	5736.0	6655.0	6720.0	6720.0	2017
16	International tourism and transport	Tourisme et transport internationaux	tourarrivexpend	116	Tourist/visitor arrivals and tourism expenditure	Tourist/visitor arrivals	SYB115	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Number	3.0		Thousands	Excluding nationals residing abroad and crew members.	À l'exclusion des nationaux du pays résidant à l'étranger et des membres des équipages.	World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.	Organisation mondiale du tourisme (OMT), Madrid, base de données statistiques de l’OMT, dernier accés janvier 2019.	3726.0	4165.0	4318.0	4167.0	4459.0	4931.0	4856.0	4841.0	4746.0	5215.0	5499.0	5532.0	5644.0	5586.0	5490.0	5790.0	5771.0	6032.0	6482.0	6922.0	7450.0	8269.0	8815.0	8815.0	2017
