topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	US dollars	6.0		Millions			[1985-1989,2008-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-1989,2008-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-74.7865	-320.8168	44.6943	-21.531	39.5214																			924.6192	634.2027	1060.6803	1196.5061	915.3948	286.9238	389.8207	-325.4487	696.7358	420.1158		420.1158	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-30.4	0.3	17.5	-5.1	-34.5	-120.3	-42.8	-3.3107	4.618	-33.4328	431.5891	-5.5995	-111.8768	36.9943	73.3922	-68.5069	36.6765	-177.8311	-102.5109	-110.199	-244.8149	-254.1256	-838.1767	-1930.1977	-1318.269	-797.4152	-1242.9877	-804.8347	-1071.8674	-1237.5906	-681.4794	-686.1129	-1081.56	-918.8611	-918.8611	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	US dollars	6.0		Millions			[1985-1991,2005-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-1991,2005-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	1141.2764	-2087.4813	-661.1391	-1702.7602	-1528.5819	1083.7638	2067.7468														20987.8468	26957.0731	29051.0488	30583.141	-1698.0131	10920.9303	17593.096	9694.2224	389.1404	-9620.1619	-27201.7758	-26178.9397	-22015.1616		-22015.1616	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	US dollars	6.0																																										
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-460.0	-507.0	-387.0	-726.0	-810.0	-254.5939	-552.6866	-691.791	-1045.5876	-584.2935	-314.4155	3415.5426	-1054.1637	-1480.2732	-1782.5741	763.4173	-1735.6134	-217.6659	-1519.4869	1403.45	4571.4693	10957.7802	8947.4385	5971.2308	-7472.109	7219.4377	12744.6258	3857.1373	3744.4271	-7584.7743	-11465.5855	-4892.3488	-748.3798	4720.8892	4720.8892	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	US dollars	6.0		Millions			[1985-2017]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1985-2017]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-23.1	-112.4704	-95.2185	-43.2074	-76.763	-61.1667	-0.0222	9.5704	18.8736	27.9531	24.167	-66.2405	-47.5775	65.604	-41.7089	-48.2254	-44.1534	-93.8147	-73.867	-93.035	31.7667	-270.88	-382.1107	-337.6603	-189.343	-157.9114	-132.8542	-158.3992	-188.4403	65.3155	91.1618	-57.0502	102.9327		102.9327	2017
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	US dollars	6.0		Millions			[1995-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1995-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.											-342.4977	-907.5612	-952.9285	-1385.2701	-557.276	-167.8101	-52.644	-883.7525	-2155.8324	-2643.2278	82.5064	3447.9088	8655.4344	15618.3713	8719.0318	14065.0269	17732.6362	13049.5991	10339.0009	7395.5638	-2352.3458	2222.3092	2172.6695	6698.8111	6698.8111	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	US dollars	6.0		Millions			International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.	-1483.7609	-2557.1236	-4346.8958	-1737.0046	-1554.3148	5266.6315	-988.3586	-5685.6004	-9897.6955	-13074.7218	-7777.4406	-8324.353	-14343.9444	-14845.6678	-12435.4884	-9029.1046	-6433.9168	7282.7737	6782.2819	3899.0013	5698.9269	7544.453	5900.2957	6555.4059	6705.686	-3802.7206	-5251.1278	-2787.5386	-16165.0148	-9321.2625	-18496.9821	-13950.5819	-31296.815	-28479.9719	-28479.9719	2018
7	Finance	Finances	bop	74	Balance of payments summary	Balance of Payments: Financial account	SYB067	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	US dollars	6.0		Millions			[1989-2018]: International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019.	[1989-2018]: Fonds monétaire international (FMI), Washington, D.C., base de données des statistiques Balance des Paiements (BDP), dernier accès juin 2019.					-17900.9233	-15227.5188	-11094.6943	-10323.5453	-9742.0069	-16722.0809	-18866.4669	-14091.5418	-12807.7255	-17712.5687	-21601.8704	-15026.91	-7689.5397	-16014.1204	-28759.3552	-40623.8594	-42174.1534	-43714.9487	-62933.5688	-51158.317	-48253.1	-44105.0606	-42551.3807	-73309.0148	-54630.598	-44311.6032	-58322.6297	-39251.9695	-35672.329	-33743.3643	-33743.3643	2018
