topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	sexCode	sexDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1950	value_1970	value_1990	value_1995	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	value_latest_year	latest_year
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	F	Female	Number	6.0		Millions																															
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	M	Male	Number	6.0		Millions																															
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2016-2018]: Projected estimate (medium fertility variant).	[2016-2018]: Projection approximative (variante moyenne fécondité).	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.	0.006200000000000001	0.024300000000000002	0.0545	0.0639	0.0654	0.0673	0.07	0.0732	0.0762	0.0789	0.081	0.08270000000000001	0.0839	0.0845	0.0844	0.0838	0.0824	0.08080000000000001	0.0792	0.078	0.07730000000000001	0.077	0.077	0.0771	0.0772	0.0772	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	F	Female	Number	6.0		Millions																															
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	M	Male	Number	6.0		Millions																															
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										19.4336					23.3562					27.8844		29.8168	30.8098	31.8253	32.8663	32.8663	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	F	Female	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										9.7941					11.807					14.0931		15.0675	15.5683	16.0805	16.6054	16.6054	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	M	Male	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										9.6395					11.5493					13.7912		14.7493	15.2415	15.7448	16.2609	16.2609	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										0.0815					0.08800000000000001					0.0936		0.0954	0.09630000000000001	0.0971	0.0979	0.0979	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	F	Female	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										0.042800000000000005					0.0459					0.0485		0.0494	0.0499	0.050300000000000004	0.0507	0.0507	2020
