topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	14	Eastern Africa	1	175	Mayotte	MYT	0	45.14015057	-12.82217691	Number	0																						
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	17	Middle Africa	1	178	Congo	COG	1	15.22052612	-0.840544119	Number	0																						
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	17	Middle Africa	1	180	Democratic Republic of the Congo	COD	1	23.65496507	-2.877154732	Number	0																						
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	61	Polynesia	1	184	Cook Islands	COK	0	-159.7711391	-21.22696458	Number	0																						
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	13	Central America	1	188	Costa Rica	CRI	1	-84.19712782	9.970998683	Number	0					[2010-2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2010-2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.							239.0	245.0	313.0	417.0	518.0	635.0	678.0	834.0	834.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	39	Southern Europe	1	191	Croatia	HRV	1	17.95874553	45.45172212	Number	0					World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	1076.0	1094.0	1163.0	1326.0	1563.0	1852.0	2134.0	2791.0	3379.0	4243.0	4838.0	5621.0	6606.0	7845.0	7845.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	29	Caribbean	1	192	Cuba	CUB	1	-79.54460144	22.10030366	Number	0					[2004-2005,2007-2008,2011-2014,2016-2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2004-2005,2007-2008,2011-2014,2016-2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	110.0	653.0		146.0	92.0			228.0	1417.0	972.0	927.0		857.0	816.0	816.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	145	Western Asia	1	196	Cyprus	CYP	1	33.22285964	35.05659437	Number	0					[2004-2005,2007-2017]: World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	[2004-2005,2007-2017]: Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	2257.0	3521.0		452.0	454.0	266.0	333.0	171.0	246.0	82.0	149.0	114.0	79.0	37.0	37.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	151	Eastern Europe	1	203	Czechia	CZE	1	15.33151382	49.73913871	Number	0					World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2018.	Organisation mondiale de la propriété intellectuelle (OMPI), Genève, la base de données statistiques de l’OMPI, dernier accès fèvrier 2018.	9807.0	10165.0	10298.0	15997.0	19746.0	21826.0	23415.0	26081.0	28864.0	30757.0	32590.0	34837.0	37889.0	41606.0	41606.0	2017
14	Science and technology	Science et technologie	patents	67	Patents	Patents in force	SYB060	11	Western Africa	1	204	Benin	BEN	1	2.339933594	9.65401646	Number	0																						
