topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_latest_year	latest_year
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Subscriptions per 100 inhabitants	0			[2009-2010]: Estimate. [2015]: Break in the time series. [2015]: Data refers to active subscriptions only.	[2009-2010]: Données estimatives. [2015]: Discontinuité dans la série. [2015]: Les données concernent les abonnements actifs.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.0	4.83	9.83	17.72	29.22	37.89	35.97	60.33	51.43	55.01	58.85	61.58	61.58	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Subscriptions per 100 inhabitants	0			[2008-2010]: Estimate. [2008]: Break in the time series. [2008]: Data refers to subscriptions active in the last 3 months (or 90 days).	[2008-2010]: Données estimatives. [2008]: Discontinuité dans la série. [2008]: Les données portent sur les abonnements actifs au cours des trois derniers mois (90 jours).	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.9	47.88	60.07	73.35	58.91	78.18	85.47	98.29	110.69	116.16	105.47	106.38	106.38	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.27	40.23	60.85	78.53	75.66	89.96	88.44	94.31	97.52	100.79	108.44	113.03	113.03	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Subscriptions per 100 inhabitants	0					[2000]: International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	[2000]: Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	3.46												3.46	2000
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	36.0	79.48	84.28	78.12	80.28	82.06	84.07	83.53	81.5	80.7	82.64	88.12	88.12	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Subscriptions per 100 inhabitants	0			[2006]: Data as at the end of June. [2010]: Estimate.	[2006]: Données à la fin de juin. [2010]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.19	9.74	17.84	28.01	36.98	42.85	48.1	59.83	61.41	61.87	63.48	60.84	60.84	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Subscriptions per 100 inhabitants	0			[2009,2012]: Decrease due to operator updating their records to exclude inactive subscriptions. [2015]: Estimate.	[2009,2012]: Baisse due à l'exclusion des comptes inactifs par l'un des principaux opérateurs. [2015]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	28.33	104.16	132.0	133.16	160.04	156.34	192.55	199.66	143.01	127.09	132.05	137.22	137.22	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	5.18	26.18	38.36	51.53	73.76	86.32	100.06	109.97	108.77	107.61	110.91	111.28	111.28	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Subscriptions per 100 inhabitants	0			[2015]: Provisional data.	[2015]: Estimation partielle.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	17.58	57.33	80.82	102.72	117.22	131.13	141.38	149.09	156.56	162.53	146.48	143.91	143.91	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Subscriptions per 100 inhabitants	0			[2008]: Including data-only subscriptions. [2015]: Data as at the end of June.	[2008]: Y compris les abonnements aux services d'accès aux données. [2015]: Données à la fin de juin.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	44.46	89.76	94.7	100.06	102.19	100.74	100.43	104.61	105.59	106.84	131.23	132.8	132.8	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	155	Western Europe	1	40	Austria	AUT	1	14.14172472	47.58704857	Subscriptions per 100 inhabitants	0			[2006-2007]: Includes subscribers to public mobile data services.	[2006-2007]: Y compris les abonnés aux services mobiles de données sur réseau public.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	76.27	105.18	112.12	119.26	129.66	136.58	145.69	154.43	160.54	156.23	151.91	157.41	157.41	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	29	Caribbean	1	44	Bahamas	BHS	1	-78.05111663	24.69546597	Subscriptions per 100 inhabitants	0			[2011]: Break in the time series. [2011]: Data refers to subscriptions active in the last 60 days. [2011]: Decrease due to operator updating their records to exclude inactive subscriptions. [2012-2013]: Estimate.	[2011]: Baisse due à l'exclusion des comptes inactifs par l'un des principaux opérateurs. [2011]: Discontinuité dans la série. [2011]: Les données portent sur les abonnements actifs dans les derniers 60 jours. [2012-2013]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	10.59	69.21	75.38	109.34	102.79	101.22	118.83	81.56	80.65	76.05	82.3	80.29	80.29	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	145	Western Asia	1	48	Bahrain	BHR	1	50.5490754	26.04407747	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	30.79	87.22	95.42	108.1	129.1	117.66	125.21	131.01	161.17	165.91	173.27	185.26	185.26	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	34	Southern Asia	1	50	Bangladesh	BGD	1	89.17660788	22.86961622	Subscriptions per 100 inhabitants	0			[2015]: Data as at the end of December.	[2015]: Données à la fin de décembre.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.21000000000000002	6.29	13.21	23.47	30.17	34.35	44.95	55.19	62.82	74.43	80.04	83.36	83.36	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	145	Western Asia	1	51	Armenia	ARM	1	44.93839317	40.29499741	Subscriptions per 100 inhabitants	0			[2011]: Break in the time series. [2011]: Data refers to subscriptions active in the last 3 months (or 90 days).	[2011]: Discontinuité dans la série. [2011]: Les données portent sur les abonnements actifs au cours des trois derniers mois (90 jours).	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.5700000000000001	10.55	41.95	62.76	48.43	73.83	130.43	108.34	111.91	112.42	115.92	115.15	115.15	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	29	Caribbean	1	52	Barbados	BRB	1	-59.5346489	13.13648273	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	10.65	75.37	86.25	93.24	103.97	120.81	124.85	123.46	123.33	108.1	106.78	116.46	116.46	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	155	Western Europe	1	56	Belgium	BEL	1	4.660976456	50.64104975	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	54.82	91.4	93.01	100.56	105.28	108.4	111.08	113.53	111.33	110.9	114.27	115.69	115.69	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	21	Northern America	1	60	Bermuda	BMU	0	-64.78155012	32.27881922	Subscriptions per 100 inhabitants	0			[2007-2010,2012-2013,2015]: Estimate.	[2007-2010,2012-2013,2015]: Données estimatives.	[2000,2005-2010,2012-2015]: International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	[2000,2005-2010,2012-2015]: Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	20.69	82.2	93.41	106.96	122.16	131.15	135.79		139.54	144.32	90.88	57.95	57.95	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	34	Southern Asia	1	64	Bhutan	BTN	1	90.45098484	27.39598568	Subscriptions per 100 inhabitants	0			[2010,2012-2015]: Both Bhutan Telecom and Tashi Cell provide mobile-cellular services. [2013]: Decrease in total number of subscribers is attributed mainly to foreign workers leaving the country.	[2010,2012-2015]: Buthan Telecom and Tashi Cell sont les deux fournisseurs de téléphonie mobile. [2013]: Diminution du nombre total d’abonnés attribuable principalement au départ des travailleurs étrangers quittant le pays.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.0	5.53	12.33	22.0	36.61	48.11	55.0	66.38	75.61	72.2	81.58	87.12	87.12	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	5	South America	1	68	Bolivia (Plurinational State of)	BOL	1	-64.66224284	-16.71273412	Subscriptions per 100 inhabitants	0			[2011-2013]: Data refers to subscriptions active in the last month (or 30 days).	[2011-2013]: Les données portent sur les abonnements actifs dans le dernier mois (ou 30 jours).	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	6.86	25.88	30.22	33.63	51.24	64.69	70.69	80.91	90.44	97.7	96.34	92.18	92.18	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	39	Southern Europe	1	70	Bosnia and Herzegovina	BIH	1	17.78584332	44.16845548	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	2.44	41.09	48.72	63.34	82.33	84.53	80.87	82.6	87.57	91.1	91.28	90.15	90.15	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	18	Southern Africa	1	72	Botswana	BWA	1	23.81380223	-22.18810073	Subscriptions per 100 inhabitants	0			[2012-2013]: Data as at the end of December.	[2012-2013]: Données à la fin de décembre.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	12.66	30.06	43.41	60.14	76.84	96.02	120.01	145.98	153.79	160.64	167.3	169.0	169.0	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	5	South America	1	76	Brazil	BRA	1	-53.08432878	-10.77668561	Subscriptions per 100 inhabitants	0			[2009]: Excluding data-only subscriptions.	[2009]: À l’exclusion des abonnements aux services d’accès aux données.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	13.29	46.31	53.11	63.67	78.55	87.54	100.88	119.0	125.0	135.31	138.95	126.59	126.59	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	13	Central America	1	84	Belize	BLZ	1	-88.70199554	17.19965901	Subscriptions per 100 inhabitants	0			[2005-2006,2014-2015]: Estimate. [2010,2013]: Including mobile GSM mobile base. [2011-2012]: Includes Mobile GSM and AMPS Post and Pre Mobile Base.	[2005-2006,2014-2015]: Données estimatives. [2010,2013]: Y compris Mobile GSM Mobile Base. [2011-2012]: Y compris Mobile GSM et AMPS Post et Pre Mobile Base en décembre 2010.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	7.05	35.3	42.3	41.34	54.52	53.75	62.93	70.32	53.21	52.61	50.71	48.91	48.91	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	54	Melanesia	1	90	Solomon Islands	SLB	1	160.1584117	-9.622391719	Subscriptions per 100 inhabitants	0			[2006-2009]: Estimate. [2007]: Based on Pacific Economic Survey 2008.	[2006-2009]: Données estimatives. [2007]: Basé sur l'Enquête économique sur le Pacifique de 2008.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.28	1.28	1.46	2.21	5.96	9.71	21.94	51.09	54.98	57.57	65.76	72.66	72.66	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	29	Caribbean	1	92	British Virgin Islands	VGB	0	-64.63294223	18.42256578	Subscriptions per 100 inhabitants	0			[2013,2015]: Estimate.	[2013,2015]: Données estimatives.	[2007-2015]: International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	[2007-2015]: Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.				83.42	89.44	177.19	174.57	168.04	173.39	188.44	165.27	145.83	145.83	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	35	South-eastern Asia	1	96	Brunei Darussalam	BRN	1	114.6288563	4.49736984	Subscriptions per 100 inhabitants	0			[2014]: Break in the time series. [2014]: Previous year data refer to total number of configured SIMs instead of active subscriptions.	[2014]: Discontinuité dans la série. [2014]: Les données de l'année précédente se réfèrent au nombre total de cartes SIMs configurées plutôt que les abonnements actifs.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	28.63	63.32	80.44	95.99	102.79	104.69	108.62	109.02	113.95	112.21	106.82	108.13	108.13	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	151	Eastern Europe	1	100	Bulgaria	BGR	1	25.23763153	42.75731323	Subscriptions per 100 inhabitants	0			[2013-2014]: Excluding data-only subscriptions. [2015]: Provisional data.	[2013-2014]: À l’exclusion des abonnements aux services d’accès aux données. [2015]: Estimation partielle.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	9.22	81.28	108.27	130.86	138.98	140.4	138.04	142.85	148.13	145.19	132.35	129.27	129.27	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	35	South-eastern Asia	1	104	Myanmar	MMR	1	96.51752295	21.19332882	Subscriptions per 100 inhabitants	0			[2010]: Estimate.	[2010]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.030000000000000002	0.26	0.42000000000000004	0.49000000000000005	0.7200000000000001	0.9700000000000001	1.1400000000000001	2.38	7.06	12.83	54.04	76.67	76.67	2015
