parentRegionId,parentRegion_DescEN,parentRegion_DescFR,refAreaType,refAreaCode,isM49,ISO3CD_Code,refAreaDesc,bookNameEng,bookNameFre,capitalCity_Code,capitalCity_DescEN,capitalCity_DescFR,nationalCurrency_Code,nationalCurrency_DescEN,nationalCurrency_DescFR,activeStatus,classType,publicStatus,exportPartner1_Code,exportPartner1_DescEN,exportPartner1_DescFR,importPartner1_Code,importPartner1_DescEN,importPartner1_DescFR,exportPartner2_Code,exportPartner2_DescEN,exportPartner2_DescFR,importPartner2_Code,importPartner2_DescEN,importPartner2_DescFR,exportPartner3_Code,exportPartner3_DescEN,exportPartner3_DescFR,importParnter3_Code,importParnter3_DescEN,importParnter3_DescFR,tradeSystem_Code,tradeSystem_DescEN,tradeSystem_DescFR,tourismArrivalsSeriesType_Code,tourismArrivalsSeriesType_DescEN,tourismArrivalsSeriesType_DescFR
,,,,-999,N,,Extra-EU-28,Extra-EU-28,Extra-UE-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-909,N,,Non Petroleum Exports of Asia Middle East,Non Petroleum Exports of Asia Middle East,Exp. non pétrolières de Moyen-Orient d'Asie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-793,N,,Regional programmes,Regional programmes and other,Programmes régionaux et autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-777,N,,World excluding intra-EU27 trade,World exc. intra-EU27,Monde excl. intra-UE27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-579,N,,"Global/ interregional, programme support, management & administration",Other ,Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-378,N,,Interregional,Interregional,Interrégional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-198,N,,Development Assistance Committee (DAC),[use code 593],[use code 593],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-190,Y,,Total countries/areas,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-147,Y,,Asia and the Pacific,Asia and the Pacific,Asie et le Pacifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other,0,Y,,Total,Total,Total,,,,,,,N,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region,1,Y,,World,"Total, all countries or areas","Total, tous pays ou zones",,,,,,,Y,0,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,World,Monde,Region,2,Y,,Africa,Africa,Afrique,,,,,,,Y,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
19,Americas,Amériques,Region,3,Y,,North America,North America,Amérique du Nord,,,,,,,Y,1.5,Y,,,,,,,,,,,,,,,,,,,,,,,,
34,Southern Asia,Asie méridionale,Area,4,Y,AFG,Afghanistan,Afghanistan,Afghanistan,20002,Kabul,Kaboul,AFN,Afghani (AFN),afghani (AFN),Y,2,Y,586,Pakistan,Pakistan,364,Iran (Islamic Rep.),Iran (Rép. islamique),356,India,Inde,586,Pakistan,Pakistan,364,Iran (Islamic Rep.),Iran (Rép. islamique),156,China,Chine,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,,,
419,Latin America & Caribbean,Amérique latine et Caraïbes,Region,5,Y,,South America,South America,Amérique du Sud,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,World,Monde,Region,6,Y,,Asia [former],Asia [former],Asie [anc.],,,,,,,N,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
