topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2005	value_2010	value_2015	value_2016	value_latest_year	latest_year
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	1350.0	1350.0	1350.0	1350.0	1350.0	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	782.4	776.3	771.5	770.54	770.54	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	1536.0	1918.0	1956.0	1963.6	1963.6	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	17.88	17.71	17.54	17.5	17.5	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	16.0	16.0	16.0	16.0	16.0	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	59104.0	58480.0	57856.0	57731.2	57731.2	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	9.8	9.8	9.8	9.8	9.8	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	877.2	1008.3	1139.4	1165.62	1165.62	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	30186.0	28596.0	27112.0	26815.2	26815.2	2016
13	Environment	Environnement	land	64	Land	Forest cover area	SYB048	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Hectares	3.0		Thousands	[2016]: Estimate.	[2016]: Données estimatives.	Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018.	Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO), Rome, base de données FAOSTAT, dernier accès octobre 2018.	127641.0	123211.0	124751.0	125059.0	125059.0	2016
