topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	ODACode	ODADesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1975	value_1976	value_1977	value_1978	value_1979	value_1980	value_1981	value_1982	value_1983	value_1984	value_1985	value_1986	value_1987	value_1988	value_1989	value_1990	value_1991	value_1992	value_1993	value_1994	value_1995	value_1996	value_1997	value_1998	value_1999	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	BILATERAL	Bilateral	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	38.39	34.03	0.33	-16.65	18.52	-14.76	10.3	0.21000000000000002	4.61	-1.22	6.99	-5.05	38.31	65.74	43.11	87.0	480.97	151.08	151.08	155.44	128.66	60.78	130.02	130.78	91.95	60.46	311.89	922.49	1196.45	1734.4	2272.85	2531.44	4309.2	4157.8	5337.35	5522.27	6136.56	6065.9	4607.72	4377.76	3901.46	3505.31	3194.36	3194.36	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	MULTILATERAL	Multilateral	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	28.59	36.17	82.39	91.15	80.69	43.36	12.65	9.53	8.87	7.93	9.33	7.7	8.21	7.76	106.21	35.72	27.57	53.72	72.72	70.98	83.87	108.85	100.73	33.42	50.91	75.55	98.47	300.8	341.78	534.13	542.25	364.39	673.41	653.41	775.77	713.05	609.18	600.87	544.82	565.21	365.83	563.9	609.65	609.65	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	_T	Total	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	66.98	70.2	82.72	74.5	99.21	28.6	22.95	9.74	13.48	6.71	16.32	2.65	46.52	73.5	149.32	122.72	508.54	204.8	223.8	226.42	212.53	169.63	230.75	164.2	142.86	136.01	410.36	1223.29	1538.23	2268.53	2815.1	2895.83	4982.61	4811.21	6113.12	6235.32	6745.74	6666.77	5152.54	4942.97	4267.29	4069.21	3804.01	3804.01	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	BILATERAL	Bilateral	US dollars	6.0		Millions			[1989-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1989-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.															7.04	8.77	329.44	325.01	196.46	117.65	117.59	184.2	146.67	191.43	313.34	152.59	175.01	223.32	256.96	186.97	191.89	228.39	207.93	263.63	249.77	253.48	239.96	231.36	171.15	167.27	231.91	86.35	70.25	70.25	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	MULTILATERAL	Multilateral	US dollars	6.0		Millions			[1989-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1989-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.															3.3	2.2800000000000002	2.51	84.63	74.22	45.45	63.01	42.44	21.56	77.31	174.84	165.26	93.52	84.04	92.35	113.97	123.19	95.65	100.7	101.21	107.38	111.59	139.52	117.8	98.83	113.9	101.67	82.25	87.07	87.07	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	_T	Total	US dollars	6.0		Millions			[1988-2017]: Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	[1988-2017]: Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.														5.5600000000000005	10.34	11.05	331.95	409.64	270.68	163.1	180.6	226.64	168.23	268.74	488.18	317.85	268.53	307.36	349.31	300.94	315.08	324.04	308.63	364.84	357.15	365.07	379.48	349.16	269.98	281.17	333.58	168.6	157.32	157.32	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	BILATERAL	Bilateral	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	212.7	134.14	108.89	168.45	99.88	185.12	146.86	123.44	77.07	111.52	160.76	157.66	198.55	171.45	131.11	314.17	191.84	357.55	296.45	268.02	271.7	277.81	214.16	342.48	98.64	103.48	80.14	100.97	153.55	211.27	251.84	167.85	283.07	211.72	184.51	130.61	123.08	96.17	141.84	102.97	36.04	103.65	123.25	123.25	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	MULTILATERAL	Multilateral	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	22.57	11.23	20.26	21.84	10.96	20.04	20.21	11.26	16.21	9.46	11.39	9.67	14.9	0.53	27.1	17.48	19.33	17.24	29.86	27.47	24.04	29.07	33.73	77.39	39.34	96.48	118.72	85.15	85.69	105.7	95.54	72.83	111.94	113.11	117.88	70.64	70.27	51.15	61.58	57.65	51.45	54.28	65.94	65.94	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	_T	Total	US dollars	6.0		Millions			Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019.	Organisation de coopération et de développement économiques (OCDE), Paris, base de données du Comité d’aide au développement (CAD) de l’OCDE, dernier accès juin 2019.	235.27	145.37	129.15	190.29	110.84	205.16	167.07	134.7	93.28	120.98	172.15	167.33	213.45	171.98	158.21	331.65	211.17	374.79	326.31	295.49	295.74	306.88	247.89	419.87	137.98	199.96	198.86	186.12	239.24	316.97	347.38	240.68	395.01	324.83	302.39	201.25	193.35	147.32	203.42	160.62	87.49	157.93	189.19	189.19	2017
19	Development assistance	Aide au développement	odabimulti	77	Net disbursements of official development assistance to recipients	Net disbursements of official development assistance received	SYB070	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	BILATERAL	Bilateral	US dollars	6.0																																																			
