topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	34	Southern Asia	1	4	Afghanistan	AFG	1	66.02688198	33.83160199	Percent	0					[2010-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2010-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.											9.3032	8.9034	10.8583	9.9768	8.8416	8.9602				8.9602	2015
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	39	Southern Europe	1	8	Albania	ALB	1	20.06660928	41.13897007	Percent	0					[2013,2015-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2013,2015-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.														11.4943		12.4627	18.9283			18.9283	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	15	Northern Africa	1	12	Algeria	DZA	1	2.678164227	28.15940032	Percent	0																											
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	61	Polynesia	1	16	American Samoa	ASM	0	-170.7187269	-14.30587306	Percent	0																											
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	39	Southern Europe	1	20	Andorra	AND	1	1.576257417	42.54548611	Percent	0					[2006,2008,2010-2011,2013,2015-2017]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2006,2008,2010-2011,2013,2015-2017]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.							52.5865		43.8931		30.9192	31.3184		59.3891		63.5524	64.0519	63.8312		63.8312	2017
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	17	Middle Africa	1	24	Angola	AGO	1	17.57817062	-12.33724746	Percent	0																											
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	Percent	0					[2002,2009]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2002,2009]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.			25.6809							21.629										21.629	2009
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	Percent	0					[2000-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2000-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.	35.5191	35.1215	35.3903	33.3244	32.87	31.5684	32.4327	29.541	30.7753	31.8139	32.6161	34.568	45.454	31.1222	42.9843	45.8507	41.9587			41.9587	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	Percent	0					[2001-2004,2006-2010,2012-2016]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2001-2004,2006-2010,2012-2016]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.		11.1768	10.2917	10.6824	11.580400000000001		8.2711	8.4808	8.8934	9.4373	9.9087		6.6794	5.9886	7.7748	7.2126	6.7773			6.7773	2016
3	Education	Éducation	expendedu	109	Public expenditure on education	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	SYB110	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	Percent	0					[2000,2014-2015]: United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019.	[2000,2014-2015]: Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO), Montréal, base de données statistiques de l’Institut de statistique (ISU) de l’UNESCO, dernier accès mars 2019.	24.6669														27.0164	27.1111				27.1111	2015
