goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2005	value_2010	value_2015	value_latest_year	latest_year
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	1350.0	1350.0	1350.0	1350.0	1350.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	769.3	782.4	776.3	771.5	771.5	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																		
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	1579.0	1536.0	1918.0	1956.0	1956.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	18.05	17.881	17.712	17.543	17.543	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	16.0	16.0	16.0	16.0	16.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	59728.0	59104.0	58480.0	57856.0	57856.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	10.0	9.8	9.8	9.8	9.8	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	871.8	877.2	1008.3	1139.4	1139.4	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	31860.0	30186.0	28596.0	27112.0	27112.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	128841.0	127641.0	123211.0	124751.0	124751.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	3838.0	3851.0	3860.0	3869.0	3869.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	515.0	515.0	515.0	515.0	515.0	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747		HA_TH	Thousands of hectares			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment		E: Estimated data	0.371	0.448	0.526	0.604	0.604	2015
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	2019.Q3.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622		HA_TH	Thousands of hectares			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data	1468.0	1455.0	1442.0	1429.0	1429.0	2015
