goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_latest_year	latest_year
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.13714	0.11691	0.10648	0.10931	0.10465	0.10316	0.09861	0.09921	0.09039	0.09173	0.09283	0.08891	0.08891	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	1.84395	1.85109	1.8593	1.85067	1.8452	1.843	1.84266	1.84127	1.85741	1.87939	1.89136	1.89234	1.89234	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																										
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.00944	0.00995	0.01048	0.01125	0.01161	0.0139	0.01609	0.01717	0.01797	0.0189	0.01748	0.01771	0.01771	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.34876	0.34417	0.34295	0.34563	0.344	0.35023	0.35777	0.35129	0.34231	0.3363	0.33824	0.34007	0.34007	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.13556	0.13536	0.13332	0.13394	0.13362	0.13656	0.13751	0.13939	0.13671	0.13326	0.1317	0.13097	0.13097	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.07056	0.07162	0.07301	0.07414	0.07443	0.07453	0.07524	0.07571	0.07559	0.0749	0.07455	0.07326	0.07326	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	7.75565	7.78099	7.81228	7.82607	7.83897	7.8262	7.81522	7.79705	7.78824	7.72698	7.6843	7.6194	7.6194	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	87.39542	87.42916	87.44397	87.41515	87.38522	87.38261	87.38184	87.36864	87.34221	87.31039	87.21831	87.17733	87.17733	2016
6	6.6	6.6.1	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		PT	Percentage			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	1.23473	1.24088	1.2195	1.1875	1.14718	1.10345	1.07701	1.0506	1.02249	1.00444	1.00894	1.0194	1.0194	2016
