goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	typeOfProductCode	typeOfProductDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2005	value_2010	value_2015	value_2016	value_2017	value_latest_year	latest_year
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	29.54545	49.04632	44.0678	38.94737	53.45133	53.45133	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	36.12121	44.73563	54.11406	51.49802	61.85567	61.85567	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	26.41509	45.45455	27.39726	36.55914	67.12329	67.12329	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	38.4755	43.10127	59.25458	59.07336	65.39343	65.39343	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	35.82888	50.0	46.66667	50.0	58.76777	58.76777	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available		100.0	0.0	0.0		0.0	2016
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		AGG_OIL	Oil																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	64.73029	57.31343	71.8601	65.52419	75.82668	75.82668	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	57.40229	61.55446	61.68147	46.14451	59.64934	59.64934	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	56.84211	45.0	37.89528	27.7027	37.7288	37.7288	2017
