goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	typeOfProductCode	typeOfProductDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2005	value_2010	value_2015	value_2016	value_2017	value_latest_year	latest_year
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	55.96933	67.12762	72.61473	55.25596	69.64029	69.64029	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	69.5122	73.50427	77.22772	44.33962	68.26923	68.26923	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	100.0	100.0	100.0	66.66667	75.0	75.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	50.0	100.0	50.0	0.0	100.0	100.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_AGR	Agricultural products																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		ALP	All products																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_CLTH	Clothing																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_IND	Industrial products																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_TXT	Textiles																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_ARMS	Arms																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662		AGG_OIL	Oil																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	36.54485	32.44552	44.38776	43.88889	50.78684	50.78684	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	63.70403	50.47204	64.94645	45.40816	63.79007	63.79007	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	77.77778	37.2549	25.45455	28.30189	46.875	46.875	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	68.15642	54.09982	71.59458	46.5704	68.6522	68.6522	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	50.57471	27.58621	55.81395	42.10526	65.33333	65.33333	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	50.0	100.0	100.0	100.0	50.0	50.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	71.42857	87.5	83.33333	75.0	88.88889	88.88889	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	0.0	14.28571	10.71429	13.88889	16.51376	16.51376	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	22.22222	8.95522	11.9171	22.44898	26.4993	26.4993	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available		0.0	0.0	7.69231	2.77778	2.77778	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	28.57143	8.16327	12.98701	24.62006	30.88235	30.88235	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	0.0	0.0	0.0	0.0	11.11111	11.11111	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available				50.0	0.0	0.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		AGG_OIL	Oil																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	60.74766	31.44654	53.60825	22.61905	46.98795	46.98795	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	59.38844	54.53668	67.9646	32.7304	57.93839	57.93839	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	58.57143	86.99187	89.28571	25.64103	71.92982	71.92982	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	58.84009	54.44965	66.82365	34.30291	56.66912	56.66912	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	71.21212	50.63291	67.10526	22.5	60.0	60.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	100.0	100.0	71.42857	0.0	100.0	100.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available			100.0			100.0	2015
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	40.0	47.82609	52.05479	39.70588	34.85714	34.85714	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	55.27066	61.62791	65.25278	42.86417	46.04801	46.04801	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	23.68421	34.61538	28.20513	6.32911	16.49485	16.49485	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	57.14286	62.41401	66.7907	45.27778	47.9868	47.9868	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	12.5	43.33333	40.81633	13.84615	28.28283	28.28283	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available			33.33333	33.33333		33.33333	2016
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	78.57143	94.73684	94.11765	92.85714	93.33333	93.33333	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	70.5036	23.32362	61.43791	70.16129	69.28105	69.28105	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	59.55882	33.60898	73.02032	80.34783	68.12865	68.12865	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	93.50649	35.0	62.5	67.74194	54.54545	54.54545	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	55.23316	35.05963	74.49063	81.91377	68.34356	68.34356	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	60.46512	25.0	82.6087	83.72093	68.57143	68.57143	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available				100.0	0.0	0.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		AGG_OIL	Oil																		
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	76.28032	82.53638	76.81159	82.18029	71.62162	71.62162	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	79.78094	82.27688	70.76044	76.26542	69.80073	69.80073	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	87.87879	95.19231	67.6259	77.41935	56.33803	56.33803	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	79.04613	80.79726	69.9505	74.8125	70.12826	70.12826	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	87.5	87.5969	63.44828	71.22302	67.61364	67.61364	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	33.33333	0.0	0.0	0.0	25.0	25.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	75.0	94.11765	92.30769	90.0	90.0	90.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	44.63082	46.85598	51.87453	52.61358	51.92398	51.92398	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	54.47225	60.00432	66.98355	67.65577	64.39792	64.39792	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	29.63976	40.27514	53.12725	56.54206	56.38298	56.38298	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	58.03907	64.03338	70.99519	71.89376	67.82167	67.82167	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	55.84416	59.25307	65.32067	68.34783	65.43103	65.43103	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	40.98361	44.23077	42.5	50.0	40.81633	40.81633	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	37.5	62.5	66.66667	50.0	80.0	80.0	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	36.96713	38.47923	42.49899	41.79825	48.63305	48.63305	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	39.61463	40.68212	46.77182	46.37941	50.6607	50.6607	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	22.26148	23.85977	28.09629	36.07214	40.62176	40.62176	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_IND	Industrial products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	41.20849	41.99856	48.57964	47.65498	51.64746	51.64746	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_TXT	Textiles	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	31.38207	35.75799	41.43074	46.31987	49.19452	49.19452	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_ARMS	Arms	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	41.17647	41.66667	52.94118	55.35714	54.78261	54.78261	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		AGG_OIL	Oil	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	58.82353	70.83333	84.21053	76.19048	72.72727	72.72727	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		AGG_AGR	Agricultural products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	25.29143	47.19655	51.43138		57.4385	57.4385	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		ALP	All products	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	43.7094	51.47033	58.07527		62.14604	62.14604	2017
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		AGG_CLTH	Clothing	PT	Percentage							ITC/UNCTAD/WTO database		_X: Data nature not available	34.23218	47.60274	57.05546		63.16537	63.16537	2017
