goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_latest_year	latest_year
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	887.69532	755.24966	687.54735	706.40686	681.35802	671.97246	642.36278	646.41	588.47048	597.28521	604.71016	579.44444	579.44444	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	505.19939	507.12844	509.3816	507.02465	505.52278	504.92878	504.88179	504.50267	508.92347	514.94907	518.23221	518.49997	518.49997	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																										
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	224.91037	237.03843	249.57735	267.87531	276.46575	331.0749	383.1408	408.82088	427.94956	450.0968	416.28646	421.76511	421.76511	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.68902	0.67879	0.67424	0.61682	0.59117	0.54643	0.5441	0.5334	0.58195	0.59287	0.65449	0.67679	0.67679	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	0.61988	0.61924	0.60864	0.61245	0.61019	0.63788	0.64379	0.65405	0.64109	0.62566	0.61844	0.61514	0.61514	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	871.23912	879.27781	895.01931	907.71698	908.78643	910.28201	922.15362	919.88874	915.52112	912.13886	911.11803	897.76571	897.76571	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	34.11038	34.21837	34.36096	34.42251	34.47758	34.41901	34.35584	34.27591	34.2451	33.97768	33.79235	33.52453	33.52453	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	67666.78764	67501.34112	68039.53331	68423.29239	69098.13116	69146.1023	69291.24584	69180.33542	69170.53994	69663.01668	70290.70954	70817.13705	70817.13705	2016
6	6.6	6.6.1	EN_WBE_PMNR	Water body extent (permanent) (square kilometres)	2019.Q3.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255		KM2	Square kilometers			G	Global			Global Surface Water Explorer extraction for UN Environment		E: Estimated data	33750.23342	33926.14241	33339.76568	32458.57415	31366.35571	30164.07953	29433.99626	28699.98904	27926.56524	27433.32464	27563.01362	27848.65713	27848.65713	2016
