goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2005	value_2010	value_2015	value_latest_year	latest_year
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	2.06782	2.06782	2.06782	2.06782	2.06782	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	28.07664	28.55474	28.33212	28.15693	28.15693	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662																	
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	PERCENT	Percentage			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data	0.66296	0.64491	0.80529	0.82125	0.82125	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	90.25	89.405	88.56	87.715	87.715	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	34.04255	34.04255	34.04255	34.04255	34.04255	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	PERCENT	Percentage			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data	47.90888	47.40836	46.90784	46.40732	46.40732	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	22.72727	22.27273	22.27273	22.27273	22.27273	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	PERCENT	Percentage			G	Global		FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data	10.54644	10.61176	12.19772	13.78368	13.78368	2015
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	2019.Q2.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	PERCENT	Percentage			G	Global		Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data	11.6418	11.03011	10.44912	9.90686	9.90686	2015
