goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	ageCode	ageDesc	sexCode	sexDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	004	Afghanistan	034	Southern Asia	Country	AFG	1	66.02688198	33.83160199	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	0.0	0.0	0.0	0.0	0.0	0.0										0.0	2008
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	008	Albania	039	Southern Europe	Country	ALB	1	20.06660928	41.13897007	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data						108.0	94.0	97.0	84.0	92.0	95.0					95.0	2013
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	010	Antarctica	001	World	Country	ATA	0	21.47585697	-80.40897662	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												1.0	2.0	32.0	28.0	28.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data							15.0	7.0								7.0	2010
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												7.0	8.0			8.0	2015
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data				86.0	101.0	78.0	91.0	34.0	29.0	53.0	56.0	54.0	48.0	70.0		70.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			30.0	63.0	79.0	186.0	422.0	263.0	150.0	303.0	374.0	375.0	243.0	414.0	97.0	97.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data	10.0	9.0	20.0	16.0	18.0	25.0	33.0	31.0	11.0	16.0	21.0	33.0	35.0	36.0	21.0	21.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					12.0	4.0	22.0	14.0		28.0	23.0	79.0	126.0	72.0		72.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data												3.0				3.0	2014
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					0.0	1.0	0.0	43.0	5.0	20.0	143.0	96.0	27.0	38.0	33.0	33.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data					114.0			310.0		126.0					733.0	733.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data				47.0	36.0	34.0	60.0	19.0	13.0	14.0	21.0	8.0	5.0	25.0	9.0	9.0	2017
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data											5.0					5.0	2013
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	_T	All age ranges or no breaks by age	_T	Both sexes	NUMBER	Number			G	Global		"Data in reference to one country but derived from different types of sources should not be compared between them.
"	GLOTIP Database		C: Country data			130.0	139.0	74.0	65.0	50.0			127.0	116.0	84.0	90.0	84.0		84.0	2016
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	_T	All age ranges or no breaks by age	_T	Both sexes																												
16	16.2	16.2.2	VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	2019.Q2.G.01	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	_T	All age ranges or no breaks by age	_T	Both sexes																												
