goal,target,indicator,series,webmap id,dashboard id
1,1.1,1.1.1,SI_POV_DAY1,bd56102ccaa749cebd6df41ba793b285,8f31e9f2fb3c489db73e423178145b2d
1,1.2,1.2.1,SI_POV_NAHC,fa7f039994d74b888a2ab5b45c84babf,2ae7775e569045df96976cd32770524b
2,2.2,2.2.2,SH_STA_OVRWGT,5823521026474e2195ae778405356ee5,e61d8a53b9364d1d9a16daf1b56604c6
3,3.2,3.2.1,SH_DYN_MORT,a223cd7d7ef24dd7b76c18f79c1d272e,761962347a9f42a08072bbbb2e4d0c3b
3,3.4,3.4.1,SH_DTH_NCOM,74fe44d3bc0f4044a0374577358f2728,b458fd31e2c34d21b9d80510cd575bc1
5,5.5,5.5.1,SG_GEN_PARL,4b0a384861cc4c28b5be9ba508b48259,912440aad25a44caae7ed4cdb8debcd5
7,7.1,7.1.1,EG_ELC_ACCS,de421aa997cf4d899fc4eae9d8ade544,3f123fe3ea744a14a60366dc822f5da1
8,8.1,8.1.1,NY_GDP_PCAP,98963cf5f43f4a51a357e067c6df44c8,63242422411848faaab25fbc51d37002
8,8.5,8.5.2,SL_TLF_UEM,411fb3ce3e5e45a4af42b61aff1e4b27,97b43b0743464ca59e62fd4d9d5ce0a5
9,9.4,9.4.1,EN_ATM_CO2GDP,16dbc509ac4a48deb4d8d8108de17596,64b4f739a21a4dd9bfa503e02a5df429
11,11.1,11.1.1,EN_LND_SLUM,1793201d795740409ac0c758c5790a13,78bca599e684426782958c769f6d199d
12,12.2,12.2.2,EN_MAT_DOMCMPC,74530db1cce84d1b82de2ab41078908d,8932f53e520245079b3e8660c3617b27
15,15.1,15.1.1,AG_LND_FRST,380b3ad659b6467fa2385189bdfcfa53,9fb78c0a90a748879c2d2d66463e8fc1
17,17.4,17.4.1,DT_TDS_DECT,c7ca54abe7994026be471ecde4115e84,de0a7defd3454b248af53f2be5bc4ea5
1,1.1,1.1.1,SI_POV_EMP1,58b9605450154ac6babc60afd69c8b7b,f61ec355348c4690a1eb0642093c3876
2,2.2,2.2.1,SH_STA_STUNT,62284bc286144adbb8f227b891990520,f809b29abb9740d28f4827dc6240a25e
