goal,target,indicator,series,webmap id,dashboard id
1,1.1,1.1.1,SI_POV_EMP1,a21cfc148f0b4556a711efd2afdafcd1,2e5d940573a34be3b2f6a492429edb0a
2,2.2,2.2.1,SH_STA_STUNT,30af803bb20340dcbf1efb41c3f8815e,e4463dfbe570440ba3a78c2767643ff3
4,4.2,4.2.2,SE_PRE_PARTN,e2b15124e89f4ad4b2d4dfa37326680b,0cf42d6c0a534927b1e996a9d093ebb5
5,5.3,5.3.1,SP_DYN_MRBF18,3b696636b4344907b48974b06da1857e,8f8aec4dc7964775a3d0ad03afb98f2f
6,6.1,6.1.1,SH_H2O_SAFE,d1a14aa51e3f40adb0f9df184b5122cd,eb95dae49ec54590a3fe4c83e9143b14
6,6.2,6.2.1,SH_SAN_DEFECT,50ade1e2d1da4c189d109805cc795600,d8362e4e92e14feea9da44fd85af9a11
6,6.2,6.2.1,SH_SAN_SAFE,0d9afe8d0c984bc7969eba544df91a10,97309ad2a8ae46e5ba712e27d62fd2e2
9,9.c,9.c.1,IT_MOB_NTWK,776b42325c094d0b8d0bbbea0ae9ccb3,e08d9967278346efb827a0c2ddc14c52
10,10.4,10.4.1,SL_EMP_GTOTL,15dc3573891044719a547aa4e380a044,0bf91155efec49a890bebf9320a4bb48
16,16.9,16.9.1,SG_REG_BRTH,65af5a9c079c4940a5ee9a499a0b10b5,5bca94c1a4e24241ae5702506be6f297
4,4.5,4.5.1,SE_GPI_MATACH,3b5847cda71242a78c329c7915551827,739ba008299f45779bb115411f580c76
4,4.5,4.5.1,SE_GPI_REAACH,6a8b7169f87a4fd7bc1d666a81838180,0260c26aef4141c68e8b56c1f392a557
2,2.1,2.1.1,SN_ITK_DEFC,1bcf366e0dc64bf4b6cc7fc8c9910ca0,452f4c395d9c4386944be4bc885df74c
12,12.2,12.2.2,EN_MAT_DOMCMPG,f3aa5f4883a5499ab4dfc3571dc37cd9,cd710de4f7f44f318cbe706fccacd8e8
15,15.1,15.1.2,ER_PTD_FRWRT,314850537af14ca18a3f00f950415289,d5ec9d25eaf644488785982eeced61eb
15,15.1,15.1.2,ER_PTD_TERRS,28c292357f9143e4be546cb68f483c46,c42704c17fc64fcfbccafecfa2c70b44
7,7.1,7.1.2,EG_EGY_CLEAN,db22317b4e504e66820ba6d9fd638797,bc376deab4684c14bddcac5ac473a9e1
14,14.5,14.5.1,ER_MRN_MARIN,0df3caba46e74a5284ebb90ae893d183,8ebf3c9c33d1480bacf3fa30fecc759b
9,9.5,9.5.1,GB_XPD_RSDV,f224c829dee248b5bef709794bf271c4,849027f8e0d2446c92ba42c2ab6d11a6
17,17.3,17.3.2,BX_TRF_PWKR,f87c14e992ab4acbb5ea270114a3fa33,6785de3b7b8844b6b7597695101803f1
11,11.6,11.6.2,EN_ATM_PM25,6dc85ce0de404727b61e520d10eb0f9e,e5f39b918faa4fa58357b941c8dd1eda
16,16.1,16.1.1,VC_IHR_PSRC,f0714f78d6f44531833430b913875b96,e2ae2e8b01024f78a91190a023f672ac
13,13.1,13.1.2,SG_DSR_LEGREG,1d06359a665d4798b8e756f6299cfbb3,378491ec94b0404b89f3341386036e5b
17,17.18,17.18.3,SG_STT_NSDSFND,cbd968d7196f4f9081c66dfdb9d53afa,a915273eb1954cf0ae7ac21aa63bb02d
3,3.3,3.3.1,SH_HIV_INCD,6096386121f44a49b0da950ad580457a,8362fa2fc9c54f0191c09aef1c5532a1
3,3.1,3.1.1,SH_STA_MMR,848cad73579d48d8b30d04b5fda73b8f,d7953b9c346c4173a8275411a3aba341
17,17.6,17.6.2,IT_NET_BBP,90b68790524046dfa6e3101c215e865b,3aa03b2fb75a42bb8f58fc431b016b08
2,2.2,2.2.2,SH_STA_WASTE,22a17a0285e3450fb0287774e2b66532,d0a9d48333244b2d9be566b383fc7fc7
3,3.3,3.3.2,SH_TBS_INCID,57e6a232ad24424fb10f37bd49c0d904,7c9e11b108b04b3aa90065c8044f8540
3,3.3,3.3.3,SH_STA_MALR,c5519754113f4572ad61efefae9f6209,fb0b7a8efe4f42c094f19f73e9c8cdb8
4,4.5,4.5.1,SE_GPI_TRATEA,3847afe2e7734dc390ba8e0429af6f3c,f51a1b9c773d4e889d933ac70387e42d
5,5.5,5.5.2,IC_GEN_MGTL,fdb67deff86740e6bbc37b194adb57b8,d45978e4a1e047f893d5359a3a1f1986
6,6.2,6.2.1,SH_SAN_DEFECT,2b9d769b54354976b9fc602c2b708df9,aa81e119f1814c0e845579820b88abd6
6,6.2,6.2.1,SH_SAN_DEFECT,c206ace95ead4f5f97acbc9d8246743b,79d55f1f88f2475d9ef1bf95c9ca0500
6,6.2,6.2.1,SH_SAN_SAFE,c72b3ce0a51b40da8747ddd041725a8d,b2f24abfc7424bbcaf49f886eed094b3
6,6.2,6.2.1,SH_SAN_SAFE,6e1c5d15439f4a75b30cde9dc541c879,d78d58c1b3a04f058e9bfb5f9f0cc113
8,8.5,8.5.2,SL_TLF_UEM,e4f8bafe9d0d4e1885d9d916b8c30ff1,3391f58684f34d92af498b3b668bef1a
8,8.5,8.5.2,SL_TLF_UEM,7547932147754bcaa8d361dd8c55ea2f,9fa275b47c634e8585ca8edcd0a05ffa
8,8.5,8.5.2,SL_TLF_UEM,36a6c0af0f674a5fa0f1dc3fe1e1b602,9c2a9186cdaa4da483b12185335ede61
17,17.18,17.18.3,SG_STT_NSDSIMPL,0a3216a0599c47269d894696802b7247,e7fce2c1b22e46a2bfcbd097b767bad5
