goal,target,indicator,series,country_profiles,webmap id,dashboard id,,,
3,3.3,3.3.2,SH_TBS_INCID,1,b219d3b39a6545129dc4bd4384b6f4c0,579d3f199565449bbb66a8a34b498e0c,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=b219d3b39a6545129dc4bd4384b6f4c0,,
3,3.3,3.3.3,SH_STA_MALR,1,399956c23ea8443a8804b2909f0b0091,9ce611c0931041daa8277b87168770d3,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=399956c23ea8443a8804b2909f0b0091,,
3,3.4,3.4.1,SH_DTH_NCOM,1,75490b7364a5408a9ebc676af45eb071,2fc1344e922f4c4495da108180f114c2,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=75490b7364a5408a9ebc676af45eb071,,
4,4.2,4.2.2,SE_PRE_PARTN,1,291c9a28417342ff83fdfdc590fccfe1,e61108a9f9de49be8bc3a267d0dc604c,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=291c9a28417342ff83fdfdc590fccfe1,,
4,4.5,4.5.1,SE_GPI_MATACH,1,b2e9aa9d922a45258014a89207cd1f86,c4110256011749838ef3134208d8a602,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=b2e9aa9d922a45258014a89207cd1f86,,
4,4.5,4.5.1,SE_GPI_REAACH,1,9b342d7d67c44a759cbdda0a2d30b7b0,15072764b6934ba3ba84c739ab5c6f0a,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=9b342d7d67c44a759cbdda0a2d30b7b0,,
4,4.5,4.5.1,SE_GPI_TRATEA,1,c4dfcbebbb244738baafb3a9fc0e9366,9b5912d4b81c48199dd59b35df00d405,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=c4dfcbebbb244738baafb3a9fc0e9366,,
5,5.3,5.3.1,SP_DYN_MRBF18,1,c34a63a83f9e4847a01cc08d890d0596,09cd234b0ab74aef885201469fb7ec01,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=c34a63a83f9e4847a01cc08d890d0596,,
5,5.5,5.5.1,SG_GEN_PARL,1,1a0246e6aab74d82bd0aa51ca0154a82,c6d78d35533f4f778602b9d299b30594,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=1a0246e6aab74d82bd0aa51ca0154a82,,
5,5.5,5.5.2,IC_GEN_MGTL,1,5f6e7fc5a0cd4bdab3139ced71d31691,65622ce7c8cf400b8f198464254f62ea,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=5f6e7fc5a0cd4bdab3139ced71d31691,,
6,6.1,6.1.1,SH_H2O_SAFE,1,34dd42a472db4550a63d87c31da2eafd,c7ff144a74dd46f48dab758279feb066,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=34dd42a472db4550a63d87c31da2eafd,,
6,6.2,6.2.1,SH_SAN_DEFECT,1,703bf2a6073943c187b51899acd23d0c,54754e433f004399b9df03f533298466,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=703bf2a6073943c187b51899acd23d0c,,
6,6.2,6.2.1,SH_SAN_DEFECT,0,bda1a349a47d49b78df847a7ba4226e4,db1a20467ded4c6ca001dc10c788340f,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=bda1a349a47d49b78df847a7ba4226e4,,
6,6.2,6.2.1,SH_SAN_DEFECT,0,4413e27b1ca345b8bd59025854076a16,c6a5ef2fae9446d395efb79990671189,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=4413e27b1ca345b8bd59025854076a16,,
6,6.2,6.2.1,SH_SAN_SAFE,1,5fb6b6e228004853b0a72e7e81d2c663,27d5a4907ed54fd58b805268ed29dfdb,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=5fb6b6e228004853b0a72e7e81d2c663,,
6,6.2,6.2.1,SH_SAN_SAFE,0,1e5293db65494df8a612be7861f4b47b,cdd96d19b097494db977b5facd99a339,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=1e5293db65494df8a612be7861f4b47b,,
6,6.2,6.2.1,SH_SAN_SAFE,0,1c9504327d264ba69f9ea1217d5a4418,9983134f97364ffd98b5982368ed2fcc,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=1c9504327d264ba69f9ea1217d5a4418,,
7,7.1,7.1.1,EG_ELC_ACCS,1,e60f335ee2c744e49194ddbd1089cca9,b918be47f3084b87a717e5d28df28f07,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=e60f335ee2c744e49194ddbd1089cca9,,
7,7.1,7.1.2,EG_EGY_CLEAN,1,8161be0a67f4491f8b8efd0081eed30c,eeab7876df7f48ab82e018a57c761146,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=8161be0a67f4491f8b8efd0081eed30c,,
8,8.1,8.1.1,NY_GDP_PCAP,1,442831030ab64445ad54b281807480ed,378205c3c3124a31818863e86a0c41a1,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=442831030ab64445ad54b281807480ed,,
8,8.5,8.5.2,SL_TLF_UEM,1,2d7aa4defdd347f8a6f1d689d0630394,c8c399f1941345faa28a4969f03b746b,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=2d7aa4defdd347f8a6f1d689d0630394,,
8,8.5,8.5.2,SL_TLF_UEM,0,daa79543220a4f70a48ee2856f82b737,c9b3ab9a4903480b95a049c4090c6953,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=daa79543220a4f70a48ee2856f82b737,,
8,8.5,8.5.2,SL_TLF_UEM,0,e75a39e7910645d1a0bd34067b3f9047,dcd7c47eae734354b88996c2e7c5c5cc,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=e75a39e7910645d1a0bd34067b3f9047,,
8,8.5,8.5.2,SL_TLF_UEM,0,92a615f7913243209afe229bf0ed7b45,b405d038a9d54607b9325dd9563599db,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=92a615f7913243209afe229bf0ed7b45,,
9,9.4,9.4.1,EN_ATM_CO2GDP,1,fc95811945f34c99ad2d6292d043c02f,544b47cf17374d4881b5cec507585d4f,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=fc95811945f34c99ad2d6292d043c02f,,
9,9.5,9.5.1,GB_XPD_RSDV,1,0f6f32a16ea246fd98ede19b7e383204,f841760c54bc4eaa9229ca9a0fad6900,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=0f6f32a16ea246fd98ede19b7e383204,,
9,9.c,9.c.1,IT_MOB_NTWK,1,9a1c483fbcc84ed5a64935442add8a14,d5a2248b66c94b46a5bb80d739ba5a65,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=9a1c483fbcc84ed5a64935442add8a14,,
10,10.4,10.4.1,SL_EMP_GTOTL,1,78b6273e1919448083e6679f5dcd224f,a15fc62898bc4d8cab99b6b1e79df735,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=78b6273e1919448083e6679f5dcd224f,,
11,11.1,11.1.1,EN_LND_SLUM,1,a8df5ae006964554b2e797d4cc01a9a1,e0d01f7b25cd44b19904a17588c13566,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=a8df5ae006964554b2e797d4cc01a9a1,,
11,11.6,11.6.2,EN_ATM_PM25,1,8a0f95b0781d4c7eb89f70b807eebbd2,1461785b619a49618c6cffd52afe0142,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=8a0f95b0781d4c7eb89f70b807eebbd2,,
12,12.2,12.2.2,EN_MAT_DOMCMPC,1,0e54a6fb5daa4cc3b7044ac058b1b774,95628afb11054f069b7a4d1dea9277b6,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=0e54a6fb5daa4cc3b7044ac058b1b774,,
12,12.2,12.2.2,EN_MAT_DOMCMPG,1,d4d9cfc5abf6470db07276d473415543,eb7ef495c8df45c0afe889bcfaa6bb32,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=d4d9cfc5abf6470db07276d473415543,,
13,13.1,13.1.2,SG_DSR_LGRGSR,1,51a00d633fff4982ad10e2a4e744f7db,de6f46c609034eec83bfc3af4b579b28,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=51a00d633fff4982ad10e2a4e744f7db,,
14,14.5,14.5.1,ER_MRN_MARIN,1,fc9547180d3649098d633483ab2dd3c4,5c9481ffde5842978e0b7e64f83ebd20,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=fc9547180d3649098d633483ab2dd3c4,,
15,15.1,15.1.1,AG_LND_FRST,1,03cbe52085874f98a840fe3e88b03d16,2793cd777b704144bb04ef96648f0a1c,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=03cbe52085874f98a840fe3e88b03d16,,
15,15.1,15.1.2,ER_PTD_FRWRT,1,2b380d3657184ad6b831855d4dffd72b,5aad70b7e1e64882ae932ef180bde9ea,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=2b380d3657184ad6b831855d4dffd72b,,
15,15.1,15.1.2,ER_PTD_TERRS,1,a3f468893e6b480285002f880666bf8a,6c72e28c8daf4aebb97a6e937623a14e,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=a3f468893e6b480285002f880666bf8a,,
16,16.1,16.1.1,VC_IHR_PSRC,1,50940fa5673448e3b75bedb7bca35aaf,11445197f42a45ba8c836639c3e4aa71,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=50940fa5673448e3b75bedb7bca35aaf,,
16,16.9,16.9.1,SG_REG_BRTH,1,67ee83ae98a4451fb7fb67d245710a0e,dc2049c4bc08455db07cd2be9e242c5b,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=67ee83ae98a4451fb7fb67d245710a0e,,
17,17.18,17.18.3,SG_STT_NSDSFND,1,5cef76522979464290362a28a3853abe,749161428fde40e59de8540a532b6335,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=5cef76522979464290362a28a3853abe,,
17,17.18,17.18.3,SG_STT_NSDSIMPL,1,5cfd3727bff3493c954c69f56aae15a8,d2d6297754ab4b2ea2e8709e32012e12,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=5cfd3727bff3493c954c69f56aae15a8,,
17,17.3,17.3.2,BX_TRF_PWKR,1,52cab6c1008f4967b7093d9c8d573499,5e34da4282df4c179ef13366a8e29f23,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=52cab6c1008f4967b7093d9c8d573499,,
17,17.4,17.4.1,DT_TDS_DECT,1,063e52cfe9fa4faea543bf36cc3079cb,2e8a46f45b764dfcb4f5c2162351f846,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=063e52cfe9fa4faea543bf36cc3079cb,,
17,17.6,17.6.2,IT_NET_BBP,1,498d60bbe0b948e7824c22fb70c31fbc,560237e356b948fc8d053adfe2c67f84,https://undesa.maps.arcgis.com/home/webmap/viewer.html?webmap=498d60bbe0b948e7824c22fb70c31fbc,,
