topicId	topicName	tableId	tableName	seriesCode	seriesDesc	hub	units	multiplier	baseYear	multiplierDesc	personnelTypeCode	personnelTypeDesc	activityCode	activityDesc	speciesCode	speciesDesc	ODACode	ODADesc	urbanizationCode	urbanizationDesc	ageCode	ageDesc	sexCode	sexDesc	educationLevCode	educationLevDesc
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB011	Infant mortality ratio	b69e704c91974e69b5ae5763f1a49450	Number of deaths per 1,000 live births	0																		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB012	Life expectancy at birth	3aa919d7703a4ecfa9d55bac8694343f	Number of years	0															_T	Both sexes or no breakdown by sex		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB012	Life expectancy at birth	3aa919d7703a4ecfa9d55bac8694343f	Number of years	0															F	Female		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB012	Life expectancy at birth	3aa919d7703a4ecfa9d55bac8694343f	Number of years	0															M	Male		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB013	Maternal mortality ratio	0a5482be9b574d9294c03089fe52803f	Number of deaths per 1,000 population	0																		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB014	Population annual rate of increase	f6f16a88b56840249b4439bbea05dba4	Percent	0																		
2	Population and migration	8	Population growth and indicators of fertility and mortality	SYB015	Total fertility rate	bbb7dbea77a9464c883e3605eca93d51	Number of children per women	0																		
2	Population and migration	78	International migrants and refugees	SYB072	Asylum seekers, including pending cases	a1bc495b927c4873b6d314a0ce3b7bd1	Number	0																		
2	Population and migration	78	International migrants and refugees	SYB073	International migrant stock as percent of total population	d7f798f2a6cd46e2b6d9c09065f03de4	Percent of total population	0															_T	Both sexes or no breakdown by sex		
2	Population and migration	78	International migrants and refugees	SYB073	International migrant stock as percent of total population	d7f798f2a6cd46e2b6d9c09065f03de4	Percent of total population	0															F	Female		
2	Population and migration	78	International migrants and refugees	SYB073	International migrant stock as percent of total population	d7f798f2a6cd46e2b6d9c09065f03de4	Percent of total population	0															M	Male		
2	Population and migration	78	International migrants and refugees	SYB074	International migrant stock	1b32a522b98748ac8c040c4567b4061a	Number	0															_T	Both sexes or no breakdown by sex		
2	Population and migration	78	International migrants and refugees	SYB075	Other population of concern to UNHCR	a96325f096344e99a1b44d8a5c891b9e	Number	0																		
2	Population and migration	78	International migrants and refugees	SYB076	Total population of concern to UNHCR	772a41a4477f4b1b81409dbad8fbac7a	Number	0																		
2	Population and migration	78	International migrants and refugees	SYB077	Total refugees and people in refugee-like situations	592ed636d538491593ed9de1e2c3f47b	Number	0																		
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB078	Capital city population as percent of total population	133574278815466b886afee49f3206b9	Percent of total population	0																		
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB079	Capital city population as percent of total urban population	966aa129360f4f9a8081dd4d0d4e219f	Percent of total urban population	0																		
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB080	Capital city population	7a7b7cc9beff4fd5b40f8d487a1e23b6	Number	3.0																		
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB081	Population growth rate per annum	b95285b0546841fa917c197a6dd73c1e	Percent	0											R	Rural						
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB081	Population growth rate per annum	b95285b0546841fa917c197a6dd73c1e	Percent	0											U	Urban						
2	Population and migration	83	Population and rates of growth in urban areas and capital cities	SYB082	Urban population as percent of total populatoin	c7e749b42fda4c84b39cf8fa5d038371	Percent of total population	0											U	Urban						
2	Population and migration	89	Population, density and surface area	SYB087	Share of population by age group	493ee3f35221493fa582b807034fe488	Percent	0													Y0T14	under 15 years old				
2	Population and migration	89	Population, density and surface area	SYB087	Share of population by age group	493ee3f35221493fa582b807034fe488	Percent	0													Y_GE65	65 years old and over				
2	Population and migration	89	Population, density and surface area	SYB088	Population density	566287a1c8f442b389bcef3b2e9454d4		0																		
2	Population and migration	89	Population, density and surface area	SYB089	Population mid-year estimates	7e77f35a3ebb49c29d9fc8c10f825f33	Number	6.0															_T	Both sexes or no breakdown by sex		
2	Population and migration	89	Population, density and surface area	SYB089	Population mid-year estimates	7e77f35a3ebb49c29d9fc8c10f825f33	Number	6.0															F	Female		
2	Population and migration	89	Population, density and surface area	SYB089	Population mid-year estimates	7e77f35a3ebb49c29d9fc8c10f825f33	Number	6.0															M	Male		
2	Population and migration	89	Population, density and surface area	SYB090	Sex ratio (males per 100 females)	1e28bd6f12a942deb823d4cf809b6756	Percent	0																		
2	Population and migration	89	Population, density and surface area	SYB091	Surface area	875ce0c9115b46e6a9fe2471e312ea03	km2	3.0																		
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															M	Male	ISCED11_1	Primary education
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															F	Female	ISCED11_1	Primary education
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															F	Female	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															M	Male	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															F	Female	AGG_5T8	Tertiary education
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB001	Gross education enrollment ratio	f4ebc92d8aea47bdac090dfa3da29bb2	Ratio	0															M	Male	AGG_5T8	Tertiary education
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB002	Number of students enrolled in formal education	4aa9ce6bd1cf48deab7dcf9152c404a1	Number of students	3.0																	ISCED11_1	Primary education
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB002	Number of students enrolled in formal education	4aa9ce6bd1cf48deab7dcf9152c404a1	Number of students	3.0																	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	1	Enrolment in primary, secondary and tertiary education levels	SYB002	Number of students enrolled in formal education	4aa9ce6bd1cf48deab7dcf9152c404a1	Number of students	3.0																	AGG_5T8	Tertiary education
3	Education	109	Public expenditure on education	SYB108	Public expenditure in education as percent of total expenditure in public institutions: staff compensation	7a57cd1c85464609ab8af5ce418cdf03	Percent	0																		
3	Education	109	Public expenditure on education	SYB109	Public expenditure in education as percent of total expenditure in public institutions: capital expenditure	49f827b7121940cf8a472e62f6612048	Percent	0																		
3	Education	109	Public expenditure on education	SYB110	Public expenditure in education as percent of total expenditure in public institutions: Current expenditure other than staff compensation	5f92a363a2a94684bd0c89361ba52ce9	Percent	0																		
3	Education	109	Public expenditure on education	SYB111	Public expenditure in education as percent of government expenditure	f1c6471ca64b4740bc3f9046073381ef	Percent	0																	ISCED11_1	Primary education
3	Education	109	Public expenditure on education	SYB111	Public expenditure in education as percent of government expenditure	f1c6471ca64b4740bc3f9046073381ef	Percent	0																	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	109	Public expenditure on education	SYB111	Public expenditure in education as percent of government expenditure	f1c6471ca64b4740bc3f9046073381ef	Percent	0																	AGG_5T8	Tertiary education
3	Education	109	Public expenditure on education	SYB111	Public expenditure in education as percent of government expenditure	f1c6471ca64b4740bc3f9046073381ef	Percent	0																	_T	Total or no breakdown by education level
3	Education	109	Public expenditure on education	SYB111	Public expenditure in education as percent of government expenditure	f1c6471ca64b4740bc3f9046073381ef	Percent	0																	ISCED11_02	Pre-primary education
3	Education	109	Public expenditure on education	SYB112	Public expenditure in education as percent of GDP	e3d44eb52a9d495c821786cfc5723681	Percent	0																	_T	Total or no breakdown by education level
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB119	Pupil-teacher ratio	c6fd3b6933f54d54af3bc10e344f3f70	Pupil to teacher ratio	0																	ISCED11_1	Primary education
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB119	Pupil-teacher ratio	c6fd3b6933f54d54af3bc10e344f3f70	Pupil to teacher ratio	0																	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB119	Pupil-teacher ratio	c6fd3b6933f54d54af3bc10e344f3f70	Pupil to teacher ratio	0																	AGG_5T8	Tertiary education
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB120	Number of teachers	e39123d0e03d4a5d8c29369e5ac2f732	Number	0																	ISCED11_1	Primary education
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB120	Number of teachers	e39123d0e03d4a5d8c29369e5ac2f732	Number	0																	AGG_2_3	Secondary education (lower and upper secondary education)
3	Education	135	Teaching staff at the primary, secondary and tertiary levels	SYB120	Number of teachers	e39123d0e03d4a5d8c29369e5ac2f732	Number	0																	AGG_5T8	Tertiary education
4	Gender	115	Ratio of girls to boys in primary, secondary and tertiary education	SYB113	Gender parity ratio in education	5ab360904e1d44c88a11240eaaf76843	Girls to boys ratio	0																	ISCED11_1	Primary education
4	Gender	115	Ratio of girls to boys in primary, secondary and tertiary education	SYB113	Gender parity ratio in education	5ab360904e1d44c88a11240eaaf76843	Girls to boys ratio	0																	AGG_2_3	Secondary education (lower and upper secondary education)
4	Gender	115	Ratio of girls to boys in primary, secondary and tertiary education	SYB113	Gender parity ratio in education	5ab360904e1d44c88a11240eaaf76843	Girls to boys ratio	0																	AGG_5T8	Tertiary education
4	Gender	134	Proportion of seats held by women in national parliament	SYB118	Proportion of seats held by women in national parliament, as of February	a4862bdf37334c79a9e3344f843ddac1	Percent	0																		
5	Communication	106	Internet Usage	SYB105	Percentage of individuals using the internet	16d3087c8d544007ac1aa01c2c755c42	Percent	0																		
5	Communication	107	Cellular mobile telephone subscriptions	SYB106	Cellular mobile telephone subscriptions		Number	0																		
5	Communication	107	Cellular mobile telephone subscriptions	SYB107	Cellular mobile telephone subscriptions per 100 inhabitants		Subscriptions per 100 inhabitants	0																		
6	National accounts	18	Gross Value added by kind of economic activity	SYB022	Gross value added by industry	4ea3388567b64f33b3601bac26767f96	Percent of total gross value added	0					AGR	Agriculture, hunting, forestry and fishing												
6	National accounts	18	Gross Value added by kind of economic activity	SYB022	Gross value added by industry	4ea3388567b64f33b3601bac26767f96	Percent of total gross value added	0					IND	Industry												
6	National accounts	18	Gross Value added by kind of economic activity	SYB022	Gross value added by industry	4ea3388567b64f33b3601bac26767f96	Percent of total gross value added	0					SER	Services												
6	National accounts	19	Gross domestic product and gross domestic product per capita	SYB023	GDP in constant prices	5e962982b65c47e2adaba44f367c9845	US dollars	6.0	2010																	
6	National accounts	19	Gross domestic product and gross domestic product per capita	SYB024	GDP in current prices	77621dfd97e94273a1405e960582854f	US dollars	6.0																		
6	National accounts	19	Gross domestic product and gross domestic product per capita	SYB025	GDP per capita	5ec9f38def1247ebbcee2557fc0c3a9b	US dollars	0																		
6	National accounts	19	Gross domestic product and gross domestic product per capita	SYB026	GDP real rates of growth	18378adffb914440b6f6ae8579b9706d	Percent	0																		
7	Finance	74	Balance of payments summary	SYB065	Balance of Payments: Capital account	a201ac34ff6a47a6a978ca2b3b7f0dfd	US dollars	6.0																		
